編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLRLPHGGFAA97DA,27,127.04,見使用執照,鋼筋混凝土造,83年11月11日,十七層,九層 陽台 花台
RPTNMLRLPHGGFAA97DA,27,21.34,見使用執照,鋼筋混凝土造,83年11月11日,十七層,
RPPOMLQLQHGGFAA67DA,,77.74,住家用,加強磚造,,二層,一層 二層
RPRNMLKMQHGGFAA27DA,3,253.52,集合住宅,鋼筋混凝土造,107年3月2日,五層,三層 四層 五層 陽台
RPRNMLKMQHGGFAA27DA,3,52.15,共有部分，本共有部分之項目有梯廳、Ｓ１０安全梯、Ｓ５無障礙樓梯、Ｓ９安全梯、Ｓ４無障礙樓梯、Ｓ８安全梯、Ｓ３無障礙樓梯、Ｓ３安全梯、Ｓ１無障礙樓梯、Ｓ２無障礙樓梯、Ｓ４安全梯、管委會使用空間、Ｊ１無障礙樓梯、Ｊ２安全梯、Ｊ３安全梯、男廁、女廁、無障礙廁所、電梯間、儲藏室、陽台、警衛室、高架水塔、Ｓ７安全梯、男更衣室、女更衣室、游泳池、水箱（供民生使用）、無障礙樓梯、水箱（供泳池使用）１５ｔ、機車車道、通氣管道、停車空間、無障礙坡道、水箱機房、生活水箱（２０Ｔ）、消防泵浦機房、發電機房、電信機房、機房、Ｊ區台電配電場所Ｇ、管理中心、廁所、Ａ水箱、Ｂ水箱、雨水回收池、泵浦機房計４７項。,鋼筋混凝土造,107年3月2日,五層,
RPRNMLKMQHGGFAA27DA,3,53.32,共有部分，本共有部分之項目有台電配電室、電錶室、Ｓ４無障礙樓梯、Ｓ３無障礙樓梯、Ｓ２無障礙樓梯、Ｓ１無障礙樓梯、電錶牆、水箱機房、地下水箱、機房、梯廳、電信機房、排風機房、進風管道、排風管道、排煙管道、雨水回收機房、雨水回收池（一）、雨水回收池（二）、發電機房、停車空間等２１項,鋼筋混凝土造,107年3月2日,五層,
RPRNMLKMQHGGFAA27DA,3,29.10,共有部分，本共有部分之項目有梯廳、儲藏室、Ｓ２無障礙樓梯等３項,鋼筋混凝土造,107年3月2日,五層,
RPRNMLKMQHGGFAA27DA,3,123.33,共有部分，本共有部分之項目有汽車車道、停車空間等２項,鋼筋混凝土造,107年3月2日,五層,
RPWOMLPJQHGGFBA18DA,22,31.65,見使用執照,鋼筋混凝土造,88年9月23日,十三層,八層
RPWOMLPJQHGGFBA18DA,22,6.37,共有部分,鋼筋混凝土造,88年9月23日,十三層,
RPWOMLPJQHGGFBA18DA,22,10.21,共有部分,鋼筋混凝土造,88年9月23日,十三層,
RPUPMLKMQHGGFBA87DA,47,9.41,住家用,鋼筋混凝土造,63年8月6日,九層,
RPUPMLKMQHGGFBA87DA,47,30.26,住家用,鋼筋混凝土造,63年8月6日,九層,六層
RPPOMLTJRHGGFAA87DA,44,139.95,集合住宅,鋼筋混凝土造,67年2月1日,四層,四層 陽台
RPUPMLSJRHGGFAA38DA,5,.14,一般事務所,鋼骨鋼筋混凝土造,105年9月30日,十七層,一層
RPUPMLSJRHGGFAA38DA,5,42.05,共有部分，本共有部分之項目有梯廳、特別安全梯甲、特別安全梯乙、排煙室、緊急昇降機、昇降機供行動不便使用、儲藏室、管委會使用空間、游泳池、入口大廳（梯廳）、防災中心、陽台、停獎專用樓梯、停獎專用電梯、機電設備空間、電梯機房、Ａ棟水箱、Ｂ棟水箱、Ａ棟消防水箱、Ｂ棟消防水箱、地下一層全部、地下二層全部、地下三層全部、地下四層全部、地下五層全部等２５項。,鋼骨鋼筋混凝土造,105年9月30日,十七層,
RPPOMLKKQHGGFBA07DA,2,125.25,住家用,鋼筋混凝土造,108年5月28日,十二層,六層 陽台 雨遮
RPPOMLKKQHGGFBA07DA,2,98.24,本共有部分之項目有騎樓、管委會使用空間、梯廳、緊急昇降機、安全梯、發電機室排氣、停車場排氣、行動不便電梯、汽車坡道、電氣與弱電管道、男廁、女廁、陽台、雨遮、排煙室、台電配電場所、垃圾車專用車位、發電機進氣、發電機室、受電箱、管委會使用空間（Ａ）、管委會使用空間（Ｂ）、發電機室進氣、垃圾貯存空間、電梯間、防空避難室兼停車空間、電信機房、機械室、停車空間、發電機進氣、蓄水池、雙層機械停車設備、消防泵浦室、樓梯間、消防水箱、水箱等３６項。,鋼筋混凝土造,108年5月28日,十二層,
