編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLRLPHGGFAA97DA,木柵段一小段,16.67,都市：其他:第三種商業區。,10000,122,持分移轉,05300000
RPPOMLQLQHGGFAA67DA,華興段二小段,59.00,都市：其他:第三種住宅區。,1,1,全筆移轉,01440000
RPRNMLKMQHGGFAA27DA,萬芳段二小段,286.25,都市：其他:第二種住宅區。,10000,84,持分移轉,06000000
RPWOMLPJQHGGFBA18DA,城中段一小段,4.51,都市：其他:第四種商業區。,10000,76,持分移轉,04250000
RPUPMLKMQHGGFBA87DA,福星段四小段,5.85,都市：其他:第四種商業區。,10000,53,持分移轉,01470000
RPPOMLTJRHGGFAA87DA,永昌段五小段,52.00,都市：其他:第三種住宅區。,8,2,持分移轉,00170000
RPUPMLSJRHGGFAA38DA,興安段二小段,.38,都市：其他:第三種住宅區。,5900000,636,持分移轉,06370000
RPPOMLKKQHGGFBA07DA,龍山段一小段,19.59,都市：其他:第三種商業區。,10000,172,持分移轉,02260000
RPWNMLQLQHGGFBA38DA,青年段一小段,18.90,都市：其他:第三種住宅區。,90000,42,持分移轉,00880000
RPQQMLLJRHGGFCA57DA,吉林段四小段,6.25,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,612,12,持分移轉,04950000
RPPQMLKMQHGGFCA57DA,中山段三小段,3.84,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,180000,262,持分移轉,02070000
RPSPMLNLQHGGFCA97DA,中山段三小段,9.27,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,10000,271,持分移轉,07010000
RPOPMLPKPHGGFCA57DA,金泰段,28.69,都市：其他:商業區(供一般商業使用不得作住宅使用)。,10000,134,持分移轉,00850003
RPPQMLSKQHGGFCA18DA,長安段三小段,5.31,都市：其他:聯合開發區(捷)(依都市計畫說明書圖規定辦理)。,100000,455,持分移轉,03970000
RPPQMLSKQHGGFCA18DA,長安段三小段,.31,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,100000,455,持分移轉,04030000
RPPQMLSKQHGGFCA18DA,長安段三小段,1.08,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,100000,455,持分移轉,04030001
RPWPMLTKQHGGFCA88DA,德惠段二小段,.94,都市：其他:第三之二種住宅區。,10000,237,持分移轉,00200000
RPWPMLTKQHGGFCA88DA,德惠段二小段,15.69,都市：其他:第三之二種住宅區。,10000,237,持分移轉,00200001
RPWPMLTKQHGGFCA88DA,德惠段二小段,.01,都市：其他:第三之一種住宅區。,10000,237,持分移轉,00200002
RPWPMLTKQHGGFCA88DA,德惠段二小段,.26,都市：其他:道路用地(公共設施用地)。69/2/22,10000,237,持分移轉,00200003
RPTOMLNJRHGGFCA87DA,文德段一小段,29.56,都市：其他:第三之一種住宅區及第三種住宅區。,10000,66,持分移轉,01300000
RPPPMLPJQHGGFDA77DA,向陽段,13.36,都市：其他:住宅區(供住宅使用)。,20000,242,持分移轉,00110011
RPROMLTJRHGGFDA38DA,三興段一小段,.10,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,100000,4,持分移轉,05500000
RPROMLTJRHGGFDA38DA,三興段一小段,.18,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,100000,36,持分移轉,05550000
RPXPMLLJRHGGFDA28DA,南港段一小段,8.56,都市：其他:第三種商業區。,10000,37,持分移轉,11330000
RPWPMLPLQHGGFEA78DA,芝蘭段一小段,27.87,都市：其他:第三種住宅區。,70000,1680,持分移轉,01390000
RPWPMLPLQHGGFEA78DA,芝蘭段一小段,4.62,都市：其他:第三種住宅區。,70000,1680,持分移轉,01400000
RPVOMLQLPHGGFDA48DA,延吉段三小段,12.14,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第參之貳種住宅區)。,200000,2139,持分移轉,08950000
RPVOMLQLPHGGFDA48DA,延吉段三小段,4.10,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第參種住宅區)。,200000,2139,持分移轉,08960000
RPRQMLLMQHGGFEA08DA,文林段三小段,18.04,都市：其他:第三種住宅區。,200000,10872,持分移轉,08040000
RPOPMLTKQHGGFEA28DA,振興段二小段,11.52,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)及第三種住宅區。,10000,60,持分移轉,00020000
RPTOMLNJRHGGFEA08DA,三玉段二小段,377.00,都市：其他:第三種住宅區。,1,1,全筆移轉,03790000
RPTOMLNJRHGGFEA08DA,三玉段二小段,3.00,都市：其他:道路用地(公共設施用地)。66/1/12,1,1,全筆移轉,03810001
RPWNMLRJRHGGFEA68DA,豐年段三小段,266.23,都市：其他:農業區。,5400,49,持分移轉,02740000
RPTNMLNJRHGGFEA97DA,百齡段一小段,25.23,都市：其他:第三種住宅區。,10000,251,持分移轉,02400000
RPQPMLSJRHGGFEA38DA,天母段三小段,31.63,都市：其他:第三種住宅區。,20000,298,持分移轉,03390000
RPUNMLMJRHGGFFA08DA,通化段五小段,12.42,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,20000,362,持分移轉,00500000
RPRNMLSJRHGGFFA38DA,大安段三小段,28.75,都市：其他:第三種住宅區。,6675693673,3814734,持分移轉,02980000
RPPPMLRJRHGGFEA18DA,振興段一小段,23.54,都市：其他:第三種住宅區。,10000,938,持分移轉,03640000
RPROMLQJRHGGFFA28DA,金華段二小段,7.78,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,100000,3850,持分移轉,03950000
RPROMLQJRHGGFFA28DA,金華段二小段,.19,都市：其他:第三種住宅區。,100000,3850,持分移轉,03950001
