編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLKMQHGGFAA27DA,坡道平面,2500000,61.66,地下二樓
RPRNMLKMQHGGFAA27DA,坡道平面,2500000,61.66,地下二樓
RPUPMLSJRHGGFAA38DA,坡道平面,2250000,42.19,地下一樓
RPPOMLKKQHGGFBA07DA,坡道平面,3050000,37.74,地下二樓
RPOPMLPKPHGGFCA57DA,坡道平面,0,31.77,地下二樓
RPPQMLSKQHGGFCA18DA,升降平面,0,38.52,地下三樓
RPPPMLPJQHGGFDA77DA,坡道機械,0,,地下二樓
RPROMLTJRHGGFDA38DA,坡道機械,0,,地下三樓
RPVOMLQLPHGGFDA48DA,坡道平面,5000000,36.63,地下二樓
RPRQMLLMQHGGFEA08DA,坡道平面,0,,地下二樓
RPOPMLTKQHGGFEA28DA,坡道平面,0,39.90,地下三樓
RPTOMLNJRHGGFEA08DA,一樓平面,0,32.65,一樓
RPTOMLNJRHGGFEA08DA,一樓平面,0,32.65,一樓
RPTOMLNJRHGGFEA08DA,一樓平面,0,32.65,一樓
RPTOMLNJRHGGFEA08DA,一樓平面,0,32.65,一樓
RPTOMLNJRHGGFEA08DA,一樓平面,0,32.65,一樓
RPTOMLNJRHGGFEA08DA,一樓平面,0,32.65,一樓
RPQPMLSJRHGGFEA38DA,坡道平面,0,,地下二樓
RPPPMLRJRHGGFEA18DA,升降平面,0,,地下二樓
RPXPMLLKQHGGFEA38DA,坡道平面,0,,無固定樓層
RPRPMLRJOHGGFAA77EA,坡道平面,2000000,44.66,地下一樓
RPOTMLTJRHGGFAA38EA,坡道平面,0,,地下二樓
RPWOMLSJRHGGFCA78EA,坡道平面,2000000,42.68,地下二樓
RPRNMLRJRHGGFEA28EA,坡道平面,0,46.22,地下二樓
RPQQMLTJRHGGFEA68EA,坡道平面,3000000,,地下二樓
RPVNMLKKRHGGFEA08EA,升降機械,1800000,14.72,地下一樓
RPPOMLKKRHGGFEA57EA,坡道平面,0,,地下一樓
RPTOMLKKRHGGFEA97EA,升降平面,1800000,43.18,地下二樓
RPROMLTJRHGGFCA38EA,坡道平面,2400000,34.84,地下三樓
RPSOMLTJRHGGFCA48EA,坡道平面,2500000,,地下二樓
RPTNMLKKRHGGFCA67EA,坡道平面,0,2.69,地下一樓
RPTNMLKKRHGGFCA67EA,坡道平面,0,44.02,地下一樓
RPTNMLKKRHGGFCA67EA,坡道平面,0,44.02,地下一樓
RPTNMLKKRHGGFCA67EA,坡道平面,0,44.02,地下一樓
RPOQMLNKRHGGFBA67EA,升降機械,900000,14.06,一樓
RPPQMLSJRHGGFCA18DA,升降平面,0,14.67,地下二樓
RPOPMLSJRHGGFAA87EA,坡道平面,0,,地下二樓
RPUNMLKKRHGGFFA08EA,坡道平面,5500000,47.10,地下三樓
RPXQMLLLOHGGFBA18EA,坡道平面,3500000,,地下一樓
RPTNMLQJRHGGFDA18DA,升降平面,2400000,39.88,地下三樓
RPUNMLQJRHGGFDA28DA,升降平面,2400000,35.33,地下三樓
RPUNMLQJRHGGFDA28DA,升降平面,2400000,39.88,地下三樓
RPVNMLLKRHGGFAA77EA,坡道平面,0,,地下三樓
RPQNMLTJRHGGFDA18DA,坡道平面,0,,地下三樓
RPVOMLNJRHGGFDA18DA,坡道平面,2800000,41.02,地下一樓
RPPOMLLMQHGGFDA57DA,升降平面,1850000,35.33,地下二樓
RPPOMLLMQHGGFDA57DA,升降平面,1850000,35.33,地下二樓
RPRNMLLJRHGGFDA47DA,升降平面,2000000,39.88,地下三樓
RPWOMLQLQHGGFDA68DA,塔式車位,0,18.35,
RPTNMLRLQHGGFDA38DA,坡道平面,2550000,41.02,地下一樓
RPUNMLRLQHGGFDA48DA,坡道平面,2700000,41.02,地下一樓
RPVNMLRLQHGGFDA58DA,坡道平面,2500000,35.33,地下一樓
RPWNMLRLQHGGFDA68DA,升降平面,2100000,39.88,地下三樓
RPXNMLRLQHGGFDA78DA,升降平面,2200000,35.33,地下二樓
RPWQMLMLPHGGFCA38EA,坡道平面,2500000,30.52,地下一樓
RPWQMLMLPHGGFCA38EA,坡道平面,2500000,30.52,地下一樓
RPPOMLRLQHGGFDA08DA,坡道平面,2650000,41.02,地下一樓
RPPOMLRLQHGGFDA08DA,坡道平面,2650000,41.02,地下一樓
RPUQMLMLPHGGFCA18EA,坡道平面,3870000,,地下一樓
RPRNMLTJRHGGFCA18DA,坡道平面,2500000,42.07,地下四樓
RPXOMLTJRHGGFDA98DA,坡道平面,0,,地下三樓
RPQNMLOJRHGGFCA57DA,坡道平面,0,26.46,地下三樓
RPVOMLTJRHGGFCA68DA,坡道平面,2900000,36.56,地下一樓
RPPRMLKKRHGGFCA57DA,坡道平面,2400000,,地下三樓
RPPOMLKKRHGGFBA17DA,升降機械,0,15.83,地下三樓
RPUNMLPKPHGGFBA87DA,坡道平面,3800000,35.17,二樓含以上
RPPNMLNJRHGGFAA17DA,一樓平面,0,,一樓
RPROMLKKRHGGFAA27DA,坡道平面,1800000,,地下三樓
RPXNMLRJRHGGFAA38DA,坡道機械,0,6.87,地下二樓
RPQNMLLMQHGGFAA27DA,坡道平面,2600000,33.07,地下三樓
RPWNMLQLQHGGFAA28DA,坡道機械,0,13.67,地下一樓
RPTNMLNKRHGGFAA67DA,坡道平面,2000000,,地下一樓
RPTPMLNJRHGGFBA87DA,坡道平面,0,40.74,地下二樓
RPWNMLMJRHGGFDA18EA,坡道平面,3000000,32.04,地下四樓
RPWNMLMJRHGGFDA18EA,坡道平面,2800000,40.08,地下五樓含以下
RPVNMLTJRHGGFBA48DA,坡道平面,3400000,35.85,地下二樓
RPQQMLTKQHGGFCA38DA,坡道機械,0,19.32,地下四樓
RPQQMLTKQHGGFCA38DA,坡道機械,0,19.32,地下四樓
RPPOMLQLQHGGFCA87DA,坡道機械,0,,地下五樓含以下
RPQOMLLKRHGGFCA47DA,升降機械,1500000,,地下三樓
RPVNMLOLQHGGFDA28DA,升降機械,0,,地下一樓
RPVQMLKKRHGGFCA08DA,塔式車位,0,,
RPVQMLKKRHGGFCA08DA,塔式車位,0,,
RPTPMLLJRHGGFDA87DA,坡道平面,2500000,43.16,地下一樓
RPVOMLTJRHGGFDA78DA,坡道平面,3000000,32.04,地下三樓
RPVOMLSJRHGGFEA78DA,升降機械,0,,地下一樓
RPUOMLLKRHGGFEA08DA,坡道平面,0,37.41,地下三樓
RPQOMLLKRHGGFAA37EA,坡道平面,2500000,20.94,地下一樓
RPQOMLLKRHGGFAA37EA,坡道平面,2500000,20.94,地下一樓
RPSNMLLKRHGGFBA57EA,坡道平面,0,,地下三樓
RPWNMLLKRHGGFBA97EA,坡道平面,0,,地下二樓
RPXQMLKMQHGGFCA48EA,塔式車位,1500000,,
RPOSMLKKRHGGFCA67EA,升降機械,0,,地下二樓
RPPRMLKMQHGGFCA77EA,坡道平面,2000000,,地下二樓
RPSOMLLKRHGGFCA77EA,坡道機械,1200000,,地下一樓
RPTOMLLKRHGGFCA87EA,坡道平面,1900000,41.15,地下一樓
RPROMLRLQHGGFDA28DA,升降平面,2400000,39.88,地下三樓
RPSOMLRLQHGGFDA38DA,坡道平面,2550000,41.02,地下一樓
RPSOMLRLQHGGFDA38DA,坡道平面,2550000,41.02,地下一樓
RPXQMLKKRHGGFCA38EA,坡道平面,2500000,32.72,地下一樓
RPSNMLLKRHGGFDA77EA,塔式車位,1210000,18.00,
RPTNMLNKRHGGFDA08EA,坡道機械,0,13.38,地下一樓
RPQOMLLKRHGGFEA77EA,坡道平面,3000000,9.62,地下一樓
RPWPMLRKRHGGFCA88EA,坡道平面,0,32.52,地下三樓
RPUQMLNKPHGGFFA48EA,坡道平面,4000000,36.26,地下三樓
RPUOMLRLQHGGFDA58DA,坡道平面,2550000,41.02,地下一樓
RPUOMLRLQHGGFDA58DA,坡道平面,2550000,41.02,地下一樓
RPPQMLOKRHGGFCA97EA,坡道平面,0,,地下三樓
RPOOMLLKRHGGFAA17EA,塔式車位,1000000,13.13,
RPOPMLQJRHGGFFA08DA,升降機械,0,,地下一樓
RPPNMLPLQHGGFFA97DA,坡道平面,0,24.80,地下三樓
RPTNMLNKRHGGFEA08DA,坡道平面,0,34.99,地下三樓
RPSOMLLKRHGGFEA87DA,坡道平面,0,45.99,地下一樓
RPSOMLLKRHGGFEA87DA,坡道平面,0,45.99,地下一樓
RPXNMLTJRHGGFDA88DA,坡道平面,2800000,32.19,地下四樓
RPWNMLNLQHGGFEA38DA,坡道平面,2400000,28.09,地下一樓
RPOPMLLKRHGGFCA47EA,坡道平面,2439200,52.50,地下二樓
RPWQMLLMQHGGFCA38DA,塔式車位,0,14.36,
RPSNMLMJRHGGFCA57DA,坡道平面,2100000,38.04,地下四樓
RPSQMLLKRHGGFCA87DA,坡道平面,3500000,50.20,地下一樓
RPSQMLLKRHGGFCA87DA,坡道平面,3500000,50.20,地下一樓
RPQNMLOKRHGGFBA57DA,坡道平面,2250000,36.63,地下二樓
RPTNMLNKRHGGFBA77DA,升降平面,2000000,45.53,地下三樓
RPUNMLNKRHGGFBA87DA,升降平面,2300000,45.53,地下二樓
RPVNMLNKRHGGFBA97DA,升降平面,2100000,45.53,地下三樓
RPXNMLNKRHGGFBA18DA,升降平面,1850000,45.53,地下三樓
RPOOMLNKRHGGFBA37DA,升降平面,1800000,45.53,地下三樓
RPPOMLNKRHGGFBA47DA,升降平面,2200000,45.53,地下一樓
