編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLLMPHGGFAB27DA,9,161.21,集合住宅,鋼筋混凝土造,101年11月21日,二十六層,八層 陽台 雨遮
RPQNMLLMPHGGFAB27DA,9,84.02,本共有部份之項目有防空避難室兼停車空間、機車停車空間、防災中心、停車空間、梯廳、排煙室、樓梯間、消防機房、污水機房、水箱、車道、行動不便電梯、緊急升降機電梯、台電配電室、電信室、電錶室、發電機房、機房、垃圾集中處等１９項。,鋼筋混凝土造,101年11月21日,二十六層,
RPQNMLLMPHGGFAB27DA,9,40.81,本共有部份之項目有人行道、梯廳、排煙室、樓梯間、開放空間、管委會使用空間、機房、過濾機房、中繼機房、水錶室、水箱、行動不便電梯、緊急升降機電梯、電梯等１４項。,鋼筋混凝土造,101年11月21日,二十六層,
RPUNMLNKQHGGFAB77DA,35,108.24,住家用,鋼筋混凝土造,75年5月30日,五層,五層 陽台 花台
RPUNMLNKQHGGFAB77DA,35,6.27,避難室,鋼筋混凝土造,75年5月30日,五層,
RPOOMLRKQHGGFAB67DA,21,78.50,集合住宅,鋼筋混凝土造,89年10月21日,十四層,二層 陽台
RPOOMLRKQHGGFAB67DA,21,30.13,共有部分,鋼筋混凝土造,89年10月21日,十四層,
RPOOMLRKQHGGFAB67DA,21,12.81,共有部分,鋼筋混凝土造,89年10月21日,十四層,
RPTNMLOKQHGGFAB77DA,14,45.02,集合住宅,鋼筋混凝土造,97年1月21日,二十二層,十七層 陽台
RPTNMLOKQHGGFAB77DA,14,8.08,共用,鋼筋混凝土造,97年1月21日,二十二層,
RPTNMLOKQHGGFAB77DA,14,2.88,共用,鋼筋混凝土造,97年1月21日,二十二層,
RPTNMLOKQHGGFAB77DA,14,12.42,共用,鋼筋混凝土造,97年1月21日,二十二層,
RPQPMLTLPHGGFAB18DA,18,151.62,集合住宅,鋼筋混凝土造,92年1月22日,十四層,八層 陽台 雨遮
RPQPMLTLPHGGFAB18DA,18,150.75,集合住宅,鋼筋混凝土造,92年1月22日,十四層,八層 陽台 雨遮
RPQPMLTLPHGGFAB18DA,18,21.68,共用,鋼筋混凝土造,92年1月22日,十四層,
RPQPMLTLPHGGFAB18DA,18,21.59,共用,鋼筋混凝土造,92年1月22日,十四層,
RPQPMLTLPHGGFAB18DA,18,82.84,共用,鋼筋混凝土造,92年1月22日,十四層,
RPQPMLTLPHGGFAB18DA,18,58.05,共用,鋼筋混凝土造,92年1月22日,十四層,
RPVRMLNLQHGGFAB38DA,27,118.54,集合住宅,鋼筋混凝土造,83年7月27日,十三層,八層 陽台
RPVRMLNLQHGGFAB38DA,27,28.15,共有部分,鋼筋混凝土造,83年7月27日,十三層,
RPVRMLNLQHGGFAB38DA,27,15.20,共有部分,鋼筋混凝土造,83年7月27日,十三層,
RPVNMLRKQHGGFAB28DA,26,112.66,集合住宅,鋼筋混凝土造,84年8月17日,十五層,十五層 陽台 花台
RPVNMLRKQHGGFAB28DA,26,7.09,停車空間,鋼筋混凝土造,84年8月17日,十五層,
RPVNMLRKQHGGFAB28DA,26,43.36,人行道．防空避難室．樓梯間．機械室．水箱,鋼筋混凝土造,84年8月17日,十五層,
RPXNMLNLQHGGFAB18DA,42,71.34,住家用,鋼筋混凝土造,68年7月27日,五層,五層
RPRNMLOLQHGGFAB67DA,25,23.28,集合住宅,鋼骨鋼筋混凝土造,85年5月20日,十九層,十二層 陽台 花台 雨遮
RPRNMLOLQHGGFAB67DA,25,5.12,共同使用,鋼骨鋼筋混凝土造,85年5月20日,十九層,
RPRNMLOLQHGGFAB67DA,25,6.02,共同使用,鋼骨鋼筋混凝土造,85年5月20日,十九層,
RPRRMLTLOHGGFAB38DA,13,43.96,集合住宅,鋼筋混凝土造,97年1月21日,二十二層,二層 陽台
RPRRMLTLOHGGFAB38DA,13,7.93,共用,鋼筋混凝土造,97年1月21日,二十二層,
RPRRMLTLOHGGFAB38DA,13,2.81,共用,鋼筋混凝土造,97年1月21日,二十二層,
RPRRMLTLOHGGFAB38DA,13,12.14,共用,鋼筋混凝土造,97年1月21日,二十二層,
RPSOMLOLQHGGFAB87DA,16,196.15,集合住宅,鋼筋混凝土造,94年11月17日,二十二層,十五層 十六層 陽台 雨遮
RPSOMLOLQHGGFAB87DA,16,116.22,共用,鋼筋混凝土造,94年11月17日,二十二層,
RPWNMLQJRHGGFAB28DA,22,87.95,集合住宅,鋼筋混凝土造,88年5月19日,十六層,八層 陽台
RPWNMLQJRHGGFAB28DA,22,44.73,共有部分,鋼筋混凝土造,88年5月19日,十六層,
RPQNMLKKRHGGFAB17DA,23,105.29,住家用,鋼筋混凝土造,87年5月7日,十四層,十四層 陽台
RPXPMLOLQHGGFAB48DA,2,67.71,集合住宅,鋼筋混凝土造,108年7月9日,十二層,十二層 陽台
RPXPMLOLQHGGFAB48DA,2,71.00,本共有部份係依使用執照之建築概要表記載項目有防空避難室兼停車空間、樓梯間、排煙室、一般昇降機、緊急昇降機、消防機房、汙水處理機房、水箱、機械室、停車空間、電信室、緊急發電機室、台電配電室、機房、機車停車區、門廳兼梯廳、管理室、垃圾集中室、公共服務空間、沿街步道式頂蓋型開放空間、車道、行動不便者廁所、梯廳、梯間、水錶箱室、電梯機房等二十六項。,鋼筋混凝土造,108年7月9日,十二層,
RPQNMLKKRHGGFAB17DA,23,41.70,共同使用,鋼筋混凝土造,87年5月7日,十四層,
RPUOMLPLQHGGFAB18DA,16,39.65,集合住宅,鋼筋混凝土造,94年6月2日,十四層,六層 陽台 雨遮
RPUOMLPLQHGGFAB18DA,16,25.34,共用,鋼筋混凝土造,94年6月2日,十四層,
RPTPMLMKPHGGFBB77DA,11,70.46,住家用,鋼筋混凝土造,99年9月9日,十七層,十七層 陽台
RPTPMLMKPHGGFBB77DA,11,40.08,本共有部份係依使用執照之建築概要表記載項目有，停車空間，樓梯間，昇降機間，消防機房兼污水機房，排煙室，水箱，機車停車區，防空避難室兼停車空間，車道，台電配電室，緊急發電機室，機房，電信室等１３項。,鋼筋混凝土造,99年9月9日,十七層,
RPTPMLMKPHGGFBB77DA,11,24.79,本共有部份係依使用執照之建築概要表記載項目有，人行道，管委會管理室，門廳，樓梯間，昇降機間，排煙室，梯廳，公設，透空遮牆，水箱，電梯機房，走廊，車道，外廊等１４項。,鋼筋混凝土造,99年9月9日,十七層,
RPTPMLMKPHGGFBB77DA,11,.00,本共有部份係依使用執照之建築概要表記載項目有，停車空間，樓梯間，昇降機間，消防機房兼污水機房，排煙室，水箱，機車停車區，防空避難室兼停車空間，台電配電室，緊急發電機室，車道，電信室等１２項,鋼筋混凝土造,99年9月9日,十八層,
RPTPMLMKPHGGFBB77DA,11,.00,本共有部份係依使用執照之建築概要表記載項目有，人行道，管委會管理室，門廳，樓梯間，昇降機間，排煙室，透空遮牆，水箱，電梯機房，車道，機房，管委會使用空間，開放空間，外廊，管委會休憩室，管委會交誼廳，管委會閱覽室，垃圾集中處等１８項。,鋼筋混凝土造,99年9月9日,十八層,
RPRQMLRJRHGGFAB18DA,2,52.06,集合住宅,鋼筋混凝土造,108年9月9日,七層,七層 陽台
RPRQMLRJRHGGFAB18DA,2,32.96,本共有部份係依使用執照之建築概要表及竣工平面圖記載用途項目有：防空避難室兼停車空間、消防機房、發電機室、電信室、台電配電室、台電通道、車道、水箱、昇降機道、管理委員會使用空間、人行道、梯廳、安全梯、樓梯間、消防蓄水池、雨水貯集滯洪設施共１６項。,鋼筋混凝土造,108年9月9日,七層,
RPQNMLRJRHGGFAB77DA,30,146.53,住家用,鋼筋混凝土造,80年4月13日,七層,五層 陽台 花台
RPQNMLRJRHGGFAB77DA,30,6.21,停車空間,鋼筋混凝土造,80年4月13日,七層,地下層
RPQNMLRJRHGGFAB77DA,30,47.21,機械室，水箱，梯間，受電室，機械室，避難室，通道,鋼筋混凝土造,80年4月13日,七層,
RPVOMLNJQHGGFBB97DA,16,256.57,機械室，住宅,鋼筋混凝土造,94年12月16日,四層,一層 二層 三層 四層 陽台 地下一層
RPPPMLMKQHGGFBB47DA,9,91.73,住家用,鋼筋混凝土造,101年8月7日,十四層,四層 陽台 雨遮
RPPPMLMKQHGGFBB47DA,9,77.79,本共有部分係依使用執照之建築概要表記載項目有停車空間、消防機械室、水箱、排煙室、樓梯電梯間、發電機室、電信室、防空避難室兼停車空間、台電配電室、開放空間、管理委員會使用空間、門廊、車道、梯廳及機械室等１５項。,鋼筋混凝土造,101年8月7日,十四層,
RPVNMLQLQHGGFAB28DA,17,103.32,集合住宅,鋼筋混凝土造,93年12月24日,十八層,五層 陽台 雨遮
RPVNMLQLQHGGFAB28DA,17,19.66,共用部分,鋼筋混凝土造,93年12月24日,十八層,
RPVNMLQLQHGGFAB28DA,17,43.03,共用部分,鋼筋混凝土造,93年12月24日,十八層,
RPPOMLRKQHGGFBB87DA,25,62.39,住家用,鋼筋混凝土造,85年8月27日,七層,六層 陽台 花台
RPPOMLRKQHGGFBB87DA,25,.00,共有部分,鋼筋混凝土造,85年8月27日,七層,
RPPOMLRKQHGGFBB87DA,25,18.45,共有部分,鋼筋混凝土造,85年8月27日,七層,
RPUQMLRKQHGGFBB58DA,28,67.05,住家用,鋼筋混凝土造,82年9月6日,七層,五層 陽台 花台
RPUQMLRKQHGGFBB58DA,28,19.14,共有部分,鋼筋混凝土造,82年9月6日,七層,
RPRPMLSKQHGGFBB28DA,32,76.83,住家用,鋼筋混凝土造,78年6月2日,五層,一層 平台
RPRPMLSKQHGGFBB28DA,32,44.31,共有部分,鋼筋混凝土造,78年6月2日,五層,
RPUSMLKLQHGGFBB18DA,47,110.96,住商用,鋼筋混凝土加強磚造,63年3月23日,二層,一層 二層 騎樓
RPQPMLKMPHGGFBB47DA,29,108.46,住家用,鋼筋混凝土造,81年9月17日,七層,三層 陽台 花台
RPQPMLKMPHGGFBB47DA,29,28.97,共有部分,鋼筋混凝土造,81年9月17日,七層,
RPRNMLPLQHGGFBB87DA,40,78.52,住家用,鋼筋混凝土造,70年3月3日,五層,四層 陽台
RPRNMLPLQHGGFBB87DA,40,9.43,共有部分,鋼筋混凝土造,70年3月3日,五層,
RPVPMLKMQHGGFBB08DA,1,53.81,集合住宅,鋼筋混凝土造,109年10月22日,十四層,十三層 陽台 雨遮
RPVPMLKMQHGGFBB08DA,1,55.90,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間，水箱，安全梯，排煙室，消防機房，雨污水機房，昇降機間，管道間，車道，停車空間，台電配電室，緊急發電機室，電信室，管委會使用空間，公共服務空間，資源回收室，戶外安全梯，機車停車空間，梯廳，機房，樓梯間，梯間，水錶機房，電梯機房等２４項,鋼筋混凝土造,109年10月22日,十四層,
