編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLLKQHGGFDC18DA,42,42.30,商業用,鋼筋混凝土造,68年12月18日,四層,一層
RPVRMLTJQHGGFDC56DA,15,306.69,地下壹層：停車空間；壹層至肆層：集合住宅；突出物壹層：樓梯間；突出物貳層：水箱室,鋼筋混凝土造,95年10月31日,四層,一層 二層 三層 四層 陽台 屋頂突出物 地下一層
RPVRMLTJQHGGFDC56DA,15,48.66,共用部份,鋼筋混凝土造,95年10月31日,四層,
RPWNMLOLQHGGFDC58DA,31,6.22,共用部份,鋼筋混凝土造,79年4月21日,五層,
RPWNMLOLQHGGFDC58DA,31,89.70,住家用,鋼筋混凝土造,79年4月21日,五層,二層 陽台
RPUPMLTKQHGGFDC98DA,37,95.48,住家用,鋼筋混凝土造,73年8月13日,五層,四層 陽台
RPPOMLQKQHGGFDC08DA,27,124.47,住家用,鋼筋混凝土造,84年1月27日,十層,五層 陽台
RPPOMLQKQHGGFDC08DA,27,18.64,共用部份,鋼筋混凝土造,84年1月27日,十層,
RPPOMLQKQHGGFDC08DA,27,4.06,共用部份,鋼筋混凝土造,84年1月27日,十層,
RPOOMLNKQHGGFDC67DA,26,71.79,住家用,鋼筋混凝土造,84年11月16日,五層,三層 陽台
RPOOMLNKQHGGFDC67DA,26,9.15,共用部份,鋼筋混凝土造,84年11月16日,五層,
RPSPMLTKQHGGFDC78DA,39,68.72,住家用,鋼筋混凝土造,71年4月26日,五層,五層 陽台
RPVOMLNJRHGGFDC38DA,25,71.70,住家用,鋼筋混凝土造,85年11月19日,五層,三層 陽台
RPVOMLNJRHGGFDC38DA,25,.68,幼稚園,鋼筋混凝土造,85年11月19日,五層,一層 二層 陽台 平台
RPVOMLNJRHGGFDC38DA,25,22.52,共用部份,鋼筋混凝土造,85年11月19日,五層,
RPVOMLNJRHGGFDC38DA,25,.22,共用部份,鋼筋混凝土造,85年11月19日,五層,
