編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLLKQHGGFDC18DA,東信段四小段,11.00,都市：其他:住宅區,6,1,持分移轉,00080001
RPWNMLLKQHGGFDC18DA,東信段四小段,5.58,都市：其他:住宅區,12,1,持分移轉,00080002
RPVRMLTJQHGGFDC56DA,德安段,123.58,都市：其他:住宅區(住一),10000,95,持分移轉,03280000
RPVRMLTJQHGGFDC56DA,德安段,11.24,都市：其他:住宅區(住一),10000,95,持分移轉,03290000
RPVRMLTJQHGGFDC56DA,德安段,45.07,都市：其他:住宅區(住一),10000,95,持分移轉,03300000
RPVRMLTJQHGGFDC56DA,德安段,1.87,都市：其他:倉儲區,10000,95,持分移轉,03500000
RPVRMLTJQHGGFDC56DA,德安段,1.29,都市：其他:倉儲區,20000,95,持分移轉,03920000
RPVRMLTJQHGGFDC56DA,德安段,2.12,都市：其他:倉儲區,20000,95,持分移轉,03930000
RPVRMLTJQHGGFDC56DA,德安段,.23,都市：其他:倉儲區,20000,95,持分移轉,03960000
RPVRMLTJQHGGFDC56DA,德安段,3.27,都市：其他:倉儲區,20000,95,持分移轉,03970000
RPVRMLTJQHGGFDC56DA,德安段,.03,都市：其他:道路用地,20000,95,持分移轉,03970001
RPVRMLTJQHGGFDC56DA,德安段,.06,都市：其他:倉儲區,20000,95,持分移轉,03980000
RPWNMLOLQHGGFDC58DA,湖海段,24.16,都市：其他:住宅區,3652,24,持分移轉,06080000
RPUPMLTKQHGGFDC98DA,福祿段,29.14,都市：其他:住宅區,10000,228,持分移轉,05290000
RPPOMLQKQHGGFDC08DA,培德段,23.06,都市：其他:住宅區(住四),10000,43,持分移轉,07330000
RPOOMLNKQHGGFDC67DA,光明段,25.37,都市：其他:住宅區,10000,20,持分移轉,00730000
RPOOMLNKQHGGFDC67DA,光明段,.02,都市：其他:機關用地,10000,20,持分移轉,00730001
RPOOMLNKQHGGFDC67DA,光明段,.14,都市：其他:機關用地,10000,20,持分移轉,00730002
RPOOMLNKQHGGFDC67DA,光明段,.03,都市：其他:機關用地,10000,20,持分移轉,00730003
RPOOMLNKQHGGFDC67DA,光明段,.06,都市：其他:道路用地,10000,20,持分移轉,00730004
RPOOMLNKQHGGFDC67DA,光明段,.03,都市：其他:機關用地,10000,20,持分移轉,00730005
RPSPMLTKQHGGFDC78DA,安國段,19.00,都市：其他:住宅區,5,1,持分移轉,00040008
RPVOMLNJRHGGFDC38DA,調和段,28.54,都市：其他:住宅區(住二),10000,27,持分移轉,04660000
RPVOMLNJRHGGFDC38DA,調和段,.05,都市：其他:道路用地,10000,27,持分移轉,04660001
RPVOMLNJRHGGFDC38DA,調和段,.04,都市：其他:道路用地,10000,27,持分移轉,04660002
RPVOMLNJRHGGFDC38DA,調和段,.04,都市：其他:保護區,10000,27,持分移轉,04660003
RPUNMLKLQHGGFDC97DA,代天府段,22.81,都市：其他:住宅區(住三),100000,56,持分移轉,08370000
RPUNMLKLQHGGFDC97DA,代天府段,.14,都市：其他:道路用地,100000,56,持分移轉,08370001
RPUNMLKLQHGGFDC97DA,代天府段,.18,都市：其他:住宅區(住三),100000,56,持分移轉,08370002
RPUNMLKLQHGGFDC97DA,代天府段,.04,都市：其他:保護區,100000,56,持分移轉,08370003
RPUNMLKLQHGGFDC97DA,代天府段,.00,都市：其他:住宅區(住三),100000,56,持分移轉,08370004
RPUNMLKLQHGGFDC97DA,代天府段,.09,都市：其他:住宅區(住三),100000,56,持分移轉,08370005
RPUNMLKLQHGGFDC97DA,代天府段,.06,都市：其他:道路用地,100000,56,持分移轉,08370006
RPOOMLQJRHGGFDC97DA,安國段,24.96,都市：其他:商業區,10000,156,持分移轉,00060001
RPQOMLLJRHGGFDC67DA,源遠段,17.75,都市：其他:商業區(商一),10000,94,持分移轉,11400000
RPVOMLLJRHGGFDC18DA,東信段二小段,11.96,都市：其他:商業區,144000,11964,持分移轉,00010000
RPQNMLMJRHGGFDC67DA,延年段,68.00,都市：其他:商業區,1,1,全筆移轉,09690000
RPSOMLSJRHGGFDC58DA,東明段,.39,都市：其他:公園兼兒童遊樂場用地,100000,1021,持分移轉,05110000
RPSOMLSJRHGGFDC58DA,東明段,35.43,都市：其他:住宅區,100000,1021,持分移轉,05110002
RPOPMLQJRHGGFDC08DA,東明段,.65,都市：其他:住宅區,5000,181,持分移轉,04150000
RPOPMLQJRHGGFDC08DA,東明段,2.28,都市：其他:商業區,5000,181,持分移轉,04150001
RPOPMLQJRHGGFDC08DA,東明段,.54,都市：其他:住宅區,5000,181,持分移轉,04160000
RPOPMLQJRHGGFDC08DA,東明段,2.14,都市：其他:商業區,5000,181,持分移轉,04160001
RPOPMLQJRHGGFDC08DA,東明段,.51,都市：其他:住宅區,5000,181,持分移轉,04170000
RPOPMLQJRHGGFDC08DA,東明段,2.24,都市：其他:商業區,5000,181,持分移轉,04170001
RPOPMLQJRHGGFDC08DA,東明段,.69,都市：其他:住宅區,5000,181,持分移轉,04180000
RPOPMLQJRHGGFDC08DA,東明段,1.95,都市：其他:商業區,5000,181,持分移轉,04180001
RPOPMLQJRHGGFDC08DA,東明段,15.31,都市：其他:住宅區,5000,181,持分移轉,04230000
RPUNMLTJRHGGFDC78DA,暖暖段東勢坑小段,47.98,都市：其他:住宅區(住三),10000,252,持分移轉,09320000
RPPOMLTJRHGGFDC38DA,調和段,4.87,都市：其他:住宅區(住二),1,1,全筆移轉,05880002
RPQPMLSJRHGGFDC48DA,源遠段,15.42,都市：其他:住宅區(住二),10000,55,持分移轉,05940000
RPQNMLTJRHGGFDC48EA,南新段,16.26,都市：其他:住宅區(住一),5,1,持分移轉,07870000
RPQNMLTJRHGGFDC48EA,南新段,3.60,都市：其他:道路用地,5,1,持分移轉,07870001
RPQNMLTJRHGGFDC48EA,南新段,.34,都市：其他:道路用地,5,1,持分移轉,07870002
RPXOMLKKRHGGFDC38DA,忠義段四小段,17.86,都市：其他:住宅區,7,1,持分移轉,00160055
RPXOMLKKRHGGFDC38DA,忠義段四小段,5.57,都市：其他:道路用地,7,1,持分移轉,00160120
RPQNMLKMQHGGFDC77EA,成功段,.86,都市：其他:商業區,100000,96,持分移轉,10940000
RPQNMLKMQHGGFDC77EA,成功段,.00,都市：其他:道路用地,100000,96,持分移轉,10940012
RPQNMLKMQHGGFDC77EA,成功段,.00,都市：其他:道路用地,100000,96,持分移轉,10940029
RPQNMLKMQHGGFDC77EA,成功段,1.50,都市：其他:住宅區,100000,96,持分移轉,10940031
RPQNMLKMQHGGFDC77EA,成功段,1.73,都市：其他:住宅區,100000,96,持分移轉,11780000
