編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLLJRHGGFDC67DA,坡道平面,0,,地下二樓
RPUNMLTJRHGGFDC78DA,坡道平面,0,,地下二樓
RPQPMLSJRHGGFDC48DA,坡道機械,0,14.95,地下一樓
RPQNMLQJRHGGFDC18EA,坡道平面,650000,40.41,地下二樓
RPQNMLQJRHGGFDC18EA,坡道平面,650000,40.41,地下二樓
RPOOMLSJRHGGFDC18DA,坡道平面,0,,地下二樓
RPTNMLOJRHGGFDC18DA,坡道平面,1050000,35.96,地下二樓
RPUNMLOJRHGGFDC28DA,坡道平面,1200000,35.96,地下四樓
RPQQMLQKQHGGFDC38DA,坡道平面,0,,地下一樓
RPTOMLKMQHGGFDC08DA,坡道平面,0,,地下一樓
RPVNMLQLQHGGFDC68DA,坡道平面,0,35.85,地下一樓
RPPNMLPJRHGGFDC87DA,坡道平面,1100000,15.28,地下一樓
RPOOMLOLQHGGFDC87DA,坡道平面,0,27.47,地下一樓
RPOOMLOLQHGGFDC87DA,坡道機械,0,27.47,地下二樓
RPROMLKKRHGGFDC77DA,坡道平面,0,,地下二樓
RPVNMLKKRHGGFDC08DA,坡道平面,0,,地下二樓
RPPQMLRLQHGGFDC48DA,坡道平面,0,48.96,地下三樓
RPPNMLLKOHGGFDC27DA,坡道機械,0,6.60,地下一樓
RPQOMLRKQHGGFDC28DA,坡道平面,0,,地下一樓
RPXNMLQJRHGGFDC78DA,坡道機械,0,,地下三樓
RPVNMLRJRHGGFDC68DA,坡道平面,0,30.03,地下一樓
RPSOMLLJRHGGFDC87DA,坡道平面,0,,地下一樓
RPPOMLQJRHGGFDC08DA,坡道平面,0,,地下二樓
RPUPMLRJRHGGFDC78DA,坡道機械,400000,20.76,地下二樓
RPPNMLOKRHGGFDC87DA,坡道平面,0,,地下一樓
RPSOMLNKRHGGFDC18DA,坡道平面,0,33.12,地下二樓
RPPNMLPKRHGGFDC08EA,坡道機械,0,18.83,地下四樓
RPUPMLTJRHGGFDC98DA,坡道平面,1300000,33.03,地下三樓
RPTPMLRJRHGGFDC68DA,坡道平面,0,35.85,地下二樓
RPTPMLRJRHGGFDC68DA,坡道機械,0,17.92,地下二樓
RPROMLRJRHGGFDC38DA,坡道平面,0,,地下二樓
RPRNMLOJRHGGFDC97DA,坡道平面,1050000,35.96,地下二樓
RPSNMLOJRHGGFDC08DA,坡道平面,1200000,35.96,地下三樓
