編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPQMLRLQHGGFAD28DA,,131.94,集合住宅,鋼筋混凝土構造,110年4月13日,二十四層,十七層 陽台
RPPQMLRLQHGGFAD28DA,,65.23,本共有部分之項目有公共服務空間、管委會使用空間、汽車坡道、樓梯間、消防中繼機房、機械室、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土構造,110年4月13日,二十四層,
RPPQMLRLQHGGFAD28DA,,20.70,本共有部分之項目有樓梯間,鋼筋混凝土構造,110年4月13日,二十四層,
RPUPMLQJRHGGFAD48DA,,135.60,集合住宅,鋼筋混凝土構造,110年4月13日,二十四層,十三層 陽台
RPUPMLQJRHGGFAD48DA,,66.22,本共有部分之項目有公共服務空間、管委會使用空間、汽車坡道、樓梯間、消防中繼機房、機械室、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土構造,110年4月13日,二十四層,
RPUPMLQJRHGGFAD48DA,,21.25,本共有部分之項目有樓梯間,鋼筋混凝土構造,110年4月13日,二十四層,
RPWPMLSJRHGGFAD88DA,,99.97,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,五層 陽台 雨遮
RPWPMLSJRHGGFAD88DA,,70.47,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPVPMLQJRHGGFAD58DA,,177.06,集合住宅,鋼筋混凝土構造,110年4月13日,二十四層,十三層 陽台
RPVPMLQJRHGGFAD58DA,,105.13,本共有部分之項目有公共服務空間、管委會使用空間、汽車坡道、樓梯間、消防中繼機房、機械室、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土構造,110年4月13日,二十四層,
RPVPMLQJRHGGFAD58DA,,28.14,本共有部分之項目有樓梯間,鋼筋混凝土構造,110年4月13日,二十四層,
RPSNMLSJRHGGFAD28DA,,135.60,集合住宅,鋼筋混凝土構造,110年4月13日,二十四層,十五層 陽台
RPSNMLSJRHGGFAD28DA,,66.22,本共有部分之項目有公共服務空間、管委會使用空間、汽車坡道、樓梯間、消防中繼機房、機械室、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土構造,110年4月13日,二十四層,
RPSNMLSJRHGGFAD28DA,,21.25,本共有部分之項目有樓梯間,鋼筋混凝土構造,110年4月13日,二十四層,
RPUNMLNJRHGGFAD97DA,30,20.29,共有部分,鋼筋混凝土造,80年5月15日,十層,
RPUNMLNJRHGGFAD97DA,30,108.50,住家用,鋼筋混凝土造,80年5月15日,十層,四層 陽台
RPRNMLOJRHGGFAD77DA,,53.14,集合住宅,鋼筋混凝土構造,110年5月7日,五層,五層 陽台
RPRNMLOJRHGGFAD77DA,,16.73,本共有部分之項目有安全梯、昇降機、梯廳、管理維護空間、停車空間、樓梯間等６項。,鋼筋混凝土構造,110年5月7日,五層,
RPUQMLRLQHGGFAD78DA,,177.06,集合住宅,鋼筋混凝土構造,110年4月13日,二十四層,十二層 陽台
RPUQMLRLQHGGFAD78DA,,107.46,本共有部分之項目有公共服務空間、管委會使用空間、汽車坡道、樓梯間、消防中繼機房、機械室、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土構造,110年4月13日,二十四層,
RPUQMLRLQHGGFAD78DA,,28.14,本共有部分之項目有樓梯間,鋼筋混凝土構造,110年4月13日,二十四層,
RPPOMLRJRHGGFAD97DA,31,32.73,住家用,鋼筋混凝土造,80年2月13日,七層,三層 陽台 走廊
RPPOMLRJRHGGFAD97DA,31,9.24,共有部分,鋼筋混凝土造,80年2月13日,七層,
RPOQMLSJRHGGFAD18DA,,99.97,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,七層 陽台 雨遮
RPOQMLSJRHGGFAD18DA,,70.47,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPPQMLSJRHGGFAD28DA,,81.31,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,五層 陽台 雨遮
RPPQMLSJRHGGFAD28DA,,60.36,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPVNMLTJRHGGFAD68DA,,81.31,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,三層 陽台 雨遮
RPVNMLTJRHGGFAD68DA,,60.36,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPPNMLTJRHGGFAD08DA,,99.97,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,九層 陽台 雨遮
RPPNMLTJRHGGFAD08DA,,70.47,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPQNMLTJRHGGFAD18DA,,99.97,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,五層 陽台 雨遮
RPQNMLTJRHGGFAD18DA,,70.47,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPRNMLTJRHGGFAD28DA,,99.97,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,三層 陽台 雨遮
RPRNMLTJRHGGFAD28DA,,70.47,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPSNMLTJRHGGFAD38DA,,61.71,店舖、集合住宅,鋼筋混凝土構造,110年6月23日,十四層,一層 見其他登記事項
RPSNMLTJRHGGFAD38DA,,49.82,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPXOMLTJRHGGFAD98DA,25,9.23,共有部分,鋼筋混凝土造,86年1月27日,二十層,
RPXOMLTJRHGGFAD98DA,25,6.92,共有部分,鋼筋混凝土造,86年1月27日,二十層,
RPXOMLTJRHGGFAD98DA,25,4.00,共有部分,鋼筋混凝土造,86年1月27日,二十層,
RPXOMLTJRHGGFAD98DA,25,43.16,住家用,鋼筋混凝土造,86年1月27日,二十層,十四層 陽台
RPROMLTJRHGGFBD48DA,12,270.81,集合住宅,鋼筋混凝土造,97年11月28日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPROMLTJRHGGFBD48DA,12,.02,集合住宅,鋼筋混凝土造,97年11月28日,一層,一層
RPROMLTJRHGGFBD48DA,12,2.95,共有部分,鋼筋混凝土造,97年11月28日,三層,
RPROMLTJRHGGFBD48DA,12,.24,共有部分,鋼筋混凝土造,97年11月28日,一層,
RPXPMLTJRHGGFAD09DA,8,42.41,集合住宅,鋼筋混凝土構造,102年11月25日,十四層,四層 陽台
RPXPMLTJRHGGFAD09DA,8,12.27,本共有部分之項目有門廳、守衛室、停車空間、防空避難室、管理維護空間。,鋼筋混凝土構造,102年11月25日,十四層,
RPXPMLTJRHGGFAD09DA,8,9.31,本共有部分之項目有電樓梯間、電梯機房、水箱。,鋼筋混凝土構造,102年11月25日,十四層,
RPVOMLTJRHGGFAD78DA,,162.61,集合住宅,鋼筋混凝土構造,110年4月13日,二十四層,十一層 陽台
RPVOMLTJRHGGFAD78DA,,103.15,本共有部分之項目有公共服務空間、管委會使用空間、汽車坡道、樓梯間、消防中繼機房、機械室、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土構造,110年4月13日,二十四層,
RPVOMLTJRHGGFAD78DA,,25.68,本共有部分之項目有樓梯間,鋼筋混凝土構造,110年4月13日,二十四層,
