編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPQMLRLQHGGFAD28DA,新南段,26.26,都市：其他:住宅區,170000,746,持分移轉,00800005
RPUPMLQJRHGGFAD48DA,新南段,26.89,都市：其他:住宅區,170000,764,持分移轉,00800005
RPWPMLSJRHGGFAD88DA,北元段,30.43,都市：其他:住宅區,200000,1990,持分移轉,06120000
RPVPMLQJRHGGFAD58DA,新南段,37.28,都市：其他:住宅區,170000,1059,持分移轉,00800005
RPSNMLSJRHGGFAD28DA,新南段,26.89,都市：其他:住宅區,170000,764,持分移轉,00800005
RPUNMLNJRHGGFAD97DA,郡王祠段,.13,都市：其他:細部計畫道路用地,10000,334,持分移轉,12530000
RPUNMLNJRHGGFAD97DA,郡王祠段,12.72,都市：其他:商業區,10000,334,持分移轉,12550000
RPRNMLOJRHGGFAD77DA,立人段,2.01,都市：其他:商業區,10000,805,持分移轉,09210000
RPRNMLOJRHGGFAD77DA,立人段,21.01,都市：其他:住宅區,10000,805,持分移轉,09220000
RPRNMLOJRHGGFAD77DA,立人段,1.21,都市：其他:細部計畫道路用地,10000,805,持分移轉,09230000
RPUQMLRLQHGGFAD78DA,新南段,37.49,都市：其他:住宅區,170000,1065,持分移轉,00800005
RPPOMLRJRHGGFAD97DA,新臨安段,.01,都市：其他:細部計畫道路用地,10000,62,持分移轉,04710000
RPPOMLRJRHGGFAD97DA,新臨安段,.50,都市：其他:住宅區,10000,62,持分移轉,04720000
RPPOMLRJRHGGFAD97DA,新臨安段,.01,都市：其他:細部計畫道路用地,10000,62,持分移轉,04720001
RPPOMLRJRHGGFAD97DA,新臨安段,5.26,都市：其他:住宅區,10000,62,持分移轉,04730000
RPPOMLRJRHGGFAD97DA,新臨安段,.06,都市：其他:細部計畫道路用地,10000,62,持分移轉,04730001
RPPOMLRJRHGGFAD97DA,新臨安段,.03,都市：其他:細部計畫道路用地,10000,62,持分移轉,04770000
RPOQMLSJRHGGFAD18DA,北元段,30.43,都市：其他:住宅區,100000,995,持分移轉,06120000
RPPQMLSJRHGGFAD28DA,北元段,24.77,都市：其他:住宅區,100000,810,持分移轉,06120000
RPVNMLTJRHGGFAD68DA,北元段,24.77,都市：其他:住宅區,200000,1620,持分移轉,06120000
RPPNMLTJRHGGFAD08DA,北元段,30.43,都市：其他:住宅區,100000,995,持分移轉,06120000
RPQNMLTJRHGGFAD18DA,北元段,30.43,都市：其他:住宅區,100000,995,持分移轉,06120000
RPRNMLTJRHGGFAD28DA,北元段,30.43,都市：其他:住宅區,100000,995,持分移轉,06120000
RPSNMLTJRHGGFAD38DA,北元段,18.78,都市：其他:住宅區,100000,614,持分移轉,06120000
RPXOMLTJRHGGFAD98DA,觀音段,5.32,都市：其他:商業區,100000,303,持分移轉,03060000
RPPOMLQJRHGGFBD97DA,國安段,106.60,都市：其他:細部計畫道路用地,100000,4415,持分移轉,02790000
RPPOMLQJRHGGFBD97DA,國安段,10.50,都市：其他:細部計畫道路用地,130100,2675,持分移轉,04640000
RPROMLTJRHGGFBD48DA,和館段,4.98,都市：其他:住宅區,832,2,持分移轉,00440000
RPROMLTJRHGGFBD48DA,和館段,129.20,都市：其他:住宅區,1,1,全筆移轉,00440183
RPROMLTJRHGGFBD48DA,和館段,36.26,都市：其他:住宅區,200000,8638,持分移轉,00440425
RPROMLTJRHGGFBD48DA,和館段,.07,都市：其他:住宅區,464,2,持分移轉,00440637
RPROMLTJRHGGFBD48DA,和館段,1.47,都市：其他:住宅區,832,2,持分移轉,00440643
RPXPMLTJRHGGFAD09DA,金華段,9.26,都市：其他:住宅區,100000,223,持分移轉,01050001
RPVOMLTJRHGGFAD78DA,新南段,34.67,都市：其他:住宅區,170000,985,持分移轉,00800005
RPTNMLSJRHGGFBD48DA,青砂段,80.75,都市：其他:低密度住宅區,1,1,全筆移轉,10140019
RPPNMLSJRHGGFBD08DA,公塭段,71.13,都市：其他:細部計畫道路用地,60,22,持分移轉,04120000
RPPNMLSJRHGGFBD08DA,公塭段,39.04,都市：其他:主要計畫道路用地,60,22,持分移轉,04120001
RPPNMLSJRHGGFBD08DA,公塭段,5.43,都市：其他:細部計畫道路用地,60,22,持分移轉,05270000
RPPNMLSJRHGGFBD08DA,公塭段,347.89,都市：其他:主要計畫道路用地,60,22,持分移轉,05270001
RPVOMLRJRHGGFBD68DA,國安段,15.47,都市：其他:住宅區,10000,23,持分移轉,16120000
RPRNMLSJRHGGFBD28DA,青砂段,77.56,都市：其他:低密度住宅區,1,1,全筆移轉,10140022
RPUNMLSJRHGGFBD58DA,青砂段,79.44,都市：其他:低密度住宅區,1,1,全筆移轉,10140018
RPROMLQJRHGGFBD18DA,國安段,31.50,都市：其他:細部計畫道路用地,130100,8025,持分移轉,04640000
