編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPQMLRLQHGGFAD28DA,坡道平面,1250000,29.25,地下三樓
RPUPMLQJRHGGFAD48DA,坡道平面,1250000,29.25,地下三樓
RPWPMLSJRHGGFAD88DA,坡道平面,0,16.61,地下一樓
RPVPMLQJRHGGFAD58DA,坡道平面,1350000,29.25,地下二樓
RPVPMLQJRHGGFAD58DA,坡道平面,1250000,26.91,地下二樓
RPSNMLSJRHGGFAD28DA,坡道平面,1250000,29.25,地下三樓
RPUQMLRLQHGGFAD78DA,坡道平面,1350000,29.25,地下二樓
RPUQMLRLQHGGFAD78DA,坡道平面,1350000,29.25,地下二樓
RPOQMLSJRHGGFAD18DA,坡道平面,1530000,16.61,地下一樓
RPPQMLSJRHGGFAD28DA,坡道平面,0,16.61,地下一樓
RPVNMLTJRHGGFAD68DA,坡道平面,0,16.61,地下二樓
RPPNMLTJRHGGFAD08DA,坡道平面,0,16.61,地下一樓
RPQNMLTJRHGGFAD18DA,坡道平面,0,16.61,地下一樓
RPRNMLTJRHGGFAD28DA,坡道平面,0,16.61,地下一樓
RPSNMLTJRHGGFAD38DA,坡道平面,0,16.61,地下一樓
RPVOMLTJRHGGFAD78DA,坡道平面,1250000,29.25,地下三樓
RPVOMLTJRHGGFAD78DA,坡道平面,1250000,29.25,地下三樓
RPVOMLRJRHGGFBD68DA,坡道平面,0,25.60,地下三樓
RPVNMLTJRHGGFBD78DA,坡道平面,0,23.34,地下二樓
RPXOMLSJRHGGFCD09DA,坡道平面,0,,地下三樓
RPRRMLSJRHGGFHD66DA,坡道平面,0,,地下一樓
RPWTMLPLQHGGFID27DA,坡道平面,900000,17.45,地下二樓
RPWNMLMJRHGGFID88DA,一樓平面,0,,一樓
RPQOMLMJRHGGFID38DA,一樓平面,0,,一樓
RPVNMLMJRHGGFID78DA,一樓平面,0,,一樓
RPWPMLQLQHGGFID96DA,坡道平面,830000,17.45,地下三樓
RPRPMLMJRHGGFID58DA,坡道平面,850000,17.45,地下三樓
RPOOMLMJRHGGFID18DA,一樓平面,0,,一樓
RPPNMLSJQHGGFKD88DA,坡道機械,800000,,地下一樓
RPWOMLRLQHGGFKD17DA,坡道平面,0,,地下一樓
RPUOMLPLQHGGFKD76DA,坡道平面,1650000,22.05,地下三樓
RPUOMLRJRHGGFKD86DA,坡道機械,0,,地下一樓
RPQPMLTJRHGGFKD76DA,坡道平面,0,,地下一樓
RPQNMLKKRHGGFDD77EA,一樓平面,0,,一樓
RPVOMLKMQHGGFKD09DA,一樓平面,0,18.29,一樓
RPTQMLMJRHGGFID88DA,坡道平面,700000,17.45,地下四樓
RPUQMLMJRHGGFID98DA,坡道平面,800000,17.45,地下三樓
RPSQMLMJRHGGFID78DA,坡道平面,920000,17.45,地下二樓
RPROMLMJRHGGFID48DA,一樓平面,0,,一樓
RPQQMLMJRHGGFID58DA,坡道平面,800000,17.45,地下三樓
RPXNMLMJRHGGFID98DA,一樓平面,0,,一樓
RPWSMLPLQHGGFID17DA,坡道平面,830000,17.45,地下三樓
RPSOMLOJQHGGFID68DA,坡道平面,700000,17.45,地下四樓
RPSPMLLKQHGGFID58DA,坡道平面,900000,17.45,地下二樓
RPSOMLMKQHGGFID58DA,坡道平面,900000,17.45,地下二樓
RPPOMLPJNHGGFID18DA,坡道平面,800000,17.45,地下三樓
RPOOMLPJQHGGFID38DA,坡道平面,900000,17.45,地下二樓
RPVPMLQJNHGGFID98DA,其他,1020000,23.07,地下一樓
RPUPMLMKNHGGFID58DA,坡道平面,800000,17.45,地下三樓
RPUNMLMKQHGGFHD58DA,一樓平面,900000,10.63,一樓
RPWOMLSJRHGGFCD98DA,坡道平面,0,,地下二樓
RPXOMLRJRHGGFCD98DA,坡道平面,0,,地下一樓
RPPNMLLKRHGGFBD47DA,坡道平面,0,25.60,地下二樓
RPVNMLRJRHGGFBD58DA,一樓平面,800000,,一樓
RPOOMLRJRHGGFBD97DA,一樓平面,1000000,14.13,一樓
RPROMLRJRHGGFBD28DA,一樓平面,1000000,14.13,一樓
RPQOMLRJRHGGFBD18DA,一樓平面,1000000,14.13,一樓
RPSOMLRJRHGGFBD38DA,一樓平面,1000000,14.13,一樓
RPWNMLTJRHGGFAD78DA,坡道平面,0,16.61,地下一樓
RPXPMLSJRHGGFAD98DA,坡道平面,0,16.61,地下一樓
RPSOMLTJRHGGFAD48DA,坡道平面,1350000,29.25,地下二樓
RPSOMLTJRHGGFAD48DA,坡道平面,1350000,29.25,地下二樓
RPVPMLSJRHGGFAD78DA,坡道平面,0,16.61,地下一樓
RPWNMLQLQHGGFAD58DA,坡道機械,0,11.17,地下三樓
RPVOMLNJRHGGFAD18DA,坡道平面,0,,地下三樓
RPRNMLNLPHGGFAD67DA,坡道平面,0,30.89,地下一樓
RPRNMLNLPHGGFAD67DA,坡道平面,0,30.89,地下一樓
RPQPMLSJRHGGFAD28DA,坡道平面,1250000,29.25,地下三樓
RPUNMLNLPHGGFAD97DA,坡道平面,0,30.89,地下一樓
RPUNMLNLPHGGFAD97DA,坡道平面,0,30.89,地下一樓
RPSNMLNLPHGGFAD77DA,坡道平面,0,30.89,地下二樓
RPSNMLNLPHGGFAD77DA,坡道平面,0,30.89,地下二樓
RPTNMLNLPHGGFAD87DA,坡道平面,0,30.89,地下一樓
RPTNMLNLPHGGFAD87DA,坡道平面,0,30.89,地下一樓
RPROMLMJQHGGFAD57DA,坡道平面,0,,地下一樓
RPUOMLTJQHGGFAD58DA,坡道平面,0,25.03,地下一樓
RPUOMLTJQHGGFAD58DA,坡道平面,0,21.93,地下一樓
RPUOMLTJQHGGFAD58DA,坡道平面,0,21.93,地下四樓
RPPOMLRLQHGGFAD08DA,坡道平面,0,21.93,地下四樓
RPPOMLRLQHGGFAD08DA,坡道平面,0,21.93,地下四樓
RPSNMLLJRHGGFAD57DA,坡道平面,0,31.99,地下一樓
RPPNMLQJRHGGFAD77DA,升降平面,0,,地下一樓
RPUNMLTJRHGGFAD58DA,坡道平面,0,16.61,地下二樓
RPSNMLKKRHGGFAD57DA,坡道平面,0,16.61,地下一樓
RPSOMLLKRHGGFAD77DA,坡道平面,0,16.61,地下二樓
RPQPMLLMQHGGFBD87DA,一樓平面,900000,16.78,一樓
RPOOMLKKRHGGFBD37DA,坡道平面,0,23.34,地下三樓
RPUNMLNKRHGGFCD28DA,升降平面,600000,,地下二樓
RPRNMLPJRHGGFHD58DA,坡道平面,1100000,20.10,地下一樓
RPQSMLSJRHGGFHD66DA,一樓平面,1100000,20.10,一樓
RPXRMLSJRHGGFHD27DA,坡道平面,1100000,19.81,地下一樓
RPSSMLSJRHGGFHD86DA,一樓平面,1100000,20.10,一樓
RPTTMLSJRHGGFHD07DA,一樓平面,1100000,20.10,一樓
RPWSMLSJRHGGFHD27DA,坡道平面,1000000,19.07,地下一樓
RPRTMLSJRHGGFHD86DA,坡道平面,1000000,20.10,地下一樓
RPUTMLSJRHGGFHD17DA,坡道平面,1100000,20.10,地下一樓
RPVTMLSJRHGGFHD27DA,坡道平面,1100000,20.10,地下一樓
RPQTMLSJRHGGFHD76DA,一樓平面,1100000,20.10,一樓
RPWTMLSJRHGGFHD37DA,坡道平面,1100000,19.81,地下一樓
RPSUMLSJRHGGFHD07DA,坡道平面,1000000,20.10,地下一樓
RPOUMLSJRHGGFHD66DA,一樓平面,1100000,20.10,一樓
