編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLTKQHGGFAE58DA,52,93.24,住家用,加強磚造,58年3月1日,002,一層 二層 騎樓
RPWOMLPLQHGGFAE68DA,8,142.97,住家用,鋼筋混凝土造,102年6月19日,024,七層 陽台 雨遮
RPWOMLPLQHGGFAE68DA,8,99.30,本共有部分之項目有防空避難室、停車空間、電樓梯間、機械室、中繼水箱、垃圾儲存空間、管委會使用空間、頂蓋型廣場式開放空間、防災中心、緩衝空間、門廳、走廊等１２項。,鋼筋混凝土造,102年6月19日,024,
RPOOMLSJRHGGFAE08DA,17,62.56,住家用,鋼筋混凝土造,93年8月5日,014,九層 陽台 雨遮
RPOOMLSJRHGGFAE08DA,17,49.22,共有部份,鋼筋混凝土造,93年8月5日,014,
RPTOMLLJRHGGFAE87DA,53,270.78,,加強磚造,57年3月20日,002,一層 二層 騎樓
RPUOMLLJRHGGFAE97DA,51,130.86,,加強磚造,59年2月18日,003,一層 二層 三層 騎樓
RPQNMLTJRHGGFAE28DA,19,94.76,住家用,鋼筋混凝土造,91年5月6日,011,一層 陽台 夾層
RPQNMLTJRHGGFAE28DA,19,26.94,共有部份,鋼筋混凝土造,91年5月6日,011,
RPOPMLMJRHGGFAE57DA,,65.48,集合住宅,鋼筋混凝土,109年11月6日,015,六層 陽台 雨遮
RPOPMLMJRHGGFAE57DA,,59.11,本共有部分之項目有防空避難室兼停車空間、樓梯間、機械室、水箱、管委會使用空間、門廳兼梯廳、車道、停車空間、電信室、陽台、雨遮等１１項。,鋼筋混凝土,109年11月6日,015,
RPSNMLTKQHGGFAE48DA,34,112.32,住家用,鋼筋混凝土造,76年9月11日,005,三層 陽台 花台
RPSNMLTKQHGGFAE48DA,34,8.17,,鋼筋混凝土造,76年9月11日,005,
RPWNMLSJRHGGFAE78DA,16,83.25,住家用,鋼筋混凝土造,94年9月9日,014,十層 陽台
RPWNMLSJRHGGFAE78DA,16,49.57,共有部份,鋼筋混凝土造,94年9月9日,014,
RPVNMLSJRHGGFAE68DA,76,161.24,住商用,加強磚造,34年9月20日,002,一層 二層 騎樓
RPOQMLRJRHGGFAE18DA,20,80.13,住家用,鋼筋混凝土造,90年10月8日,014,十一層 陽台 雨遮
RPOQMLRJRHGGFAE18DA,20,41.38,共有部份,鋼筋混凝土造,90年10月8日,014,
RPWNMLMKQHGGFBE28DA,40,52.95,,鋼筋混凝土造,70年12月12日,005,一層 騎樓 夾層
RPTOMLNLQHGGFBE28DA,54,76.33,,加強磚造,57年1月23日,002,一層 二層
RPQOMLQKQHGGFBE18DA,41,23.90,,鋼筋混凝土造,69年3月13日,012,
RPQOMLQKQHGGFBE18DA,41,113.78,,鋼筋混凝土造,69年3月13日,012,五層
RPROMLRJRHGGFBE38DA,42,90.25,,鋼筋混凝土造,68年12月24日,005,二層
RPXPMLTJRHGGFAE56DA,16,63.06,住家用,鋼筋混凝土造,94年12月13日,015,七層 陽台
RPXPMLTJRHGGFAE56DA,16,32.78,共有部份,鋼筋混凝土造,94年12月13日,015,
RPPNMLSLQHGGFCE38DA,35,104.72,,鋼筋混凝土造,75年12月26日,005,五層 陽台
RPPNMLSLQHGGFCE38DA,35,18.56,,鋼筋混凝土造,75年12月26日,005,
RPPPMLRJRHGGFBE28DA,17,68.22,住家用,鋼筋混凝土造,93年3月3日,014,十層 陽台 雨遮
RPPPMLRJRHGGFBE28DA,17,35.91,停車空間、戲水池、機械室、防空避難室,鋼筋混凝土造,93年3月3日,014,
RPPNMLQLQHGGFBE08DA,2,126.99,集合住宅,鋼筋混凝土造,108年9月3日,022,十八層 陽台 雨遮
RPPNMLQLQHGGFBE08DA,2,112.47,共有部份,鋼筋混凝土造,108年9月3日,022,
RPQOMLSKQHGGFCE48DA,7,132.16,住家用,鋼筋混凝土造,102年9月18日,015,十五層 陽台 雨遮
RPQOMLSKQHGGFCE48DA,7,130.28,共有部份,鋼筋混凝土造,102年9月18日,015,
RPRPMLRJRHGGFBE48DA,46,87.48,,鋼筋混凝土造,64年12月15日,004,二層
RPQNMLPLQHGGFCE18DA,1,40.15,停車空間、防空避難室兼停車空間等２項,鋼骨構造,109年3月9日,068,
RPQNMLTJRHGGFBE38DA,34,133.42,,鋼筋混凝土造,77年2月4日,005,一層 二層 陽台 平台 夾層
RPQNMLTJRHGGFBE38DA,34,17.69,,鋼筋混凝土造,77年2月3日,005,
RPXOMLQKQHGGFCE98DA,26,88.66,住家用,鋼筋混凝土造,84年4月22日,012,五層 陽台 花台
RPXOMLQKQHGGFCE98DA,26,30.89,見使用執照,鋼筋混凝土造,84年4月22日,012,
RPWNMLMJRHGGFCE38DA,24,137.36,住家用,鋼筋混凝土造,86年5月27日,027,八層 陽台
RPWNMLMJRHGGFCE38DA,24,42.20,見使用執照,鋼筋混凝土造,86年5月27日,027,
RPWNMLMJRHGGFCE38DA,24,31.26,見使用執照,鋼筋混凝土造,86年5月27日,027,
RPPOMLNJRHGGFCE87DA,12,57.94,住家用,鋼筋混凝土造,98年7月22日,014,五層 陽台 雨遮
RPPOMLNJRHGGFCE87DA,12,27.23,共有部份,鋼筋混凝土造,98年7月22日,014,
RPROMLLKQHGGFDE97DA,26,119.46,住家用,鋼筋混凝土造,84年12月19日,016,九層 陽台
RPROMLLKQHGGFDE97DA,26,49.64,見使用執照,鋼筋混凝土造,84年12月19日,016,
RPOOMLSJRHGGFCE28DA,15,198.87,住家用,鋼筋混凝土造,95年8月14日,003,一層 二層 三層 陽台 屋頂突出物
RPTOMLTKPHGGFDE88DA,27,275.54,住商用,鋼筋混凝土造,83年7月6日,005,一層 二層 三層 四層 五層 陽台 平台 騎樓 露台 花台
RPXNMLSJRHGGFCE09DA,36,80.89,,鋼筋混凝土造,74年10月29日,005,三層 陽台
RPXNMLSJRHGGFCE09DA,36,15.10,見使用執照,鋼筋混凝土造,74年10月29日,005,
RPXNMLRKQHGGFDE09DA,7,58.63,住家用,鋼筋混凝土造,103年8月31日,015,十一層 陽台 雨遮
RPXNMLRKQHGGFDE09DA,7,55.10,共有部份,鋼筋混凝土造,103年8月31日,015,
RPRTMLSKQHGGFDE56DA,40,78.31,,鋼筋混凝土造,70年4月17日,005,五層
RPUNMLMJRHGGFDE28DA,27,129.45,住家用,鋼筋混凝土造,83年11月3日,016,十二層 陽台 花台
RPUNMLMJRHGGFDE28DA,27,.96,見使用執照,鋼筋混凝土造,83年11月3日,016,地下一層
RPUNMLMJRHGGFDE28DA,27,32.55,見使用執照,鋼筋混凝土造,83年11月3日,016,
RPUNMLMJRHGGFDE28DA,27,.00,見使用執照,鋼筋混凝土造,83年11月3日,016,
RPUNMLMJRHGGFDE28DA,27,43.11,見使用執照,鋼筋混凝土造,83年11月3日,016,
RPSPMLRJRHGGFDE78DA,7,84.34,住家用,鋼筋混凝土造,103年12月17日,015,八層 陽台
RPSPMLRJRHGGFDE78DA,7,70.82,共有部份,鋼筋混凝土造,103年12月17日,015,
RPQNMLSJRHGGFDE48DA,22,27.08,住家用,鋼筋混凝土造,88年7月28日,011,七層 雨遮
RPQNMLSJRHGGFDE48DA,22,11.17,見使用執照,鋼筋混凝土造,88年7月28日,011,
RPWOMLSJRHGGFDE56DA,23,26.86,商業用,鋼骨鋼筋混凝土造,87年9月29日,025,二十二層 陽台 雨遮
RPWOMLSJRHGGFDE56DA,23,28.00,見使用執照,鋼骨鋼筋混凝土造,87年9月29日,025,
RPXOMLSJRHGGFDE66DA,17,99.81,住家用,鋼筋混凝土造,93年8月4日,013,四層 陽台
RPXOMLSJRHGGFDE66DA,17,66.28,見使用執照,鋼筋混凝土造,93年8月4日,014,
RPXNMLSJRHGGFDE56DA,23,146.84,住家用,鋼筋混凝土造,87年5月1日,026,十八層 陽台
RPXNMLSJRHGGFDE56DA,23,100.81,見使用執照,鋼筋混凝土造,87年5月1日,026,
RPVNMLSJRHGGFDE98DA,14,195.08,住家用,鋼筋混凝土造,96年10月22日,004,一層 二層 三層 四層 陽台 見其他登記事項
RPSOMLTJRHGGFDE88DA,33,127.39,,鋼筋混凝土造,77年6月9日,012,三層 陽台
RPSOMLTJRHGGFDE88DA,33,24.19,,鋼筋混凝土造,77年6月9日,012,
RPQPMLSJRHGGFDE68DA,44,244.24,,鋼筋混凝土造,66年12月8日,004,一層 二層 三層 四層 騎樓
RPQSMLSKQHGGFEE09DA,1,87.16,集合住宅,鋼筋混凝土造,109年9月4日,023,十七層 陽台
