編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLTKQHGGFAE58DA,內惟段六小段,59.00,都市：其他:第三種住宅區。,1,1,全筆移轉,09820000
RPWOMLPLQHGGFAE68DA,青海段,24.83,都市：其他:特定第五種住宅區,10000,90,持分移轉,06800000
RPOOMLSJRHGGFAE08DA,青海段,16.27,都市：其他:特定第五種住宅區,100000,1189,持分移轉,02500000
RPTOMLLJRHGGFAE87DA,內惟段八小段,162.00,都市：其他:第三種住宅區。,1,1,全筆移轉,06120000
RPUOMLLJRHGGFAE97DA,博孝段,57.00,都市：其他:第三種特定商業專用區,1,1,全筆移轉,00980000
RPQNMLTJRHGGFAE28DA,內惟段九小段,30.77,都市：其他:第五種住宅區,10000,170,持分移轉,00220000
RPOPMLMJRHGGFAE57DA,民生段,9.61,都市：其他:第四種商業區,10000,128,持分移轉,03370000
RPSNMLTKQHGGFAE48DA,前峰段,31.00,都市：其他:第四種住宅區,10000,909,持分移轉,02340002
RPWNMLSJRHGGFAE78DA,龍中段,15.80,都市：其他:第五種住宅區,100000,318,持分移轉,02260000
RPVNMLSJRHGGFAE68DA,鹽中段,85.00,都市：其他:第五種商業區,1,1,全筆移轉,06570000
RPOQMLRJRHGGFAE18DA,龍華段八小段,9.78,都市：其他:第四種商業區,10000,54,持分移轉,24060000
RPWNMLMKQHGGFBE28DA,苓東段,14.20,都市：其他:第五種住宅區,10,1,持分移轉,00590000
RPTOMLNLQHGGFBE28DA,過田子段,49.00,都市：其他:第四種住宅區,1,1,全筆移轉,09440003
RPQOMLQKQHGGFBE18DA,林德官段,9.75,都市：其他:第五種商業區,10000,146,持分移轉,13500000
RPQOMLQKQHGGFBE18DA,林德官段,4.48,都市：其他:第三種住宅區。,10000,146,持分移轉,13500002
RPROMLRJRHGGFBE38DA,林聖段,29.00,都市：其他:第四種住宅區,10,1,持分移轉,01590013
RPXPMLTJRHGGFAE56DA,龍中段,9.22,都市：其他:第四種商業區,10000,80,持分移轉,01080000
RPPNMLSLQHGGFCE38DA,店鎮段一小段,27.21,都市：其他:第四種商業區,10000,1188,持分移轉,12870000
RPPPMLRJRHGGFBE28DA,意誠段,10.19,都市：其他:第四種商業區,100000,613,持分移轉,00430000
RPPNMLQLQHGGFBE08DA,五塊厝段一小段,25.72,都市：其他:第四種住宅區,10000,72,持分移轉,01820015
RPQOMLSKQHGGFCE48DA,竹北段,32.98,都市：其他:第四種住宅區,10000,146,持分移轉,17040000
RPRPMLRJRHGGFBE48DA,林德官段,30.93,都市：其他:第三種住宅區。,2514,70,持分移轉,12470000
RPRPMLRJRHGGFBE48DA,林德官段,4.07,都市：其他:第三種住宅區。,2514,70,持分移轉,12470002
RPQNMLTJRHGGFBE38DA,武聖段,46.10,都市：其他:第三種住宅區。,14140,461,持分移轉,12380000
RPXOMLQKQHGGFCE98DA,鳳宮段,13.86,都市：其他:第五種住宅區,10000,140,持分移轉,11960000
RPWNMLMJRHGGFCE38DA,憲德段一小段,7.52,都市：其他:第五種住宅區,100000,150,持分移轉,08040000
RPWNMLMJRHGGFCE38DA,憲德段一小段,2.52,都市：其他:第三種特定商業專用區,100000,150,持分移轉,08040001
RPPOMLNJRHGGFCE87DA,瑞隆段三小段,9.49,都市：其他:第五種住宅區,100000,277,持分移轉,03420000
RPPOMLNJRHGGFCE87DA,瑞隆段三小段,.63,都市：其他:第三種特定商業專用區,100000,277,持分移轉,03770000
RPTNMLRKQHGGFCE58DA,坪頂段,1563.55,都市：其他:第二種住宅區,1,1,全筆移轉,00720004
RPOOMLSJRHGGFCE28DA,坪頂段,105.22,都市：其他:第二種住宅區,1,1,全筆移轉,00180045
RPTOMLTKPHGGFDE88DA,灣立段,70.95,都市：其他:第四種住宅區,1,1,全筆移轉,03340008
RPXNMLSJRHGGFCE09DA,光華段一小段,18.48,都市：其他:第三種住宅區。,10000,400,持分移轉,19430000
