編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXPMLMJQHGGFAF48DA,員和段,30.73,都市：其他:住宅區,100000,227,持分移轉,00790000
RPWPMLRLPHGGFAF98DA,員和段,15.16,都市：其他:住宅區,100000,112,持分移轉,00790000
RPOQMLOJQHGGFAF87DA,員和段,30.73,都市：其他:住宅區,100000,227,持分移轉,00790000
RPPNMLRJQHGGFAF97DA,員和段,15.16,都市：其他:住宅區,100000,112,持分移轉,00790000
RPXOMLNKQHGGFAF58DA,新雅段,2.42,都市：其他:住宅區,10000,16,持分移轉,06280000
RPXQMLRKQHGGFAF56DA,福華段,16.14,都市：其他:商業區,200000,224,持分移轉,00020000
RPTSMLOLQHGGFAF78DA,員和段,39.66,都市：其他:住宅區,100000,293,持分移轉,00790000
RPQSMLNLQHGGFAF38DA,仁愛段,15.84,都市：其他:乙種工業區,20000,62,持分移轉,07730000
RPPPMLPJQHGGFAF97DA,永寧段,14.80,都市：其他:住宅區,100000,375,持分移轉,00180000
RPPPMLPJQHGGFAF97DA,永寧段,.01,都市：其他:道路用地,100000,375,持分移轉,00180001
RPPPMLPJQHGGFAF97DA,永寧段,.00,都市：其他:住宅區,100000,375,持分移轉,00180002
RPPPMLPJQHGGFAF97DA,永寧段,.21,都市：其他:高速公路用地,100000,444,持分移轉,00540001
RPROMLKLQHGGFAF77DA,員和段,46.70,都市：其他:住宅區,200000,690,持分移轉,00790000
RPPTMLLMQHGGFAF28DA,江翠段,19.17,都市：其他:商業區,100000,341,持分移轉,01720000
RPROMLLMQHGGFAF97DA,江翠段,5.14,都市：其他:商業區,10000,14,持分移轉,00240000
RPOQMLRJRHGGFAF28DA,文化段,32.50,都市：其他:住宅區,4,1,持分移轉,20720000
RPUPMLQJRHGGFAF68DA,幸福段,1.26,都市：其他:住宅區,100000,28,持分移轉,01220000
RPUPMLQJRHGGFAF68DA,幸福段,.00,都市：其他:住宅區,100000,28,持分移轉,01220002
RPUPMLRJRHGGFAF78DA,民生段,18.35,都市：其他:第一種住宅區,5,1,持分移轉,05190000
RPXRMLRJRHGGFAF66DA,信義段,55.36,都市：其他:乙種工業區,10000,70,持分移轉,02060000
RPWSMLRJRHGGFAF66DA,民族段,93.52,都市：其他:道路用地,700000,91943,持分移轉,08980009
RPUPMLSJRHGGFAF88DA,樂利段,4.85,都市：其他:第二種住宅區,10000,18,持分移轉,06820000
RPUPMLSJRHGGFAF88DA,樂利段,4.26,都市：其他:第二種住宅區,10000,18,持分移轉,06830000
RPUPMLSJRHGGFAF88DA,樂利段,.44,都市：其他:第二種住宅區,10000,18,持分移轉,06840000
RPOQMLTJRHGGFAF48DA,龍安段,25.96,都市：其他:住宅區(再),5,1,持分移轉,00670000
RPTQMLMLPHGGFBF38DA,水碓段水碓小段,.02,都市：其他:住宅區,100000,171,持分移轉,03420000
RPUPMLKLPHGGFBF18DA,建林段,26.63,都市：其他:第五種住宅區,10000,113,持分移轉,01440000
RPTQMLMLPHGGFBF38DA,登林段,.01,都市：其他:住宅區,100000,171,持分移轉,09200000
RPTQMLMLPHGGFBF38DA,登林段,.07,都市：其他:住宅區,100000,171,持分移轉,09200001
RPTQMLMLPHGGFBF38DA,登林段,15.15,都市：其他:住宅區,100000,171,持分移轉,09200002
RPTOMLSJRHGGFAF68DA,安和段,81.06,都市：其他:道路用地,1,1,全筆移轉,01970006
RPTOMLSJRHGGFAF68DA,廷寮段,62.73,都市：其他:排水溝用地,1,1,全筆移轉,03760000
RPSPMLPJQHGGFBF38DA,國宅段,34.82,都市：其他:第五種住宅區,10000,14,持分移轉,00010000
RPPPMLTJQHGGFBF48DA,芳洲段,21.17,都市：其他:住宅區,10000,115,持分移轉,01520000
RPWNMLMKQHGGFBF38DA,副都心段一小段,26.27,都市：其他:第二種商業區,100000,741,持分移轉,03700000
RPTPMLKKQHGGFBF08DA,國宅段,13.82,都市：其他:第五種住宅區,10000,109,持分移轉,00050016
RPVSMLMKQHGGFBF78DA,陸光段,53.51,都市：其他:住宅區,100000,1887,持分移轉,04690000
RPOOMLKKQHGGFBF47DA,力行段,18.32,都市：其他:第五種住宅區,10000,34,持分移轉,00210000
RPQNMLNKQHGGFBF87DA,富國段,12.85,都市：其他:住宅區,100000,1218,持分移轉,05710000
RPSOMLNKQHGGFBF18DA,光明段,9.45,都市：其他:住宅區,10000,30,持分移轉,10700000
RPSPMLQKQHGGFBF58DA,貴和段,10.54,都市：其他:住宅區,10000,64,持分移轉,05330000
RPSPMLQKQHGGFBF58DA,貴和段,17.42,都市：其他:商業區,10000,64,持分移轉,05390000
RPSPMLQKQHGGFBF58DA,貴和段,.06,都市：其他:商業區,10000,64,持分移轉,15520000
RPVSMLSKQHGGFBF76DA,力行段,15.62,都市：其他:第五種住宅區,10000,29,持分移轉,00210000
RPUOMLKLQHGGFBF18DA,榮富段,19.07,都市：其他:住宅區,10000,53,持分移轉,08310000
RPRPMLKLQHGGFBF97DA,雙鳳段,12.16,都市：其他:住宅區,10000,44,持分移轉,07110000
RPXRMLOLQHGGFBF56DA,榮富段,11.24,都市：其他:住宅區,10000,32,持分移轉,06410000
RPQNMLLLQHGGFBF77DA,副都心段一小段,12.61,都市：其他:第二種住宅區,100000,303,持分移轉,03290000
RPOQMLPLQHGGFBF28DA,成功段,14.66,都市：其他:住宅區,10000,20,持分移轉,06760000
RPOSMLRLQHGGFBF68DA,建林段,30.48,都市：其他:第五種住宅區,1000000,7550,持分移轉,03490000
RPVRMLRLQHGGFBF66DA,建林段,29.55,都市：其他:第五種住宅區,1000000,7320,持分移轉,03490000
RPPSMLRLQHGGFBF78DA,建林段,22.41,都市：其他:第五種住宅區,1000000,5550,持分移轉,03490000
RPQSMLRLQHGGFBF88DA,建林段,22.41,都市：其他:第五種住宅區,1000000,5550,持分移轉,03490000
RPRSMLRLQHGGFBF98DA,建林段,22.41,都市：其他:第五種住宅區,1000000,5550,持分移轉,03490000
RPUNMLSLQHGGFBF88DA,麗林段,33.49,都市：其他:第二種住宅區,10000,318,持分移轉,03330000
RPPUMLSJRHGGFBF98DA,中泰段,15.21,都市：其他:住宅區,4,1,持分移轉,05720000
RPVQMLLJRHGGFBF48DA,同興段,8.18,都市：其他:商業區,10000,39,持分移轉,01360000
RPSOMLNJRHGGFBF18DA,建國段,1.95,都市：其他:道路用地,4000,150,持分移轉,03160001
RPWOMLQLQHGGFBF98DA,小南灣段下福小段,62.00,都市：其他:道路用地,1,1,全筆移轉,05140005
RPWOMLQLQHGGFBF98DA,小南灣段下福小段,377.00,都市：其他:道路用地,1,1,全筆移轉,05140013
RPRUMLSJRHGGFBF56DA,榮富段,12.46,都市：其他:住宅區,10000,65,持分移轉,08920000
RPRNMLSJRHGGFBF48DA,副都心段一小段,7.00,都市：其他:第一種商業區,100000,215,持分移轉,02890000
RPWOMLSJRHGGFBF09DA,瓊林段,26.53,都市：其他:住宅區,8,2,持分移轉,04240000
RPROMLTJRHGGFBF68DA,國宅段,16.43,都市：其他:第五種住宅區,10000,67,持分移轉,00160006
RPORMLTJRHGGFBF68DA,國宅段,13.25,都市：其他:第五種住宅區,1000000,2628,持分移轉,00170002
RPUOMLKKRHGGFBF18DA,工二段,37.50,都市：其他:第四種住宅區,4,1,持分移轉,03930001
RPWNMLQJQHGGFCF78DA,新和段,40.16,都市：其他:第三種住宅區。,10000,68,持分移轉,01800000
RPXNMLKMOHGGFCF38DA,香坡段,3.04,非都市：山坡地保育區 ; 非都市編定：林業用地,10000,13,持分移轉,00710000
RPXNMLKMOHGGFCF38DA,香坡段,1.43,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1,持分移轉,00720000
RPXNMLKMOHGGFCF38DA,香坡段,3.60,非都市：山坡地保育區 ; 非都市編定：遊憩用地,10000,13,持分移轉,00730000
RPXNMLKMOHGGFCF38DA,香坡段,5.64,非都市：山坡地保育區 ; 非都市編定：林業用地,10000,13,持分移轉,00750000
RPXNMLKMOHGGFCF38DA,香坡段,2.47,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1,持分移轉,00760000
RPXNMLKMOHGGFCF38DA,香坡段,1.18,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1,持分移轉,00770000
RPXNMLKMOHGGFCF38DA,香坡段,.24,非都市：山坡地保育區 ; 非都市編定：林業用地,10000,13,持分移轉,00780000
RPXNMLKMOHGGFCF38DA,香坡段,1.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1,持分移轉,00790000
RPXNMLKMOHGGFCF38DA,香坡段,.20,非都市：山坡地保育區 ; 非都市編定：林業用地,10000,13,持分移轉,00800000
RPXNMLKMOHGGFCF38DA,香坡段,133.30,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,143,持分移轉,00810000
RPXNMLKMOHGGFCF38DA,香坡段,.24,非都市：山坡地保育區 ; 非都市編定：遊憩用地,10000,13,持分移轉,00820000
RPXNMLKMOHGGFCF38DA,香坡段,14.21,非都市：山坡地保育區 ; 非都市編定：林業用地,10000,13,持分移轉,00850000
RPXNMLKMOHGGFCF38DA,香坡段,1.09,非都市：山坡地保育區 ; 非都市編定：林業用地,10000,13,持分移轉,00870000
RPUNMLKKQHGGFCF08DA,順安段,6.83,都市：其他:第四種住宅區,100000,102,持分移轉,00340000
RPTNMLLJRHGGFCF08DA,民權段,20.18,都市：其他:第四種住宅區,100000,1124,持分移轉,06020000
RPQOMLNJRHGGFCF08DA,環河段,27.47,都市：其他:第四種住宅區,4,1,持分移轉,03990000
RPXNMLSJRHGGFCF56DA,九芎林段九芎林小段,1444.00,都市：其他:保安保護區,1,1,全筆移轉,00480003
RPXNMLSJRHGGFCF56DA,九芎林段九芎林小段,114.00,都市：其他:保安保護區,2,1,持分移轉,00480004
RPSNMLSJRHGGFCF68DA,直潭段灣潭小段,49.00,都市：其他:住宅區,1,1,全筆移轉,01240019
RPSNMLSJRHGGFCF68DA,直潭段灣潭小段,3.00,都市：其他:住宅區,1,1,全筆移轉,01240020
RPSNMLSJRHGGFCF68DA,直潭段灣潭小段,53.00,都市：其他:道路用地,1,1,全筆移轉,01240024
RPRQMLSJRHGGFCF88DA,黎明段,1.11,都市：其他:住宅區,100000,144,持分移轉,04730000
RPRQMLSJRHGGFCF88DA,黎明段,.09,都市：其他:道路用地,100000,144,持分移轉,04740000
RPRQMLSJRHGGFCF88DA,黎明段,.01,都市：其他:醫療專用區,100000,144,持分移轉,04960000
RPRQMLSJRHGGFCF88DA,黎明段,.03,都市：其他:醫療專用區,100000,144,持分移轉,05020000
RPRQMLSJRHGGFCF88DA,黎明段,.05,都市：其他:醫療專用區,100000,144,持分移轉,05040000
RPRQMLSJRHGGFCF88DA,黎明段,.20,都市：其他:醫療專用區,100000,144,持分移轉,05060000
RPRQMLSJRHGGFCF88DA,黎明段,.10,都市：其他:醫療專用區,100000,144,持分移轉,05080000
