編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXPMLMJQHGGFAF48DA,坡道平面,2100000,36.45,地下一樓
RPWPMLRLPHGGFAF98DA,坡道平面,1850000,36.45,地下三樓
RPOQMLOJQHGGFAF87DA,坡道平面,1850000,36.45,地下二樓
RPPNMLRJQHGGFAF97DA,坡道平面,2100000,36.45,地下一樓
RPTSMLOLQHGGFAF78DA,坡道平面,0,36.45,地下二樓
RPTSMLOLQHGGFAF78DA,坡道平面,0,36.45,地下二樓
RPROMLKLQHGGFAF77DA,坡道平面,0,36.45,地下二樓
RPROMLKLQHGGFAF77DA,坡道平面,0,36.45,地下二樓
RPPTMLLMQHGGFAF28DA,坡道平面,1850000,29.87,地下二樓
RPXRMLRJRHGGFAF66DA,坡道平面,0,49.63,地下二樓
RPUPMLKLPHGGFBF18DA,坡道平面,1550000,29.02,地下二樓
RPUPMLKLPHGGFBF18DA,坡道平面,1550000,29.02,地下二樓
RPSPMLPJQHGGFBF38DA,坡道平面,0,,地下一樓
RPSPMLPJQHGGFBF38DA,坡道平面,0,,地下一樓
RPPPMLTJQHGGFBF48DA,坡道平面,2000000,24.07,地下二樓
RPWNMLMKQHGGFBF38DA,坡道平面,2200000,42.84,地下四樓
RPTPMLKKQHGGFBF08DA,坡道平面,0,,地下二樓
RPVSMLMKQHGGFBF78DA,坡道平面,1600000,30.14,地下一樓
RPOOMLKKQHGGFBF47DA,坡道平面,0,23.12,地下三樓
RPQNMLNKQHGGFBF87DA,坡道機械,1500000,20.65,地下三樓
RPSOMLNKQHGGFBF18DA,坡道平面,0,27.68,地下三樓
RPSPMLQKQHGGFBF58DA,坡道平面,0,,地下三樓
RPSPMLQKQHGGFBF58DA,坡道平面,0,,地下三樓
RPVSMLSKQHGGFBF76DA,坡道平面,0,23.12,地下一樓
RPRPMLKLQHGGFBF97DA,坡道平面,0,,地下四樓
RPQNMLLLQHGGFBF77DA,坡道機械,1500000,17.11,地下三樓
RPOSMLRLQHGGFBF68DA,坡道平面,2000000,26.57,地下三樓
RPVRMLRLQHGGFBF66DA,坡道平面,2050000,24.46,地下二樓
RPPSMLRLQHGGFBF78DA,坡道平面,1950000,24.46,地下三樓
RPQSMLRLQHGGFBF88DA,坡道平面,2050000,24.46,地下二樓
RPRSMLRLQHGGFBF98DA,坡道平面,2050000,24.46,地下二樓
RPUNMLSLQHGGFBF88DA,坡道平面,0,31.48,地下二樓
RPVQMLLJRHGGFBF48DA,坡道平面,0,,地下三樓
RPRUMLSJRHGGFBF56DA,坡道平面,0,,地下三樓
RPROMLTJRHGGFBF68DA,坡道平面,1300000,22.87,地下二樓
RPORMLTJRHGGFBF68DA,坡道平面,0,,地下二樓
RPXNMLKMOHGGFCF38DA,坡道平面,0,13.99,二樓含以上
RPTNMLLJRHGGFCF08DA,坡道平面,0,39.21,地下三樓
RPRQMLSJRHGGFCF88DA,坡道平面,0,,地下一樓
RPSQMLSJRHGGFCF98DA,坡道平面,0,,地下二樓
RPUNMLTJRHGGFCF98DA,坡道機械,0,,地下一樓
RPRPMLLJOHGGFDF87DA,坡道平面,0,37.10,地下五樓含以下
RPRPMLLJOHGGFDF87DA,坡道平面,0,37.10,地下五樓含以下
SPRPMLLJOHGGFDF97DA,坡道平面,0,37.10,地下五樓含以下
SPRPMLLJOHGGFDF97DA,坡道平面,0,37.10,地下五樓含以下
RPRNMLLKOHGGFDF77DA,坡道平面,2000000,37.10,地下五樓含以下
SPRNMLLKOHGGFDF87DA,坡道平面,2000000,37.10,地下五樓含以下
RPSOMLMJRHGGFDF28DA,坡道平面,1400000,48.27,地下二樓
RPTNMLQJRHGGFDF68DA,坡道平面,1900000,31.47,地下一樓
RPWQMLRJRHGGFDF76DA,塔式車位,0,,
RPSNMLTJRHGGFDF88DA,其他,850000,12.84,地下二樓
