鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮站前北路５７號三樓,27.62,都市：其他:住宅區,,,1100605,土地2建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090515,146.74,2,2,1,有,無,9100000,76321,坡道平面,45.85,1400000,,RPRNMLQJQHGGFAG18DA,55.64,13.47,0.0,有,
三星鄉,土地,大洲一段359地號,95.7,,鄉村區,乙種建築用地,1100730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2547000,26614,,0.0,0,,RPUNMLNKQHGGFAG28DA,0.0,0.0,0.0,無,
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉香中路２６２巷６５號三樓,166.04,都市：其他:乙種工業區,,,1100705,土地2建物2車位2,三層，四層,四層,公寓(5樓含以下無電梯),一般零售場所,鋼筋混凝土造,0940913,134.69,3,1,2,有,無,3900000,28955,坡道平面,0.0,0,建商與地主合建案。；包含公共設施保留地之交易。；增建約6坪陽台,RPRPMLQKQHGGFAG48DA,104.54,16.23,0.0,無,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮體育路４１巷８號,79.0,都市：其他:住宅區,,,1100818,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0641117,96.5,4,1,2,有,無,7550000,78238,,0.0,0,,RPQOMLKLQHGGFAG77DA,96.5,0.0,0.0,無,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮博愛路２２號九樓,59.28,都市：其他:住宅區,,,1100806,土地5建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080903,257.03999999999996,4,2,3,有,有,18000000,70028,坡道平面,0.0,0,,RPUOMLLJRHGGFAG18DA,131.73,22.5,0.0,有,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮博愛路３６號十二樓,37.51,都市：其他:住宅區,,,1100615,土地5建物1車位2,十二層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080903,204.42000000000002,3,2,2,有,有,17380000,85021,坡道平面,0.0,0,,RPVOMLLJRHGGFAG28DA,86.12,13.04,0.0,有,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿安路２７８巷１８弄２３號,110.03,都市：其他:住宅區,,,1100814,土地4建物1車位0,全,三層,透天厝,住家用,鋼骨鋼筋混凝土造,1030305,178.09,4,2,3,有,無,12520000,70302,,0.0,0,1樓廚房後方陽台增建其他增建；,RPSPMLRJRHGGFAG68DA,162.4,15.69,0.0,無,001
五結鄉,房地(土地+建物),宜蘭縣五結鄉隆昌路５１號,92.99,都市：其他:住宅區,,,1100410,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0930630,199.66,4,2,4,有,無,11800000,59100,,0.0,0,,RPVOMLSJRHGGFAG98DA,167.06,32.6,0.0,無,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮興東路２６３號九樓之４,12.71,都市：其他:商業區,,,1100817,土地2建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821009,145.04,3,1,1,有,有,6080000,41922,升降機械,0.0,0,,RPRPMLSJRHGGFAG68DA,123.89,0.0,0.0,有,
