編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLQJQHGGFAG18DA,1,69.11,集合住宅,鋼筋混凝土造,109年5月15日,十三層,三層 陽台 雨遮
RPRNMLQJQHGGFAG18DA,1,58.19,本共有部分之項目有：停車空間、防空避難室及公共服務空間等３項,鋼筋混凝土造,109年5月15日,十三層,
RPRNMLQJQHGGFAG18DA,1,19.44,本共有部分之項目有：樓梯間、水箱、機械室等３項（Ｂ棟公設）,鋼筋混凝土造,109年5月15日,十三層,
RPUPMLSJRHGGFAG98DA,25,70.43,住家用,鋼筋混凝土造,85年9月2日,七層,六層 陽台
RPUPMLSJRHGGFAG98DA,25,8.54,防空避難室、配電設施、梯間、機車停車位、消防設施、共同使用部份,鋼筋混凝土造,85年9月2日,七層,
RPUPMLSJRHGGFAG98DA,25,11.05,梯間、通道、共同使用部份,鋼筋混凝土造,85年9月2日,七層,
RPVOMLLJRHGGFAG28DA,2,99.16,集合住宅,鋼筋混凝土造,108年9月3日,十二層,十二層 陽台 雨遮
RPVOMLLJRHGGFAG28DA,2,83.27,本共有部分之項目有：停車場、停車場兼防空避難室、公共服務空間、梯廳、安全梯、走道等６項。,鋼筋混凝土造,108年9月3日,十二層,
RPVOMLLJRHGGFAG28DA,2,22.00,本共有部分之項目有：樓梯間、電梯間、機械室等３項。（Ｃ棟公設）,鋼筋混凝土造,108年9月3日,十二層,
RPQOMLKLQHGGFAG77DA,46,96.50,住家用,鋼筋混凝土加強磚造,64年11月17日,二層,一層 二層
RPVOMLSJRHGGFAG98DA,17,199.66,住家用,鋼筋混凝土造,93年6月30日,三層,一層 二層 三層 陽台 屋頂突出物
RPRPMLQKQHGGFAG48DA,16,120.77,一般零售場所,鋼筋混凝土造,94年9月13日,四層,三層 四層 陽台 雨遮
RPRPMLQKQHGGFAG48DA,16,13.92,公共設施﹝梯間﹞,鋼筋混凝土造,94年9月13日,四層,
RPSPMLRJRHGGFAG68DA,7,178.09,住家用,鋼骨鋼筋混凝土造,103年3月5日,三層,一層 二層 三層 陽台 見其他登記事項
RPUOMLLJRHGGFAG18DA,2,154.23,集合住宅,鋼筋混凝土造,108年9月3日,十二層,九層 陽台 雨遮
RPUOMLLJRHGGFAG18DA,2,66.06,本共有部分之項目有：停車場、停車場兼防空避難室、公共服務空間、梯廳、安全梯、走道等６項。,鋼筋混凝土造,108年9月3日,十二層,
RPUOMLLJRHGGFAG18DA,2,36.75,本共有部分之項目有：樓梯間、電梯間、機械室等３項。（Ａ棟公設）,鋼筋混凝土造,108年9月3日,十二層,
RPRPMLSJRHGGFAG68DA,28,21.15,水箱、電機室、防空避難室、屋頂突出物、﹙公共設施﹚電梯間、樓梯間,鋼筋混凝土造,82年10月9日,見其他登記事項,
RPRPMLSJRHGGFAG68DA,28,36.74,防空避難室、停車場,鋼筋混凝土造,82年10月9日,九層,地下層
RPRPMLSJRHGGFAG68DA,28,87.15,住家用,鋼筋混凝土造,82年10月9日,九層,九層
RPXNMLTJRHGGFAG56DA,9,255.29,農舍,鋼筋混凝土造,101年8月1日,三層,一層 二層 三層 陽台
RPUNMLKKRHGGFAG08DA,1,166.83,住家用,鋼筋混凝土造,109年9月16日,三層,一層 二層 三層 陽台
RPSNMLTJRHGGFAG68DA,24,147.88,住家用,鋼筋混凝土造,86年11月13日,三層,一層 二層 三層 陽台
RPPQMLNLQHGGFBG28DA,28,182.86,住家用,鋼筋混凝土造,82年10月6日,三層,一層 二層 三層 陽台
RPVNMLNJRHGGFBG48DA,27,38.06,住家用,鋼筋混凝土造,83年12月12日,十四層,五層 陽台
RPVNMLNJRHGGFBG48DA,27,20.12,共有部份,鋼筋混凝土造,83年12月12日,十四層,
RPVPMLQJRHGGFBG98DA,22,10.13,共有部份,鋼筋混凝土造,88年3月31日,七層,
RPVPMLQJRHGGFBG98DA,22,.19,管理員休息室,鋼筋混凝土造,88年3月31日,七層,一層
RPWNMLLMQHGGFBG58DA,23,76.60,住家用,鋼筋混凝土造,87年11月2日,九層,八層 陽台
RPWNMLLMQHGGFBG58DA,23,28.39,共有部份,鋼筋混凝土造,87年11月2日,九層,
RPWNMLLMQHGGFBG58DA,23,12.98,共有部份,鋼筋混凝土造,87年11月2日,九層,
RPWNMLKKRHGGFBG38DA,,79.34,集合住宅,鋼筋混凝土造,110年2月9日,九層,四層 陽台
RPWNMLKKRHGGFBG38DA,,13.14,本共用部分之項目有：騎樓、停車空間兼防空避難室、樓梯間、機房、水箱、機電設備空間等７項,鋼筋混凝土造,110年2月9日,九層,
RPWNMLKKRHGGFBG38DA,,12.49,本共用部分之項目有：樓梯間等１項,鋼筋混凝土造,110年2月9日,九層,
RPQNMLKKRHGGFAG77EA,41,120.66,住家用,鋼筋混凝土加強磚造,69年11月25日,二層,一層 二層 騎樓
RPRNMLTJRHGGFBG78EA,40,116.10,住家用,鋼筋混凝土加強磚造,70年12月14日,二層,一層 二層 騎樓
RPRNMLTJRHGGFBG78EA,40,116.10,住家用,鋼筋混凝土加強磚造,70年12月14日,二層,一層 二層 騎樓
RPSOMLTJRHGGFBG88DA,22,219.16,住家用,鋼筋混凝土造,88年5月13日,三層,一層 二層 三層 陽台 平台 雨遮 夾層 見其他登記事項
RPUOMLKKRHGGFBG28DA,4,51.96,集合住宅,鋼骨鋼筋混凝土造,106年12月21日,二十九層,八層 陽台
RPUOMLKKRHGGFBG28DA,4,42.23,本共用部分之項目有：停車空間、大廳、供管委員會使用空間、中繼機房、機電梯間、機房、水箱等７項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,
RPQOMLTJRHGGFBG68DA,3,43.99,集合住宅,鋼骨鋼筋混凝土造,106年12月21日,二十九層,九層 陽台
RPQOMLTJRHGGFBG68DA,3,35.79,本共用部分之項目有：停車空間、大廳、供管委員會使用空間、中繼機房、機電梯間、機房、水箱等７項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,
RPWOMLQJRHGGFBG98DA,7,218.91,住宅、樓梯間,鋼筋混凝土造,103年3月27日,三層,一層 二層 三層 陽台 見其他登記事項
RPSNMLKKRHGGFAG97EA,27,54.62,住家用,鋼筋混凝土造,83年9月16日,七層,六層 雨遮
RPSNMLKKRHGGFAG97EA,27,9.83,停車場、防空避難室、共同使用部份,鋼筋混凝土造,83年9月16日,七層,
RPSNMLKKRHGGFAG97EA,27,1.20,梯間、共同使用部份,鋼筋混凝土造,83年9月16日,七層,
RPQOMLKKRHGGFBG87DA,5,213.54,住宅、樓梯間,鋼筋混凝土造,106年1月26日,三層,一層 二層 三層 陽台 見其他登記事項
RPOOMLKKRHGGFBG67DA,15,167.77,農舍,鋼骨造、鋼筋混凝土加強磚造,95年2月10日,一層,一層
RPROMLQKQHGGFBG48DA,4,42.41,一般事務所,鋼筋混凝土造,106年6月28日,十一層,二層 陽台 雨遮
RPROMLQKQHGGFBG48DA,4,35.29,本共有部分項目：防空避難室停車空間、梯廳、電梯、安全梯、門廳、管委會使用空間、電梯間、機房、水箱、外廊、陽台。,鋼筋混凝土造,106年6月28日,十一層,
