編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLNKQHGGFAG28DA,大洲一段,95.70,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03590000
RPRNMLQJQHGGFAG18DA,信義段,4.66,都市：其他:商業區,10000,82,持分移轉,00920000
RPRNMLQJQHGGFAG18DA,信義段,22.96,都市：其他:住宅區,10000,82,持分移轉,00940000
RPUPMLSJRHGGFAG98DA,羅莊段,16.65,都市：其他:住宅區,10000,76,持分移轉,00840000
RPVOMLLJRHGGFAG28DA,南昌段,.06,都市：其他:住宅區,10000,81,持分移轉,10250000
RPVOMLLJRHGGFAG28DA,南昌段,5.29,都市：其他:住宅區,10000,81,持分移轉,10260000
RPVOMLLJRHGGFAG28DA,南昌段,.36,都市：其他:住宅區,10000,81,持分移轉,10260001
RPVOMLLJRHGGFAG28DA,南昌段,30.26,都市：其他:住宅區,10000,81,持分移轉,10370000
RPVOMLLJRHGGFAG28DA,南昌段,1.53,都市：其他:住宅區,10000,81,持分移轉,10370002
RPQOMLKLQHGGFAG77DA,東光段,79.00,都市：其他:住宅區,1,1,全筆移轉,19600000
RPVOMLSJRHGGFAG98DA,隆昌段,92.99,都市：其他:住宅區,1,1,全筆移轉,02470002
RPRPMLQKQHGGFAG48DA,東和段,66.92,都市：其他:乙種工業區,10000,311,持分移轉,08610000
RPRPMLQKQHGGFAG48DA,東和段,99.12,都市：其他:乙種工業區,16,1,持分移轉,08610002
RPSPMLRJRHGGFAG68DA,義成四段,2.52,都市：其他:住宅區,25,1,持分移轉,08880126
RPSPMLRJRHGGFAG68DA,義成四段,2.52,都市：其他:住宅區,25,1,持分移轉,08880127
RPSPMLRJRHGGFAG68DA,義成四段,15.00,都市：其他:住宅區,1,1,全筆移轉,08880145
RPSPMLRJRHGGFAG68DA,義成四段,90.00,都市：其他:住宅區,1,1,全筆移轉,08880146
RPUOMLLJRHGGFAG18DA,南昌段,.10,都市：其他:住宅區,10000,128,持分移轉,10250000
RPUOMLLJRHGGFAG18DA,南昌段,8.36,都市：其他:住宅區,10000,128,持分移轉,10260000
RPUOMLLJRHGGFAG18DA,南昌段,.58,都市：其他:住宅區,10000,128,持分移轉,10260001
