編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLQJQHGGFAG18DA,坡道平面,1400000,45.85,地下一樓
RPVOMLLJRHGGFAG28DA,坡道平面,0,,地下二樓
RPVOMLLJRHGGFAG28DA,坡道平面,0,,地下二樓
RPRPMLQKQHGGFAG48DA,坡道平面,0,,一樓
RPRPMLQKQHGGFAG48DA,坡道平面,0,,一樓
RPUOMLLJRHGGFAG18DA,坡道平面,0,,地下二樓
RPRPMLSJRHGGFAG68DA,升降機械,0,,地下一樓
RPVPMLQJRHGGFBG98DA,坡道機械,0,,地下一樓
RPXPMLRJRHGGFAG56DA,一樓平面,1500000,,一樓
RPRPMLNJQHGGFAG08DA,坡道平面,1200000,33.81,地下一樓
RPQPMLQLQHGGFBG58DA,一樓平面,0,,一樓
RPQNMLMKRHGGFBG97DA,坡道平面,1100000,55.65,地下一樓
RPTNMLNKRHGGFBG38DA,坡道平面,0,,地下二樓
RPQNMLNKRHGGFBG18EA,坡道平面,0,,地下一樓
RPQNMLNKRHGGFBG18EA,坡道平面,0,,地下一樓
RPUOMLOKRHGGFBG68DA,坡道平面,0,,地下一樓
RPTNMLMJRHGGFBG18DA,坡道平面,1000000,55.65,地下一樓
RPOOMLQKRHGGFBG38EA,坡道平面,0,,地下一樓
RPQOMLNKRHGGFAG08DA,坡道平面,1150000,32.57,地下一樓
RPSNMLKKRHGGFBG97DA,坡道平面,850000,,地下二樓
