編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWQMLPJPHGGFAH88DA,,71.87,住家用,鋼筋混凝土造,110年6月10日,十五層,十三層 陽台
RPWQMLPJPHGGFAH88DA,,46.05,共有部分主要用途有：管委會使用空間、車道、停車空間、台電配電場所、蓄水池、水景機房、垃圾儲藏室、梯間、儲藏室、發電機房、電信室、防空避難室兼停車空間、消防泵浦室、污水、雨水機房等１４項。,鋼筋混凝土造,110年6月10日,十五層,
RPWQMLPJPHGGFAH88DA,,16.38,共有部分主要用途有：梯間、機械室、水箱等３項。,鋼筋混凝土造,110年6月10日,十五層,
RPRPMLQJPHGGFAH38DA,,82.88,住家用,鋼筋混凝土造,110年6月10日,十五層,六層 陽台
RPRPMLQJPHGGFAH38DA,,48.91,共有部分主要用途有：管委會使用空間、車道、停車空間、台電配電場所、蓄水池、水景機房、垃圾儲藏室、梯間、儲藏室、發電機房、電信室、防空避難室兼停車空間、消防泵浦室、污水、雨水機房等１４項。,鋼筋混凝土造,110年6月10日,十五層,
RPRPMLQJPHGGFAH38DA,,18.89,共有部分主要用途有：梯間、機械室、水箱等３項。,鋼筋混凝土造,110年6月10日,十五層,
RPSSMLQJPHGGFAH78DA,,66.99,住家用,鋼筋混凝土造,110年6月10日,十五層,二層 陽台
RPSSMLQJPHGGFAH78DA,,44.79,共有部分主要用途有：管委會使用空間、車道、停車空間、台電配電場所、蓄水池、水景機房、垃圾儲藏室、梯間、儲藏室、發電機房、電信室、防空避難室兼停車空間、消防泵浦室、污水、雨水機房等１４項。,鋼筋混凝土造,110年6月10日,十五層,
RPSSMLQJPHGGFAH78DA,,15.28,共有部分主要用途有：梯間、機械室、水箱等３項。,鋼筋混凝土造,110年6月10日,十五層,
RPQRMLQJPHGGFAH48DA,,90.31,住家用,鋼筋混凝土造,110年6月10日,十五層,七層 陽台
RPQRMLQJPHGGFAH48DA,,78.29,共有部分主要用途有：管委會使用空間、車道、停車空間、台電配電場所、蓄水池、水景機房、垃圾儲藏室、梯間、儲藏室、發電機房、電信室、防空避難室兼停車空間、消防泵浦室、污水、雨水機房等１４項。,鋼筋混凝土造,110年6月10日,十五層,
RPQRMLQJPHGGFAH48DA,,18.10,共有部分主要用途有：梯間、機械室、水箱等３項。,鋼筋混凝土造,110年6月10日,十五層,
RPVQMLPJPHGGFAH78DA,,71.87,住家用,鋼筋混凝土造,110年6月10日,十五層,十二層 陽台
RPWRMLQJPHGGFAH09DA,,90.31,住家用,鋼筋混凝土造,110年6月10日,十五層,十層 陽台
RPVQMLPJPHGGFAH78DA,,46.05,共有部分主要用途有：管委會使用空間、車道、停車空間、台電配電場所、蓄水池、水景機房、垃圾儲藏室、梯間、儲藏室、發電機房、電信室、防空避難室兼停車空間、消防泵浦室、污水、雨水機房等１４項。,鋼筋混凝土造,110年6月10日,十五層,
