編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWQMLPJPHGGFAH88DA,中路三段,20.23,都市：其他:住宅區,100000,655,持分移轉,01920000
RPRPMLQJPHGGFAH38DA,中路三段,23.35,都市：其他:住宅區,100000,756,持分移轉,01920000
RPSSMLQJPHGGFAH78DA,中路三段,18.87,都市：其他:住宅區,100000,611,持分移轉,01920000
RPQRMLQJPHGGFAH48DA,中路三段,25.45,都市：其他:住宅區,100000,824,持分移轉,01920000
RPVQMLPJPHGGFAH78DA,中路三段,20.23,都市：其他:住宅區,100000,655,持分移轉,01920000
RPWRMLQJPHGGFAH09DA,中路三段,25.42,都市：其他:住宅區,100000,823,持分移轉,01920000
RPUTMLQJPHGGFAH09DA,中路三段,24.09,都市：其他:住宅區,100000,780,持分移轉,01920000
RPWRMLPJPHGGFAH98DA,中路三段,23.35,都市：其他:住宅區,100000,756,持分移轉,01920000
RPSRMLRJPHGGFAH78DA,中路三段,53.58,都市：其他:住宅區,100000,1735,持分移轉,01920000
RPXSMLQJPHGGFAH66DA,中路三段,24.09,都市：其他:住宅區,100000,780,持分移轉,01920000
RPVWMLTJQHGGFAH27DA,寶山段,16.41,都市：其他:住宅區,100000,229,持分移轉,08360000
RPUOMLQLPHGGFAH78DA,長安段,7.98,都市：其他:住宅區,10000,131,持分移轉,02040000
RPUOMLQLPHGGFAH78DA,長安段,60.11,都市：其他:住宅區,10000,155,持分移轉,02050000
RPUPMLQJRHGGFAH88DA,中路一段,18.04,都市：其他:第一之二種住宅區,100000,420,持分移轉,00490000
RPOOMLLMQHGGFAH87DA,大有段,26.78,都市：其他:住宅區,10000,62,持分移轉,05150000
RPUQMLRJRHGGFAH09DA,中路三段,23.35,都市：其他:住宅區,100000,756,持分移轉,01920000
RPUPMLLMQHGGFAH58DA,中路三段,24.44,都市：其他:住宅區,10000,97,持分移轉,00380000
RPOSMLLMQHGGFAH28DA,寶山段,20.97,都市：其他:住宅區,10000,116,持分移轉,02210000
RPQSMLRJRHGGFAH88DA,新埔段,19.45,都市：其他:住宅區,100000,953,持分移轉,02750000
RPQOMLLJRHGGFAH87DA,同德段,17.67,都市：其他:商業區,100000,285,持分移轉,00260000
RPWRMLRJRHGGFAH76DA,慈文段,12.84,都市：其他:住宅區,10000,37,持分移轉,14110000
RPWRMLSJRHGGFAH86DA,中路段,21.23,都市：其他:乙種工業區,10000,26,持分移轉,18630105
RPUSMLSJRHGGFAH76DA,三聖段,12.49,都市：其他:住宅區,100000,983,持分移轉,06310000
RPRRMLQLQHGGFAH88DA,同安段,16.38,都市：其他:住宅區,10000,95,持分移轉,00430000
RPVSMLSJRHGGFAH86DA,三聖段,12.49,都市：其他:住宅區,100000,983,持分移轉,06310000
RPTSMLSJRHGGFAH66DA,三聖段,29.87,都市：其他:住宅區,100000,2351,持分移轉,06310000
RPSOMLTJRHGGFAH88DA,國強段,15.87,都市：其他:第二種住宅區,5,1,持分移轉,06810000
RPTRMLRJPHGGFBH98DA,普仁段,4.96,都市：其他:市場用地,10000,24,持分移轉,10240000
RPUQMLNKPHGGFBH68DA,金湖段,173.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06970012
RPPNMLLMPHGGFBH87DA,復興段,3.74,都市：其他:道路用地,792,11,持分移轉,09880000
RPPSMLLKQHGGFBH28DA,三座屋段三座屋小段,1.43,都市：其他:住宅區,10000,15,持分移轉,00040000
RPPSMLLKQHGGFBH28DA,三座屋段舊社小段,6.68,都市：其他:住宅區,10000,15,持分移轉,01170000
RPTPMLQJQHGGFBH78DA,新街段,18.95,都市：其他:住宅區,100000,323,持分移轉,08670000
RPXPMLPJQHGGFBH09DA,新張段,276.44,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16030000
RPSNMLSJRHGGFAH68DA,寶山段,32.62,都市：其他:住宅區,10000,38,持分移轉,09170000
RPSQMLTJQHGGFBH09DA,中工段,65.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04950005
RPQRMLNLQHGGFBH58DA,富林段,70.28,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06900000
RPORMLLMQHGGFBH28DA,自立段,146.57,都市：其他:住宅區,10000,1839,持分移轉,09630000
RPXWMLNLQHGGFBH17DA,富台段,30.32,都市：其他:住宅區,10000,58,持分移轉,04710000
RPXOMLQLQHGGFBH66DA,中壢埔頂段,28.87,都市：其他:住宅區,10000,89,持分移轉,13540000
RPXOMLQLQHGGFBH66DA,中壢埔頂段,4.09,都市：其他:住宅區,10000,10,持分移轉,13640000
RPPOMLSKQHGGFBH58DA,普義段,11.32,都市：其他:住宅區,10000,32,持分移轉,06120000
RPXRMLPLQHGGFBH86DA,復興段,498.40,都市：其他:道路用地,1,1,全筆移轉,13380000
RPPPMLMJRHGGFBH08DA,月眉段,538.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12400000
RPPUMLPLQHGGFBH98DA,老街溪段,30.20,都市：其他:道路用地,24,1,持分移轉,10510000
RPQNMLPJRHGGFBH28DA,中寮段,30.26,都市：其他:住宅區,100000,347,持分移轉,08800000
RPPOMLLJRHGGFBH87DA,草富段,54.40,都市：其他:第二種住宅區,1,1,全筆移轉,00820002
RPORMLQJRHGGFBH58DA,山嶺段,4.35,都市：其他:農業區,10000,112,持分移轉,05000000
RPORMLQJRHGGFBH58DA,山嶺段,91.29,都市：其他:農業區,10000,112,持分移轉,05010000
RPORMLQJRHGGFBH58DA,山嶺段,4.49,都市：其他:農業區,10000,112,持分移轉,05080000
RPPNMLRJRHGGFBH38DA,三座屋段三座屋小段,28.89,都市：其他:住宅區,200000,4084,持分移轉,04680004
RPORMLRJRHGGFBH68DA,青芝段,213.75,都市：其他:住宅區,1,1,全筆移轉,00860007
RPTRMLRJRHGGFBH56DA,中壢埔頂段,8.78,都市：其他:住宅區,100000,5453,持分移轉,11090000
RPTRMLRJRHGGFBH56DA,中壢埔頂段,9.05,都市：其他:住宅區,100000,5453,持分移轉,11090002
RPOSMLRJRHGGFBH78DA,興南段中壢老小段,2.18,都市：其他:商業區,13500,65,持分移轉,02220036
RPOSMLRJRHGGFBH78DA,興南段中壢老小段,2.24,都市：其他:商業區,13500,65,持分移轉,02230000
RPOSMLRJRHGGFBH78DA,興南段中壢老小段,.22,都市：其他:商業區,13500,65,持分移轉,02260027
RPOOMLSJRHGGFBH48DA,保潭段,200.02,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03780003
RPTTMLRJRHGGFBH76DA,洽溪段,1.38,非都市：特定農業區 ; 非都市編定：農牧用地,10000,39,持分移轉,10890000
RPTTMLRJRHGGFBH76DA,洽溪段,21.98,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,39,持分移轉,10900000
RPPOMLSJRHGGFBH58DA,保潭段,200.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03780004
RPUTMLRJRHGGFBH86DA,榮民段,68.00,都市：其他:住宅區,1,1,全筆移轉,09050000
RPTNMLSJRHGGFBH88DA,培英段,25.11,都市：其他:住宅區,10000,42,持分移轉,00010000
RPROMLSJRHGGFBH78DA,保潭段,300.02,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03780005
RPVNMLSJRHGGFBH09DA,仁和段,3.30,都市：其他:商業區,10000,27,持分移轉,04170000
RPVNMLSJRHGGFBH09DA,仁和段,.42,都市：其他:住宅區,10000,27,持分移轉,04170001
RPVNMLSJRHGGFBH09DA,仁和段,1.95,都市：其他:住宅區,10000,27,持分移轉,04210000
RPVQMLSJRHGGFBH76DA,三座屋段舊社小段,70.44,都市：其他:農業區,96,1,持分移轉,00710002
RPVOMLSJRHGGFBH56DA,保潭段,200.02,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03780007
RPOPMLSJRHGGFBH58DA,保潭段,200.02,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03780008
RPWPMLSJRHGGFBH76DA,自立段,6.38,都市：其他:道路用地,8,1,持分移轉,04110000
RPSNMLTJRHGGFBH88DA,青平段,16.57,都市：其他:第二種商業區,100000,737,持分移轉,03590000
RPXPMLSJRHGGFBH86DA,中壢埔頂段,5.92,都市：其他:住宅區,1000000,1285,持分移轉,11870000
RPUOMLSJRHGGFBH09DA,保潭段,300.02,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03780006
