鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市民權路１１２巷１８號,37.63,都市：其他:住宅區,,,1100805,土地2建物1車位0,一層，地下層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680403,122.05,3,2,3,有,無,6400000,52438,,0.0,0,其他增建；,RPWNMLPLQHGGFAI98DA,122.05,0.0,0.0,無,001
嘉義市,房地(土地+建物),嘉義市嘉義市蘭州三街１１號,67.0,都市：其他:住宅區,,,1100820,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0920729,162.52,4,2,2,有,無,6300000,38764,,0.0,0,,RPUOMLNJRHGGFAI58DA,139.94,22.58,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市吳鳳南路３４５巷２２號,94.0,都市：其他:住宅區,,,1100817,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0831011,239.73,0,0,0,無,無,8500000,35457,,0.0,0,,RPVOMLQJRHGGFAI98DA,210.55,29.18,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市義教街６１５號,90.46,都市：其他:住宅區,,,1100630,土地1建物1車位0,一層，地下層,十一層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830723,550.84,0,0,0,無,有,8800000,15976,,0.0,0,,RPPOMLSJRHGGFAI58DA,444.05,0.0,0.0,有,
嘉義市,土地,劉厝段玉山小段316地號,937.04,都市：其他:住宅區,,,1100712,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,58108000,62012,,0.0,0,,RPTNMLTJRHGGFAI98DA,0.0,0.0,0.0,無,
嘉義市,土地,劉厝段玉山小段311-4地號,442.9,都市：其他:住宅區,,,1100712,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27465000,62012,,0.0,0,,RPWNMLTJRHGGFAI66DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路２９４之８號六樓之１,4.76,都市：其他:住宅區,,,1100814,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780203,31.75,1,1,1,有,有,1250000,39370,,0.0,0,,RPOOMLTJRHGGFAI58DA,16.06,5.22,0.0,有,002
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路１８３號十一樓之２１,6.07,都市：其他:住宅區,,,1100807,土地1建物1車位0,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,50.980000000000004,1,1,1,有,有,1500000,29423,,0.0,0,,RPUOMLTJRHGGFAI56DA,30.36,6.02,0.0,有,
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路１８３號十樓４,6.07,都市：其他:住宅區,,,1100813,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,50.980000000000004,1,1,1,有,有,1500000,29423,,0.0,0,,RPVOMLTJRHGGFAI66DA,30.36,6.02,0.0,有,003
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十街３７７號三樓之２,18.5,都市：其他:商業區,,,1100729,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1100420,107.8,2,2,2,有,有,5500000,51020,坡道機械,0.0,0,,RPOPMLTJRHGGFAI68DA,54.09,7.71,0.0,有,004
嘉義市,房地(土地+建物),嘉義市嘉義市新建街８巷１５號五樓３,28.46,都市：其他:住宅區,,,1100725,土地2建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800316,170.6,2,2,2,有,有,6000000,35170,,0.0,0,,RPRPMLTJRHGGFAI98DA,121.07,14.77,0.0,有,
嘉義市,房地(土地+建物),嘉義市嘉義市吳鳳南路２２４巷３７號,58.0,都市：其他:住宅區,,,1100725,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0601010,78.79,2,1,1,有,無,3500000,44422,,0.0,0,,RPWNMLRJRHGGFAI56EA,78.79,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市垂楊路１４５號,13.79,都市：其他:住宅區,,,1100826,土地1建物1車位0,全,二層,透天厝,住家用,木造,0490711,14.78,4,1,1,有,無,1050000,71042,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLTJRHGGFAI96EA,14.78,0.0,0.0,無,
嘉義市,土地,頂庄段341地號,23.0,都市：其他:農業區,,,1100825,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,15217,,0.0,0,,RPPNMLKKRHGGFAI87EA,0.0,0.0,0.0,無,005
