編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUOMLNJRHGGFAI58DA,18,162.52,住家用,鋼筋混凝土造,92年7月29日,三層,一層 二層 三層 陽台 見其他登記事項
RPPOMLSJRHGGFAI58DA,27,444.05,住商用,鋼筋混凝土造,83年7月23日,十一層,一層 地下層
RPPOMLSJRHGGFAI58DA,27,106.79,共有部份,鋼筋混凝土造,83年7月23日,十一層,
RPOOMLTJRHGGFAI58DA,33,21.28,住家用,鋼筋混凝土造,78年2月3日,七層,六層 陽台
RPOOMLTJRHGGFAI58DA,33,10.47,共有部份,鋼筋混凝土造,78年2月3日,七層,
RPWNMLPLQHGGFAI98DA,42,122.05,住家用,鋼筋混凝土造,68年4月3日,五層,一層 地下層
RPVOMLQJRHGGFAI98DA,27,239.73,住商用,鋼筋混凝土造,83年10月11日,四層,一層 二層 三層 四層 陽台 電梯樓梯間 地下層
RPWNMLRJRHGGFAI56EA,50,78.79,住家用,鋼筋混凝土加強磚造,60年10月10日,二層,一層 二層
RPROMLKKRHGGFAI18EA,39,155.84,住商用,鋼筋混凝土加強磚造,71年6月26日,二層,一層 二層 電梯樓梯間
RPUNMLKKRHGGFAI28DA,26,88.19,住家用,鋼筋混凝土造,85年2月5日,十五層,二層 陽台 見使用執照
RPUNMLKKRHGGFAI28DA,26,15.89,共有部份,鋼筋混凝土造,85年2月5日,十五層,
RPUNMLKKRHGGFAI28DA,26,8.19,門廳、防空避難室,鋼筋混凝土造,85年2月5日,十五層,
RPXOMLTJRHGGFAI96EA,61,14.78,住家用,木造,49年7月11日,二層,一層 二層 騎樓
RPWNMLKKRHGGFAI48DA,30,278.73,住家用,鋼筋混凝土造,80年5月11日,四層,一層 二層 三層 四層 電梯樓梯間 地下層
RPROMLTJRHGGFAI88DA,26,183.48,住家用,鋼筋混凝土造,84年7月8日,四層,一層 二層 三層 四層 陽台 平台
RPUOMLQJRHGGFAI88DA,7,288.29,停車空間、住宅、樓梯間、管道間,鋼筋混凝土構造,103年1月27日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPUOMLQJRHGGFAI88DA,7,.19,本共有部分之項目有管理維護空間等一項,鋼筋混凝土構造,103年1月27日,一層,
RPTOMLTJRHGGFAI09DA,1,180.63,住宅、樓梯間,鋼筋混凝土構造,109年3月17日,三層,一層 二層 三層 陽台 見其他登記事項
RPTOMLKKRHGGFAI28DA,27,82.97,住家用,鋼筋混凝土造,83年2月3日,十二層,十層 陽台
RPTOMLKKRHGGFAI28DA,27,14.13,共有部份,鋼筋混凝土造,83年2月3日,十二層,
RPVNMLLJRHGGFAI38DA,38,16.22,共有部份,鋼筋混凝土造,73年2月20日,五層,
RPVNMLLJRHGGFAI38DA,38,79.13,集合住宅,鋼筋混凝土造,73年2月20日,五層,三層
RPQOMLPLQHGGFAI48DA,52,65.94,住家用,加強磚造,58年9月10日,二層,一層 二層
RPPNMLSJRHGGFAI48DA,31,124.56,住家用,鋼筋混凝土造,79年2月19日,七層,三層 陽台
RPPNMLSJRHGGFAI48DA,31,25.81,共有部份,鋼筋混凝土造,79年2月19日,七層,
RPTNMLKMQHGGFAI28DA,26,6.67,共有部份,鋼筋混凝土造,84年10月13日,十二層,
RPTNMLKMQHGGFAI28DA,26,30.75,住家用,鋼筋混凝土造,84年10月13日,十二層,九層 陽台
RPUNMLSKQHGGFAI98DA,40,156.96,住家用,鋼筋混凝土加強磚造,70年3月17日,二層,一層 二層 電梯樓梯間
RPQNMLLKRHGGFAI97DA,,208.41,住宅、樓梯間,鋼筋混凝土構造,110年7月6日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLKLQHGGFAI77DA,28,103.82,住家用,鋼筋混凝土造,82年3月25日,十二層,九層 陽台
RPPNMLKLQHGGFAI77DA,28,19.60,共有部份,鋼筋混凝土造,82年3月25日,十二層,
RPPNMLKLQHGGFAI77DA,28,12.74,共有部份,鋼筋混凝土造,82年3月25日,十二層,
RPUOMLKKRHGGFAI38DA,29,91.49,住家用,鋼筋混凝土造,81年11月14日,七層,五層 陽台
RPUOMLKKRHGGFAI38DA,29,12.09,共有部份,鋼筋混凝土造,81年11月14日,七層,
RPUOMLKKRHGGFAI38DA,29,10.42,共有部份,鋼筋混凝土造,81年11月14日,七層,
RPXOMLSJRHGGFAI76DA,11,222.10,住宅、樓梯間,鋼筋混凝土構造,99年11月18日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLTJRHGGFAI58DA,48,64.08,住家用,木造,62年9月10日,二層,一層 二層
RPROMLNKRHGGFAI48EA,35,46.59,住商用,加強磚造,75年6月26日,二層,一層 二層 電梯樓梯間
RPROMLNKRHGGFAI48EA,35,53.69,住商用,加強磚造,75年6月26日,二層,一層 二層 電梯樓梯間
RPVNMLKKRHGGFAI38DA,17,114.19,住家用,鋼筋混凝土造,93年10月29日,十四層,十四層 陽台
RPVNMLKKRHGGFAI38DA,17,70.78,共有部份,鋼筋混凝土造,93年10月29日,十四層,
RPWOMLNKRHGGFAI88DA,37,122.14,住家用,加強磚造,73年12月8日,二層,一層 二層 騎樓 電梯樓梯間 見其他登記事項
RPXOMLNKRHGGFAI98DA,1,288.86,住宅、樓梯間,鋼筋混凝土構造,109年9月21日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPWPMLNKRHGGFAI98DA,5,74.76,集合住宅,鋼筋混凝土構造,105年5月10日,十四層,六層 陽台 雨遮
RPWPMLNKRHGGFAI98DA,5,26.42,本共有部分之項目有停車空間、消防機房、排風機房、排煙室、機房、電錶室、樓梯間、防空避難室兼停車空間、水箱、台電受電室、緊急發電機房、電信室、外廊管委會使用空間、門廳等１４項,鋼筋混凝土構造,105年5月10日,十四層,
