編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLNJRHGGFAI58DA,車店段車店小段,67.00,都市：其他:住宅區,1,1,全筆移轉,08940002
RPTNMLTJRHGGFAI98DA,劉厝段玉山小段,937.04,都市：其他:住宅區,1,1,全筆移轉,03160000
RPPOMLSJRHGGFAI58DA,頂庄段,90.46,都市：其他:住宅區,90000,2917,持分移轉,04200000
RPOOMLTJRHGGFAI58DA,車店段車店小段,4.76,都市：其他:住宅區,10000,24,持分移轉,00460056
RPWNMLTJRHGGFAI66DA,劉厝段玉山小段,442.90,都市：其他:住宅區,1,1,全筆移轉,03110004
RPWNMLPLQHGGFAI98DA,中山段五小段,18.30,都市：其他:住宅區,1000,128,持分移轉,00030000
RPWNMLPLQHGGFAI98DA,山下段,19.33,都市：其他:住宅區,1000,128,持分移轉,00430020
RPVOMLQJRHGGFAI98DA,下路頭段,94.00,都市：其他:住宅區,1,1,全筆移轉,08290024
RPWNMLRJRHGGFAI56EA,下路頭段,58.00,都市：其他:住宅區,1,1,全筆移轉,04750104
RPROMLKKRHGGFAI18EA,下路頭段,129.00,都市：其他:住宅區,1,1,全筆移轉,08410006
RPPNMLKKRHGGFAI87EA,頂庄段,23.00,都市：其他:農業區,1,1,全筆移轉,03410000
RPUNMLKKRHGGFAI28DA,軍輝段,12.64,都市：其他:住宅區,10000,94,持分移轉,07610000
RPXOMLTJRHGGFAI96EA,宣信段,13.79,都市：其他:住宅區,6,1,持分移轉,00410000
RPWNMLKKRHGGFAI48DA,竹村段,138.78,都市：其他:住宅區,1,1,全筆移轉,05020000
RPROMLTJRHGGFAI88DA,育人段,.14,都市：其他:住宅區,1,1,全筆移轉,03930000
RPROMLTJRHGGFAI88DA,育人段,5.11,都市：其他:住宅區,10000,434,持分移轉,04020000
RPROMLTJRHGGFAI88DA,育人段,22.08,都市：其他:住宅區,10000,434,持分移轉,04170000
RPROMLTJRHGGFAI88DA,育人段,91.55,都市：其他:住宅區,1,1,全筆移轉,04210000
RPUOMLQJRHGGFAI88DA,長竹段,19.00,都市：其他:道路用地,113,19,持分移轉,00300001
RPUOMLQJRHGGFAI88DA,長竹段,90.00,都市：其他:住宅區,1,1,全筆移轉,00310007
RPUOMLQJRHGGFAI88DA,長竹段,27.29,都市：其他:住宅區,7,1,持分移轉,00310011
RPTOMLTJRHGGFAI09DA,湖子內段湖美小段,92.40,都市：其他:住宅區,1,1,全筆移轉,00430016
RPTOMLTJRHGGFAI09DA,湖子內段湖美小段,26.17,都市：其他:住宅區,6,1,持分移轉,00430019
RPTOMLKKRHGGFAI28DA,竹圍子段二小段,12.58,都市：其他:住宅區,10000,160,持分移轉,01210000
RPVNMLLJRHGGFAI38DA,車店段車店小段,33.42,都市：其他:住宅區,368400,3342,持分移轉,08140000
RPSOMLTJRHGGFAI98DA,宣信段,80.72,都市：其他:住宅區,1,1,全筆移轉,12160000
RPQOMLPLQHGGFAI48DA,中山段二小段,51.00,都市：其他:住宅區,1,1,全筆移轉,00180020
RPPNMLSJRHGGFAI48DA,彌陀段,30.08,都市：其他:住宅區,10000,93,持分移轉,05230000
RPTNMLKMQHGGFAI28DA,埤子頭段,5.10,都市：其他:住宅區,10000,14,持分移轉,03120000
RPPPMLKMPHGGFAI97DA,八掌段,59.66,都市：其他:農業區,1000,102,持分移轉,01690001
RPPPMLKMPHGGFAI97DA,八掌段,329.00,都市：其他:農業區,1,1,全筆移轉,01690012
RPPPMLKMPHGGFAI97DA,八掌段,1.06,都市：其他:農業區,11,1,持分移轉,01690018
RPPPMLKMPHGGFAI97DA,八掌段,8.93,都市：其他:農業區,11,1,持分移轉,01690020
