編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLKKRHGGFAI38DA,坡道平面,0,,地下二樓
RPWPMLNKRHGGFAI98DA,坡道機械,0,,地下二樓
RPROMLKMQHGGFAI18DA,坡道平面,450000,13.89,地下一樓
RPSNMLSJRHGGFAI78DA,坡道平面,0,,地下一樓
RPOPMLTJRHGGFAI68DA,坡道機械,0,,地下二樓
RPTOMLRJRHGGFAI88DA,坡道機械,0,,地下一樓
RPXNMLNKRHGGFAI88DA,坡道平面,0,,地下二樓
RPWNMLNKRHGGFAI78DA,一樓平面,0,,一樓
RPVNMLNKRHGGFAI68DA,一樓平面,0,,一樓
RPTNMLNKRHGGFAI48DA,一樓平面,0,,一樓
RPUNMLNKRHGGFAI58DA,一樓平面,0,,一樓
RPSNMLNKRHGGFAI38DA,一樓平面,0,,一樓
RPRNMLNKRHGGFAI28DA,一樓平面,0,,一樓
RPUNMLLKRHGGFAI38DA,坡道機械,0,,一樓
RPPNMLMKRHGGFAI97DA,坡道機械,0,,地下一樓
RPUNMLSJRHGGFAI98DA,坡道機械,0,,地下一樓
RPQOMLNKRHGGFAI28DA,一樓平面,0,,一樓
RPROMLNKRHGGFAI38DA,一樓平面,0,,一樓
RPUOMLNKRHGGFAI68DA,一樓平面,0,,一樓
RPSOMLSJRHGGFAI88DA,坡道機械,0,,地下一樓
RPTOMLNKRHGGFAI58DA,一樓平面,0,,一樓
RPSOMLNKRHGGFAI48DA,一樓平面,0,,一樓
RPVNMLPKRHGGFAI88DA,坡道平面,0,,地下一樓
RPPOMLNKRHGGFAI18DA,一樓平面,0,,一樓
RPOPMLNKRHGGFAI18DA,坡道機械,0,,地下一樓
RPPNMLLJRHGGFAI77DA,一樓平面,0,,一樓
RPPNMLLJRHGGFAI77DA,一樓平面,0,,一樓
RPQNMLKMQHGGFAI97DA,坡道機械,0,,地下二樓
RPUOMLRJRHGGFAI98DA,坡道機械,0,,地下一樓
RPWNMLSJRHGGFAI56DA,坡道平面,0,,地下一樓
RPQOMLRJRHGGFAI58DA,坡道平面,0,,地下一樓
RPSOMLRJRHGGFAI78DA,坡道平面,0,,地下一樓
