鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山六街２８巷４６號,108.25,,鄉村區,乙種建築用地,1100305,土地3建物1車位2,全,四層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1100625,255.52,4,2,4,有,無,15750000,61639,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPRPMLTLPHGGFBJ56DA,244.77,10.75,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山六街２８巷４２號,105.85,,鄉村區,乙種建築用地,1100302,土地3建物1車位2,全,四層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1100625,253.63,4,2,4,有,無,15750000,62098,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPSPMLTLPHGGFBJ66DA,242.27,11.36,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山六街２８巷３８號,79.12,,鄉村區,乙種建築用地,1100323,土地3建物1車位2,全,四層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1100625,218.69,4,2,4,有,無,15900000,72706,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPTPMLTLPHGGFBJ76DA,212.43,6.26,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山六街２８巷２６號,78.93,,鄉村區,乙種建築用地,1100412,土地3建物1車位2,全,四層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1100625,217.25,4,2,4,有,無,15700000,72267,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPUPMLTLPHGGFBJ86DA,212.43,4.82,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山六街２８巷２０號,78.93,,鄉村區,乙種建築用地,1100419,土地3建物1車位2,全,四層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1100625,217.0,4,2,4,有,無,16200000,74654,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPVPMLTLPHGGFBJ96DA,212.43,4.57,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山六街２８巷１６號,79.12,,鄉村區,乙種建築用地,1100503,土地3建物1車位2,全,四層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1100625,218.69,4,2,4,有,無,16700000,76364,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPXPMLTLPHGGFBJ17DA,212.43,6.26,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山六街２８巷１２號,78.93,,鄉村區,乙種建築用地,1100416,土地3建物1車位2,全,四層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1100625,217.0,4,2,4,有,無,16100000,74194,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPOQMLTLPHGGFBJ98DA,212.43,4.57,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山六街２８巷１０號,80.43,,鄉村區,乙種建築用地,1100319,土地3建物1車位2,全,四層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1100625,221.0,4,2,4,有,無,15800000,71493,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPPQMLTLPHGGFBJ09DA,216.01,4.99,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山六街２８巷８號,80.62,,鄉村區,乙種建築用地,1100329,土地3建物1車位2,全,四層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1100625,222.44,4,2,4,有,無,15850000,71255,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPRQMLTLPHGGFBJ66DA,216.01,6.43,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山六街２８巷６號,80.43,,鄉村區,乙種建築用地,1081114,土地3建物1車位2,全,四層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1100625,220.75,4,2,4,有,無,14300000,64779,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPSQMLTLPHGGFBJ76DA,216.01,4.74,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山六街２６號,113.81,,鄉村區,乙種建築用地,1100624,土地3建物1車位2,全,四層,透天厝,集合住宅,鋼筋混凝土造,1100625,213.82,4,2,4,有,無,18250000,85352,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPTQMLTLPHGGFBJ86DA,194.04,19.78,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山六街２８巷３０號,79.12,,鄉村區,乙種建築用地,1100729,土地3建物1車位2,全,四層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1100625,218.69,4,2,4,有,無,17330000,79245,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPTVMLKMPHGGFBJ56DA,212.43,6.26,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段２２８號,38.91,都市：其他:住宅區,,,1100701,土地1建物1車位1,一層，二層,二十四層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1010328,228.12,0,2,2,有,有,18100000,79344,坡道平面,0.0,0,,RPSWMLKMPHGGFBJ56DA,149.96,11.12,0.0,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利十二街１７７號,36.76,都市：其他:第一種住宅區,,,1100604,土地1建物1車位1,一層，見其他登記事項,十四層,店面(店鋪),商業用,鋼筋混凝土造,1020207,199.62,0,0,0,無,有,22500000,112714,坡道平面,45.05,0,夾層；,RPVNMLSJOHGGFBJ98DA,106.31,14.36,0.0,有,001
竹北市,土地,白地粉段752地號,19.43,,鄉村區,乙種建築用地,1100823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,420000,21616,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLQHGGFBJ38DA,0.0,0.0,0.0,無,
竹北市,土地,白地粉段752-2地號,5.17,,鄉村區,交通用地,1100823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30000,5803,,0.0,0,,SPPNMLOLQHGGFBJ48DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物),新竹縣竹北市新泰路３６巷３９號,161.88,都市：其他:第二種住宅區,,,1100814,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,257.24,18,0,18,有,無,21000000,81636,,0.0,0,,RPPNMLNJRHGGFBJ18DA,257.24,0.0,0.0,無,002
竹北市,土地,站後段521地號,85.54,都市：其他:第三種商業區,,,1100826,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,58452,,0.0,0,,RPPNMLSJRHGGFBJ68DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬北路１３８號十三樓,14.32,都市：其他:第二種商業區,,,1100808,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941005,144.16,3,2,2,有,有,15300000,106132,坡道機械,0.0,0,,RPSOMLSJRHGGFBJ09DA,85.88,9.72,0.0,有,003
