編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRQMLTLPHGGFBJ66DA,,222.44,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年6月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPUPMLTLPHGGFBJ86DA,,217.25,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年6月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPRPMLTLPHGGFBJ56DA,,255.52,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年6月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPTPMLTLPHGGFBJ76DA,,218.69,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年6月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPPQMLTLPHGGFBJ09DA,,221.00,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年6月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPVPMLTLPHGGFBJ96DA,,217.00,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年6月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPXPMLTLPHGGFBJ17DA,,218.69,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年6月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPSPMLTLPHGGFBJ66DA,,253.63,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年6月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPSQMLTLPHGGFBJ76DA,,220.75,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年6月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPOQMLTLPHGGFBJ98DA,,217.00,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年6月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPTQMLTLPHGGFBJ86DA,,213.82,集合住宅,鋼筋混凝土造,110年6月25日,四層,一層 二層 三層 四層 陽台
RPTVMLKMPHGGFBJ56DA,,218.69,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年6月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPVNMLSJOHGGFBJ98DA,8,120.67,商業用,鋼筋混凝土造,102年2月7日,十四層,一層 陽台 雨遮 見其他登記事項
RPVNMLSJOHGGFBJ98DA,8,8.20,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,102年2月7日,十四層,
RPVNMLSJOHGGFBJ98DA,8,70.75,本共有部分之項目有防空避難室兼停車空間等一項。,鋼筋混凝土造,102年2月7日,十四層,
RPSWMLKMPHGGFBJ56DA,9,.02,商業用,鋼筋混凝土造,101年3月28日,二十四層,一層
RPSWMLKMPHGGFBJ56DA,9,161.06,住商用,鋼筋混凝土造,101年3月28日,二十四層,一層 二層 陽台
RPSWMLKMPHGGFBJ56DA,9,31.65,本共有部分之項目有防空避難室，停車空間，開放空間，垃圾集中場，社區公共服務空間等五項。,鋼筋混凝土造,101年3月28日,二十四層,
RPSWMLKMPHGGFBJ56DA,9,35.39,本共有部分之項目有防空避難室，停車空間，開放空間，垃圾集中場，社區公共服務空間等五項。,鋼筋混凝土造,101年3月28日,二十四層,
RPPNMLNJRHGGFBJ18DA,,257.24,住家用,加強磚造,,二層,一層 二層 騎樓
RPOOMLTJRHGGFBJ78DA,6,111.87,住家用,鋼筋混凝土造,104年11月11日,二十二層,八層 陽台 雨遮
RPOOMLTJRHGGFBJ78DA,6,31.01,本共有部分之項目有頂蓋型沿街步道式開放空間、社區門廳、垃圾處理室、管委會使用空間、梯廳、樓梯間、緊急升降機間排煙室、公共設施、消防機械室、機械室、水箱等十一項。,鋼筋混凝土造,104年11月11日,二十二層,
RPOOMLTJRHGGFBJ78DA,6,79.00,本共有部分之項目有停車空間、水箱、樓梯間、緊急升降機間排煙室、消防機械室、緊急發電室、機械室、防空避難室兼停車空間、台電配電室、受電箱室、電信室、電錶室、防災中心等十三項。,鋼筋混凝土造,104年11月11日,二十二層,
RPSOMLSJRHGGFBJ09DA,16,95.58,住家用,鋼筋混凝土造,94年10月5日,十四層,十三層 陽台 雨遮
RPSOMLSJRHGGFBJ09DA,16,.02,辦公室,鋼筋混凝土造,94年10月5日,二十一層,一層
RPSOMLSJRHGGFBJ09DA,16,17.85,共有部分,鋼筋混凝土造,94年10月5日,二十一層,
RPSOMLSJRHGGFBJ09DA,16,.00,共有部分,鋼筋混凝土造,94年10月5日,二十一層,
RPSOMLSJRHGGFBJ09DA,16,10.70,共有部分,鋼筋混凝土造,94年10月5日,二十一層,
RPSOMLSJRHGGFBJ09DA,16,20.00,共有部分,鋼筋混凝土造,94年10月5日,二十一層,
RPUOMLTJRHGGFBJ76DA,17,119.78,住家用,鋼筋混凝土造,93年7月5日,十三層,六層 陽台 雨遮
RPUOMLTJRHGGFBJ76DA,17,.03,守衛室,鋼筋混凝土造,93年7月5日,十三層,一層
RPUOMLTJRHGGFBJ76DA,17,12.33,共有部分,鋼筋混凝土造,93年7月5日,十三層,
RPUOMLTJRHGGFBJ76DA,17,.00,共有部分,鋼筋混凝土造,93年7月5日,十三層,
RPUOMLTJRHGGFBJ76DA,17,19.82,共有部分,鋼筋混凝土造,93年7月5日,十三層,
RPUOMLTJRHGGFBJ76DA,17,20.64,共有部分,鋼筋混凝土造,93年7月5日,十三層,
RPRPMLSJRHGGFBJ09DA,10,31.88,商業用,鋼筋混凝土造,101年1月18日,八層,六層 雨遮
RPRPMLSJRHGGFBJ09DA,10,9.31,本共有部分之項目有樓梯間、機械室、水箱等三項,鋼筋混凝土造,101年1月18日,八層,
RPRPMLSJRHGGFBJ09DA,10,4.62,本共有部分之項目有防空避難室、停車空間、樓梯間、水箱、機械室等５項,鋼筋混凝土造,101年1月18日,八層,
RPVNMLKMQHGGFCJ78DA,,111.06,住家用,鋼筋混凝土造,,三層,一層 二層 三層
RPWNMLKKNHGGFDJ48DA,,156.60,住宅,鋼筋混凝土造,109年12月18日,四層,一層 二層 三層 四層 陽台
RPOPMLKKRHGGFBJ08DA,13,.06,商業用,鋼筋混凝土造,97年9月15日,十六層,一層
RPOPMLKKRHGGFBJ08DA,13,34.18,商業用,鋼筋混凝土造,97年9月15日,十六層,五層 陽台
RPOPMLKKRHGGFBJ08DA,13,33.25,共有部分,鋼筋混凝土造,97年9月15日,十六層,
RPOPMLKKRHGGFBJ08DA,13,4.82,共有部分,鋼筋混凝土造,97年9月15日,十六層,
RPOPMLKKRHGGFBJ08DA,13,.00,共有部分,鋼筋混凝土造,97年9月15日,十六層,
RPOPMLKKRHGGFBJ08DA,13,2.10,共有部分,鋼筋混凝土造,97年9月15日,十六層,
RPOPMLKKRHGGFBJ08DA,13,11.09,共有部分,鋼筋混凝土造,97年9月15日,十六層,
