編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRQMLTLPHGGFBJ66DA,竹北段,22.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,585,持分移轉,06130000
RPRQMLTLPHGGFBJ66DA,竹北段,.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,1,持分移轉,06130020
RPRQMLTLPHGGFBJ66DA,竹北段,57.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06130023
RPUPMLTLPHGGFBJ86DA,竹北段,22.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,570,持分移轉,06130000
RPUPMLTLPHGGFBJ86DA,竹北段,.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,1,持分移轉,06130020
RPUPMLTLPHGGFBJ86DA,竹北段,56.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06130030
RPRPMLTLPHGGFBJ56DA,竹北段,25.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,660,持分移轉,06130000
RPTPMLTLPHGGFBJ76DA,竹北段,22.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,575,持分移轉,06130000
RPRPMLTLPHGGFBJ56DA,竹北段,.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,1,持分移轉,06130020
RPRPMLTLPHGGFBJ56DA,竹北段,82.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06130038
RPTPMLTLPHGGFBJ76DA,竹北段,.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,1,持分移轉,06130020
RPTPMLTLPHGGFBJ76DA,竹北段,56.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06130035
RPPQMLTLPHGGFBJ09DA,竹北段,22.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,580,持分移轉,06130000
RPPQMLTLPHGGFBJ09DA,竹北段,.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,1,持分移轉,06130020
RPPQMLTLPHGGFBJ09DA,竹北段,57.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06130024
RPVPMLTLPHGGFBJ96DA,竹北段,22.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,570,持分移轉,06130000
RPVPMLTLPHGGFBJ96DA,竹北段,.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,1,持分移轉,06130020
