鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
卓蘭鎮,土地,新橫坑段615地號,2932.95,,山坡地保育區,農牧用地,1100815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1023,,0.0,0,農業設施；,RPSNMLPLQHGGFAK78DA,0.0,0.0,0.0,無,001
公館鄉,土地,義民段404地號,236.39,,特定農業區,甲種建築用地,1100713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4040000,17090,,0.0,0,,RPSOMLRJRHGGFBK09DA,0.0,0.0,0.0,無,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市福麗里９鄰至公路３５１巷７號三樓,65.53,,,,1100820,土地2建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090316,196.19,3,2,2,有,有,7800000,39757,一樓平面,0.0,0,,RPUNMLSJRHGGFBK66DA,113.98,16.55,0.0,有,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市福麗里９鄰至公路３５１巷９號二樓,63.23,,,,1100720,土地2建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090316,189.32999999999998,3,2,2,有,有,7450000,39349,其他,0.0,0,,RPVNMLSJRHGGFBK76DA,113.98,11.12,0.0,有,
苑裡鎮,土地,田寮段607-4地號,196.88,,特定農業區,農牧用地,1100530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,893320,4537,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPJPHGGFCK48DA,0.0,0.0,0.0,無,
苑裡鎮,土地,田心段599地號,1690.0,,特定農業區,農牧用地,1100814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,8876,,0.0,0,本案交易含地上未登記建物 ，土地與未登記建物有個別交易價格，土地價金新台幣1480萬元正，房屋價金新台幣20萬元正，總價金新台幣1500萬元正。未登記建物；,RPTNMLTKQHGGFCK76DA,0.0,0.0,0.0,無,002
通霄鎮,房地(土地+建物),苗栗縣通霄鎮白東里１９鄰福泰路１０４巷１９號,99.5,,山坡地保育區,丙種建築用地,1100729,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,96.82,4,2,3,有,無,2200000,22723,,0.0,0,其他增建；,RPQNMLSJRHGGFCK98DA,96.82,0.0,0.0,無,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮佳興里２３鄰環市路三段６０２號,13.77,都市：其他:住宅區,,,1100714,土地1建物1車位0,一層，騎樓,十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1011213,118.38,0,0,0,無,有,6500000,54908,,0.0,0,,RPVNMLTLPHGGFDK07DA,82.85,8.92,0.0,有,003
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮照南里２７鄰自強街５１號三樓之五,51.09,都市：其他:住宅區,,,1100524,土地1建物1車位2,三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050325,302.65999999999997,4,2,3,有,有,16300000,53856,坡道平面,67.0,0,,RPQOMLMJOHGGFDK28DA,139.25,20.96,0.0,有,004
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮校椅里８鄰校椅三路２８號八樓之五,34.03,都市：其他:第二種住宅區,,,1100806,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091228,171.62,3,2,2,有,有,8500000,54187,坡道平面,33.21,1000000,,RPROMLNLQHGGFDK88DA,87.59,9.58,0.0,有,
後龍鎮,房地(土地+建物),苗栗縣後龍鎮溪洲里８鄰三好路１１１號,1350.08,,特定農業區,農牧用地,1100819,土地4建物1車位0,全,一層,透天厝,農業用,鋼造,0781129,302.0,2,1,1,有,無,4900000,16225,,0.0,0,交易總價以外權利人另負擔非屬不動產價格之費用:土地增值稅或其他稅費580722元、地政士服務費19375元，其他印花、登記規費:3910元,RPSOMLTJRHGGFDK86DA,302.0,0.0,0.0,無,
銅鑼鄉,土地,新雞隆段694-2地號,1687.0,,山坡地保育區,丁種建築用地,1100326,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,8892,,0.0,0,,RPRNMLQLQHGGFEK56DA,0.0,0.0,0.0,無,
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉新隆村４鄰新隆５４號,5889.0,,山坡地保育區,丁種建築用地,1100326,土地9建物1車位0,全,一層,透天厝,辦公室廠房,鋼架加強磚造,0651001,533.25,0,0,0,無,無,48000000,90014,,0.0,0,,RPSNMLQLQHGGFEK66DA,533.25,0.0,0.0,無,
頭份巿,房地(土地+建物),苗栗縣頭份市興隆里２０鄰花園東路５６巷５弄１０號,106.98,,山坡地保育區,丙種建築用地,1100425,土地1建物1車位0,全,三層,透天厝,住宅、停車空間,ＲＣ造,0950803,231.45,4,3,3,有,有,8380000,36207,,0.0,0,,RPPNMLTJPHGGFFK09DA,198.89,16.28,0.0,無,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街７０號八樓,28.36,都市：其他:住宅區,,,1091231,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,201.34,3,2,2,有,有,8120000,47953,坡道平面,75.8,2100000,預售屋、或土地及建物分件登記案件；,RPWPMLNKQHGGFFK96DA,78.83,7.22,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街７０號十一樓,27.85,都市：其他:住宅區,,,1091130,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,163.43,3,2,2,有,有,7000000,48196,坡道平面,37.9,950000,預售屋、或土地及建物分件登記案件；,RPXPMLNKQHGGFFK07DA,78.83,7.22,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街６２號三樓,27.35,都市：其他:住宅區,,,1091012,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,161.42000000000002,3,2,2,有,有,7880000,55699,坡道平面,37.9,1000000,含裝潢費940000元；預售屋、或土地及建物分件登記案件；,RPROMLOKQHGGFFK09DA,77.67,6.99,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街６２號五樓,27.35,都市：其他:住宅區,,,1091026,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,161.42000000000002,3,2,2,有,有,7080000,49628,坡道平面,37.9,950000,預售屋、或土地及建物分件登記案件；,RPTOMLOKQHGGFFK66DA,77.67,6.99,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街３６號十樓,27.35,都市：其他:住宅區,,,1091214,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,161.5,3,2,2,有,有,6900000,47330,坡道平面,37.9,1050000,預售屋、或土地及建物分件登記案件；,RPTQMLOKQHGGFFK86DA,77.71,6.99,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街３６號十一樓,27.35,都市：其他:住宅區,,,1091221,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,161.5,3,2,2,有,有,6620000,45874,坡道平面,37.9,950000,預售屋、或土地及建物分件登記案件；,RPUQMLOKQHGGFFK96DA,77.71,6.99,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街３６號十二樓,27.35,都市：其他:住宅區,,,1091207,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,161.5,3,2,2,有,有,6700000,46117,坡道平面,37.9,1000000,預售屋、或土地及建物分件登記案件；,RPVQMLOKQHGGFFK07DA,77.71,6.99,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街３６號十三樓,27.35,都市：其他:住宅區,,,1091228,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,161.5,3,2,2,有,有,6700000,46521,坡道平面,37.9,950000,預售屋、或土地及建物分件登記案件；,RPWQMLOKQHGGFFK17DA,77.71,6.99,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街３２號三樓,24.81,都市：其他:住宅區,,,1090921,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,148.88,3,2,2,有,有,5700000,42350,坡道平面,37.9,1000000,預售屋、或土地及建物分件登記案件；,RPQRMLOKQHGGFFK66DA,70.46,5.56,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街３２號十樓,24.81,都市：其他:住宅區,,,1090907,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,150.08999999999997,3,2,2,有,有,5900000,44603,坡道平面,39.11,950000,預售屋、或土地及建物分件登記案件；,RPSRMLOKQHGGFFK86DA,70.46,5.56,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街３８號十一樓,27.35,都市：其他:住宅區,,,1090810,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,161.4,3,2,2,有,有,6240000,42429,坡道平面,37.9,1000000,預售屋、或土地及建物分件登記案件；,RPRSMLOKQHGGFFK86DA,77.57,7.07,0.0,有,
三灣鄉,土地,灣銅段433地號,92.41,都市：其他:乙種工業區,,,1100823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1678166,18160,,0.0,0,政府機關標讓售；,RPVNMLPLQHGGFFK96DA,0.0,0.0,0.0,無,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街３０號七樓,22.28,都市：其他:住宅區,,,1091005,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,136.03,2,2,1,有,有,5280000,44125,坡道平面,37.9,950000,預售屋、或土地及建物分件登記案件；,RPWNMLQJRHGGFFK07DA,61.92,5.41,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市頭份里２２鄰武昌街３９號十樓,17.06,都市：其他:住宅區,,,1100827,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840104,117.36999999999999,3,2,2,有,有,4870000,41493,坡道機械,0.0,0,,RPWNMLSJRHGGFFK27DA,82.72,14.63,0.0,有,005
三灣鄉,土地,大河底段74地號,7031.0,,山坡地保育區,農牧用地,1100719,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3680000,523,,0.0,0,,RPRNMLTJRHGGFFK86DA,0.0,0.0,0.0,無,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市民權里１鄰中華路８８３之６號三樓,30.62,都市：其他:住宅區,,,1100816,土地2建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050707,177.55,3,2,2,有,有,7600000,42805,坡道平面,45.64,0,,RPUNMLTJRHGGFFK17DA,81.87,8.3,0.0,有,006
南庄鄉,土地,庄東段883地號,16.02,都市：其他:行政區,,,1100830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,314990,19662,,0.0,0,,RPPOMLTJRHGGFFK86EA,0.0,0.0,0.0,無,
頭份巿,土地,觀音段336地號,133.22,,山坡地保育區,丙種建築用地,1100819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,10509,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSLQHGGFFK76DA,0.0,0.0,0.0,無,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街５０號十二樓,24.31,都市：其他:住宅區,,,1091102,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,147.48000000000002,2,2,2,有,有,5900000,45172,坡道平面,37.9,950000,預售屋、或土地及建物分件登記案件；,RPOOMLLMQHGGFFK68DA,68.67,6.42,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街５８號十一樓,26.84,都市：其他:住宅區,,,1090810,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,159.31,3,2,2,有,有,6180000,42254,坡道平面,37.9,1050000,預售屋、或土地及建物分件登記案件；,RPWNMLMJRHGGFFK66DA,76.04,7.13,0.0,有,
頭份巿,房地(土地+建物),苗栗縣頭份市民權里７鄰東興路１６５巷２５號三樓,10.06,都市：其他:住宅區,,,1100815,土地2建物1車位0,三層,六層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1041221,40.93,1,1,1,有,有,2650000,64745,,0.0,0,,RPTNMLNJRHGGFFK09DA,22.7,0.0,0.0,有,
頭份巿,房地(土地+建物),苗栗縣頭份市民生里６鄰富貴街１４巷２９號三樓,29.36,都市：其他:住宅區,,,1100817,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820820,125.57,3,2,2,有,有,3530000,28112,,0.0,0,,RPVNMLQJRHGGFFK96DA,78.07,11.89,0.0,有,
頭份巿,房地(土地+建物),苗栗縣頭份市成功里１０鄰山下街１００號,163.27,都市：其他:道路用地,,,1100810,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0661206,178.1,3,2,2,有,無,10200000,57271,,0.0,0,,RPROMLQKQHGGFFK66DA,178.1,0.0,0.0,無,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街５０號八樓,24.31,都市：其他:住宅區,,,1091123,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,147.48000000000002,2,2,2,有,有,6350000,49279,坡道平面,37.9,950000,預售屋、或土地及建物分件登記案件；,RPPOMLTKQHGGFFK76DA,68.67,6.42,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街３８號十四樓,27.35,都市：其他:住宅區,,,1090817,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,161.4,3,2,2,有,有,6300000,42915,坡道平面,37.9,1000000,預售屋、或土地及建物分件登記案件；,RPTSMLOKQHGGFFK07DA,77.57,7.07,0.0,有,
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰富強三街３８號十五樓,27.35,都市：其他:住宅區,,,1091012,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100622,161.4,3,2,2,有,有,6500000,44534,坡道平面,37.9,1000000,預售屋、或土地及建物分件登記案件；,RPUSMLOKQHGGFFK17DA,77.57,7.07,0.0,有,
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉九湖村４鄰九湖３０之２號,238.56,,鄉村區,乙種建築用地,1100805,土地1建物1車位0,全,三層,透天厝,住宅樓梯間,ＲＣ造,1090910,240.77,5,2,5,有,無,12500000,51917,,0.0,0,,RPPNMLQKQHGGFEK88DA,231.96,8.81,0.0,無,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮崎頂里３鄰青草２７之２９號,88.86,,一般農業區,甲種建築用地,1100814,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040413,211.9,4,3,3,有,無,7300000,34450,,0.0,0,土地價款新台幣肆佰柒拾伍萬元正.建物價款新台幣貳佰伍拾伍萬元正.,RPOOMLKMQHGGFDK38DA,185.05,26.85,0.0,無,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮新南里２０鄰新南街２８號三樓,17.35,都市：其他:商業區,,,1100725,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1021015,125.71,3,2,2,有,有,5950000,47331,,0.0,0,,RPRNMLNJRHGGFDK68DA,82.09,12.46,0.0,有,
竹南鎮,土地,龍山段466地號,39.42,都市：其他:住宅區,,,1100825,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1120000,28412,,0.0,0,基於民族信仰賣給寺廟親友、員工、共有人或其他特殊關係間之交易；,RPWNMLSJRHGGFDK07DA,0.0,0.0,0.0,無,007
竹南鎮,土地,龍山段466地號,59.12,都市：其他:住宅區,,,1100825,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1680000,28417,,0.0,0,基於民族信仰賣給寺廟親友、員工、共有人或其他特殊關係間之交易；,RPXNMLSJRHGGFDK17DA,0.0,0.0,0.0,無,007
竹南鎮,土地,龍山段466地號,59.12,都市：其他:住宅區,,,1100825,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1680000,28417,,0.0,0,基於民族信仰賣給寺廟親友、員工、共有人或其他特殊關係間之交易；,RPOOMLSJRHGGFDK98DA,0.0,0.0,0.0,無,007
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里１３鄰仁愛路１１１０巷１９號,96.0,,特定農業區,甲種建築用地,1100901,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0691017,96.0,3,2,2,有,無,4000000,41667,,0.0,0,,RPUNMLSJRHGGFDK86DA,96.0,0.0,0.0,無,010
造橋鄉,土地,新潭內段125地號,44.56,,山坡地保育區,丙種建築用地,1100809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,89126,2000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLTJRHGGFDK17DA,0.0,0.0,0.0,無,
造橋鄉,土地,新潭內段364地號,193.45,,山坡地保育區,水利用地,1100809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,137351,710,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLTJRHGGFDK27DA,0.0,0.0,0.0,無,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮龍山里１７鄰龍好街３３巷８號,89.45,都市：其他:住宅區,,,1090611,土地2建物1車位0,全,四層,透天厝,住家用、停車空間,鋼筋混凝土造,1100621,207.47,4,2,5,有,無,11580000,55815,,0.0,0,,RPPNMLPLQHGGFDK78DA,202.16,5.31,0.0,無,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮龍山里１７鄰龍好街３３巷３號,86.85,都市：其他:住宅區,,,1090110,土地2建物1車位0,全,四層,透天厝,住家用、停車空間,鋼筋混凝土造,1100621,188.37,4,2,5,有,無,10580000,56166,,0.0,0,,RPRNMLPLQHGGFDK98DA,171.52,16.85,0.0,無,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里３鄰仁愛路６４５巷２弄８號,86.42,都市：其他:第一種住宅區,,,1100803,土地3建物1車位0,全,四層,透天厝,住家用、停車空間,鋼筋混凝土造,1040814,237.95,4,3,4,有,無,10000000,42026,,0.0,0,,RPTNMLQLQHGGFDK66DA,205.45,32.5,0.0,無,011
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里２鄰大埔五街２９６號,101.86,都市：其他:第一種住宅區,,,1100513,土地5建物1車位0,全,四層,透天厝,住商用、停車空間,鋼筋混凝土造,1100204,217.0,3,3,2,有,有,12900000,59447,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSNMLNJOHGGFDK48DA,187.5,29.3,0.0,無,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里２鄰大埔五街２６８巷２１號,83.04,都市：其他:第一種住宅區,,,1080518,土地5建物1車位0,全,四層,透天厝,住家用、停車空間,鋼筋混凝土造,1100204,217.0,3,3,2,有,有,9600000,44240,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQUMLQKMHGGFDK56DA,187.5,29.3,0.0,無,
後龍鎮,房地(土地+建物),苗栗縣後龍鎮東明里１鄰頂浮尾８０之１５號,126.0,,特定農業區,甲種建築用地,1100819,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061116,187.66,3,2,3,有,無,7000000,37302,,0.0,0,,RPPPMLKLQHGGFDK48DA,184.74,2.92,0.0,無,012
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮苑東里１８鄰青山巷３２號,106.68,,山坡地保育區,丙種建築用地,1100729,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,145.18,3,2,2,有,無,4100000,28241,,0.0,0,,RPPNMLLKRHGGFCK28DA,145.18,0.0,0.0,無,
苑裡鎮,土地,社柑段505地號,1035.63,,鄉村區,乙種建築用地,1100619,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14400000,13905,,0.0,0,,RPRNMLTLOHGGFCK09DA,0.0,0.0,0.0,無,
公館鄉,土地,福基段536-11地號,2795.33,,山坡地保育區,農牧用地,1100818,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6050000,2164,,0.0,0,未登記建物；,RPUNMLNJRHGGFBK78DA,0.0,0.0,0.0,無,013
獅潭鄉,土地,桂竹林段86-407地號,42220.0,,山坡地保育區,林業用地,1100805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9400000,223,,0.0,0,86-528地號買賣價金新台幣509萬元正56-407地號買賣價金新台幣431萬元正,RPPNMLKKRHGGFAK97DA,0.0,0.0,0.0,無,
大湖鄉,土地,大湖段1453地號,1790.0,,山坡地保育區,農牧用地,1100726,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,279,,0.0,0,,RPTNMLQLPHGGFAK88DA,0.0,0.0,0.0,無,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里２１鄰正發路２０８號,54.44,都市：其他:住宅區,,,1100703,土地1建物1車位3,一層，二層,十三層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1090811,307.86,0,0,2,有,有,23280000,95192,坡道平面,91.14,2650000,,RPQOMLTJRHGGFBK09DA,184.14,0.0,0.0,有,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里２１鄰自治路３９９號二樓之一,34.91,都市：其他:住宅區,,,1100425,土地1建物1車位2,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090811,198.1,3,2,2,有,有,9030000,52229,坡道平面,59.67,1800000,,RPROMLTJRHGGFBK56DA,88.45,10.62,0.0,有,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里２１鄰自治路３９９號三樓之五,35.31,都市：其他:住宅區,,,1100806,土地1建物1車位2,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090811,197.95999999999998,3,2,2,有,有,9230000,55770,坡道平面,62.94,1700000,,RPUOMLTJRHGGFBK86DA,88.45,8.43,0.0,有,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里２１鄰自治路３９９號七樓之五,29.19,都市：其他:住宅區,,,1100711,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090811,166.49,3,2,2,有,有,8500000,56658,坡道平面,31.47,850000,,RPVOMLTJRHGGFBK96DA,88.45,8.43,0.0,有,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里２１鄰正發路２２２號十二樓之七,27.66,都市：其他:住宅區,,,1100706,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090811,157.39,3,2,2,有,有,8380000,59006,坡道平面,31.47,950000,,RPWOMLTJRHGGFBK07DA,82.73,7.47,0.0,有,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里２１鄰正發路２２２號十二樓之一,27.76,都市：其他:住宅區,,,1100716,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090811,157.81,3,2,2,有,有,8180000,57227,坡道平面,31.47,950000,,RPXOMLTJRHGGFBK17DA,83.32,7.18,0.0,有,
大湖鄉,土地,百壽段489地號,4092.53,,山坡地保育區,農牧用地,1100717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5400000,1319,,0.0,0,,RPPNMLLKRHGGFAK08DA,0.0,0.0,0.0,無,
公館鄉,土地,尖山段9地號,31890.0,,山坡地保育區,農牧用地,1100210,土地14建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2076320,65,,0.0,0,,RPPNMLMKOHGGFBK97DA,0.0,0.0,0.0,無,
公館鄉,土地,尖山段999-4地號,2615.0,,特定農業區,甲種建築用地,1100210,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33223680,12705,,0.0,0,,RPQNMLMKOHGGFBK08DA,0.0,0.0,0.0,無,
苗栗市,土地,聯大段2261地號,1164.0,,山坡地保育區,農牧用地,1100711,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4900000,4210,,0.0,0,,RPSNMLQKQHGGFBK88DA,0.0,0.0,0.0,無,014
