編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLSJRHGGFCK98DA,,96.82,住家用,加強磚造,,二層,一層 二層 電梯樓梯間
RPUNMLSJRHGGFBK66DA,1,130.53,住家用,鋼筋混凝土造,109年3月16日,七層,三層 陽台
RPUNMLSJRHGGFBK66DA,1,7.98,本共有部分之項目有管委會使用空間、防空避難室及停車空間（室內３８輛）等３項。,鋼筋混凝土造,109年3月16日,七層,
RPUNMLSJRHGGFBK66DA,1,26.73,本共有部分之項目有管委會使用空間、防空避難室及停車空間（室內３８輛）等３項。,鋼筋混凝土造,109年3月16日,七層,
RPUNMLSJRHGGFBK66DA,1,15.23,本共有部分之項目有防空避難室及停車空間（室內３８輛）等２項。,鋼筋混凝土造,109年3月16日,七層,
RPUNMLSJRHGGFBK66DA,1,15.73,本共有部分之項目有樓梯間及機械室等２項。,鋼筋混凝土造,109年3月16日,七層,
RPVNMLSJRHGGFBK76DA,1,125.10,住家用,鋼筋混凝土造,109年3月16日,七層,二層 陽台
RPVNMLSJRHGGFBK76DA,1,7.62,本共有部分之項目有管委會使用空間、防空避難室及停車空間（室內３８輛）等３項。,鋼筋混凝土造,109年3月16日,七層,
RPVNMLSJRHGGFBK76DA,1,26.32,本共有部分之項目有管委會使用空間、防空避難室及停車空間（室內３８輛）等３項。,鋼筋混凝土造,109年3月16日,七層,
RPVNMLSJRHGGFBK76DA,1,15.23,本共有部分之項目有防空避難室及停車空間（室內３８輛）等２項。,鋼筋混凝土造,109年3月16日,七層,
RPVNMLSJRHGGFBK76DA,1,15.06,本共有部分之項目有樓梯間及機械室等２項。,鋼筋混凝土造,109年3月16日,七層,
RPROMLNLQHGGFDK88DA,1,97.17,集合住宅,鋼筋混凝土造,109年12月28日,十一層,八層 陽台 雨遮
RPROMLNLQHGGFDK88DA,1,74.45,共有部分,鋼筋混凝土造,109年12月28日,十一層,
RPQOMLMJOHGGFDK28DA,5,142.45,共有部分,鋼筋混凝土造,105年3月25日,十四層,
RPQOMLMJOHGGFDK28DA,5,160.21,集合住宅,鋼筋混凝土造,105年3月25日,十四層,三層 陽台
