編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLPLQHGGFAK78DA,新橫坑段,2932.95,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06150000
RPSOMLRJRHGGFBK09DA,義民段,236.39,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04040000
RPQNMLSJRHGGFCK98DA,內島段,99.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03710000
RPUNMLSJRHGGFBK66DA,新福麗段,.69,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,2646,持分移轉,08610000
RPUNMLSJRHGGFBK66DA,新福麗段,64.84,非都市： ; 非都市編定：,100000,2646,持分移轉,08620000
RPQNMLPJPHGGFCK48DA,田寮段,196.88,非都市：特定農業區 ; 非都市編定：農牧用地,16,15,持分移轉,06070004
RPVNMLSJRHGGFBK76DA,新福麗段,.66,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,2553,持分移轉,08610000
RPVNMLSJRHGGFBK76DA,新福麗段,62.56,非都市： ; 非都市編定：,100000,2553,持分移轉,08620000
RPTNMLTKQHGGFCK76DA,田心段,1690.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05990000
RPROMLNLQHGGFDK88DA,龍椅段,34.03,都市：其他:第二種住宅區,100000,1830,持分移轉,06290000
RPQOMLMJOHGGFDK28DA,立達段,51.09,都市：其他:住宅區,200000,3766,持分移轉,00100025
RPVNMLTLPHGGFDK07DA,公義段,13.77,都市：其他:住宅區,100000,397,持分移轉,02590000
RPSOMLTJRHGGFDK86DA,砂崙湖段,998.37,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01280000
RPSOMLTJRHGGFDK86DA,砂崙湖段,164.96,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01290000
