鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南投市,房地(土地+建物),南投縣南投市彰南路三段１３６０號,119.6,都市：其他:農業區,,,1100720,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0690828,120.57,3,2,2,有,無,4750000,39396,,0.0,0,,RPPNMLRLPHGGFAM78DA,120.57,0.0,0.0,無,001
南投市,土地,成功段1391地號,83.36,都市：其他:住宅區,,,1100813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2480000,29750,,0.0,0,,RPTNMLQKQHGGFAM09DA,0.0,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市復興路４８０巷５５號,70.0,都市：其他:住宅區,,,1100814,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680529,86.24,3,2,2,有,無,5300000,61456,,0.0,0,,RPSNMLOLQHGGFAM88DA,86.24,0.0,0.0,無,
中寮鄉,土地,龍眼林段886-29地號,2383.0,,山坡地保育區,農牧用地,1100827,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,720857,302,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKMQHGGFAM38DA,0.0,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市八卦路３４０巷８弄８號,365.3,都市：其他:住宅區,,,1100703,土地2建物1車位0,全,三層,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1081002,378.18,5,3,6,有,無,28800000,76154,,0.0,0,,RPSNMLLJRHGGFAM48DA,360.08,18.1,0.0,無,
南投市,房地(土地+建物),南投縣南投市信義街５巷５８號,77.0,都市：其他:住宅區,,,1100803,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0780829,141.81,4,2,3,有,無,7500000,52888,,0.0,0,,RPWNMLSJRHGGFAM96DA,141.81,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市興和巷２３號,63.0,都市：其他:住宅區,,,1100802,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680802,75.86,3,2,2,有,無,3300000,43501,,0.0,0,,RPVNMLRJRHGGFAM76DA,75.86,0.0,0.0,無,
名間鄉,建物,南投縣名間鄉客庄巷５之３號,0.0,,,,1100618,土地0建物1車位0,全,二層,透天厝,店住宅、住宅,鋼筋混凝土加強磚造,0730309,149.76,2,1,2,有,無,3000000,20032,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLRJRHGGFAM86DA,149.76,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市中興路４６６巷１２號十三樓,12.28,都市：其他:住宅區,,,1100827,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831109,108.72,3,2,2,有,無,2750000,25294,,0.0,0,,RPQNMLSJRHGGFAM98DA,82.67,11.94,0.0,有,
草屯鎮,土地,草屯段184-3地號,816.0,都市：其他:綠地用地,,,1100806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20981400,25713,,0.0,0,,RPPNMLNLQHGGFBM58DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮民生二街４３號三樓之２,19.87,都市：其他:住宅區,,,1100819,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830411,139.51999999999998,3,2,2,有,有,5080000,36411,坡道平面,0.0,0,陽台外推；,RPWNMLLMQHGGFBM56DA,89.55,11.75,0.0,有,
草屯鎮,土地,草屯段184-6地號,214.0,都市：其他:住宅區,,,1100806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15858850,74107,,0.0,0,,RPQNMLTJRHGGFBM56DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮隆生路１１１巷９７號,673.81,,特定農業區,農牧用地,1100628,土地1建物1車位0,全,一層,透天厝,農舍,鋼鐵造有牆,1010929,12.0,0,0,0,無,無,5380000,448333,,0.0,0,,RPQNMLKKRHGGFCM48DA,12.0,0.0,0.0,無,
鹿谷鄉,土地,廣興段398地號,1.07,都市：其他:兒童遊戲場用地,,,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27242,25460,,0.0,0,協議價購；,RPUNMLSKQHGGFDM07DA,0.0,0.0,0.0,無,002
鹿谷鄉,土地,廣興段398地號,2.15,都市：其他:兒童遊戲場用地,,,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,54483,25341,,0.0,0,協議價購；,RPVNMLSKQHGGFDM17DA,0.0,0.0,0.0,無,002
竹山鎮,土地,桂林段91-2地號,3579.26,都市：其他:學校用地,,,1100628,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34646720,9680,,0.0,0,,RPQNMLSJRHGGFDM66DA,0.0,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市永興路一街２８之１５號,88.6,都市：其他:農業區,,,1100809,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690304,80.56,4,2,2,有,無,2200000,27309,,0.0,0,,RPRNMLSJRHGGFAM56EA,80.56,0.0,0.0,無,
中寮鄉,土地,福山段548地號,510.0,,山坡地保育區,農牧用地,1100826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,63000,124,,0.0,0,,RPWNMLSJRHGGFAM07EA,0.0,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市中興路４６６巷１７號四樓,13.47,都市：其他:住宅區,,,1100802,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831109,118.53999999999999,3,2,2,有,有,3200000,26995,,0.0,0,,RPXNMLSJRHGGFAM17EA,91.76,11.09,0.0,有,004
南投市,土地,三塊厝段1-894地號,90.0,都市：其他:第一種商業區,,,1100713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,83333,,0.0,0,,RPPNMLTJRHGGFAM09EA,0.0,0.0,0.0,無,
竹山鎮,土地,大坑段頂林小段35-5地號,693.5,,山坡地保育區,農牧用地,1100729,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,210000,303,,0.0,0,,RPQNMLKKRHGGFDM68EA,0.0,0.0,0.0,無,
國姓鄉,土地,廣源段1031地號,220.0,,山坡地保育區,丙種建築用地,1100824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,512600,2330,,0.0,0,政府機關標讓售；,RPTNMLKKRHGGFCM88EA,0.0,0.0,0.0,無,
南投市,房地(土地+建物)+車位,南投縣南投市中興路４６６巷１７號九樓,13.47,都市：其他:住宅區,,,1100817,土地1建物1車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831109,125.47999999999999,3,2,2,有,有,3000000,23908,坡道機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKRHGGFAM38EA,91.76,11.09,0.0,有,
鹿谷鄉,土地,新內湖段151地號,821.65,,一般農業區,農牧用地,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2540000,3091,,0.0,0,本出賣土地內419.9平方公尺，每坪2萬元承買401.75平方公尺為道路使用未出售不計價，一併過戶買方，將來該道路政府徵收發放補償金時，該補償金由賣方所有.,RPQNMLTJRHGGFDM76DA,0.0,0.0,0.0,無,
國姓鄉,土地,北港溪段21-20地號,4481.0,,山坡地保育區,農牧用地,1100816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7400000,1651,,0.0,0,,RPQNMLTJRHGGFCM66DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮建國三巷５號,89.0,都市：其他:住宅區,,,1100901,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0681208,102.15,4,2,3,有,無,7450000,72932,,0.0,0,頂樓加蓋；未登記建物；,RPPNMLKKRHGGFCM38DA,102.15,0.0,0.0,無,
竹山鎮,土地,大鞍段372-1地號,1580.0,,山坡地保育區,農牧用地,1100812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,1139,,0.0,0,,RPRNMLMKQHGGFDM78DA,0.0,0.0,0.0,無,
鹿谷鄉,土地,廣興段399地號,113.52,都市：其他:兒童遊戲場用地,,,1100818,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2883408,25400,,0.0,0,協議價購；,RPSNMLSKQHGGFDM86DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮忠孝路３０１號十三樓之１、十五樓之１,9.82,都市：其他:住宅區,,,1100820,土地1建物2車位0,十三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0850209,86.11999999999999,1,1,1,有,有,3300000,38319,,0.0,0,,RPRNMLKKRHGGFCM58DA,53.98,16.54,0.0,有,
埔里鎮,土地,水尾段926地號,6110.0,,山坡地保育區,林業用地,1100731,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3400000,556,,0.0,0,農作物；,RPVNMLNJRHGGFCM56DA,0.0,0.0,0.0,無,005
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮中山路三段５６３之３號二樓,22.28,,特定農業區,甲種建築用地,1100724,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造,1100608,115.12,2,2,2,有,有,6880000,59764,坡道平面,21.12,0,,RPVNMLSJRHGGFCM07DA,57.9,4.61,0.0,有,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮中山路三段５６３之１號九樓,29.07,,特定農業區,甲種建築用地,1100722,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造,1100608,142.78,3,2,2,有,有,8800000,61633,坡道平面,21.12,0,,RPWNMLSJRHGGFCM17DA,73.28,7.74,0.0,有,
魚池鄉,土地,加道坑段65-2地號,1966.0,,特定農業區,農牧用地,1100822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5100000,2594,,0.0,0,,RPPOMLSJRHGGFCM56DA,0.0,0.0,0.0,無,
草屯鎮,土地,新富寮段463地號,166.06,都市：其他:住宅區,,,1100807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8600000,51789,,0.0,0,,RPQNMLSKQHGGFBM09DA,0.0,0.0,0.0,無,
草屯鎮,土地,新光段1915地號,1461.0,,特定農業區,水利用地,1100826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,2396,,0.0,0,,RPPNMLOJRHGGFBM58DA,0.0,0.0,0.0,無,006
草屯鎮,土地,草屯段731-61地號,480.98,都市：其他:道路用地,,,1100802,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18657425,38790,,0.0,0,,RPSNMLTJRHGGFBM76DA,0.0,0.0,0.0,無,007
南投市,房地(土地+建物),南投縣南投市復興路７１１巷１弄１９號,137.82,都市：其他:住宅區,,,1100630,土地2建物1車位0,全,五層,透天厝,集合住宅﹝附屬停車空間﹞、梯間、機械室、水箱,鋼筋混凝土造,1060125,556.72,5,3,6,有,有,25500000,45804,,0.0,0,,RPVNMLSJRHGGFAM86DA,438.41,40.86,0.0,有,
名間鄉,房地(土地+建物),南投縣名間鄉內寮巷９之１８號,149.4,,鄉村區,乙種建築用地,1100729,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0900910,142.84,4,2,3,有,無,4250000,29754,,0.0,0,土地款:2592500建物款1657500頂樓加蓋；其他增建；,RPVNMLMJRHGGFAM88DA,142.84,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市吉利路３２８號,140.25,,山坡地保育區,丙種建築用地,1100729,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830812,138.8,4,3,5,有,無,6800000,48991,,0.0,0,,RPTNMLNJRHGGFAM78DA,138.8,0.0,0.0,無,
南投市,土地,新生段1591-63地號,18.0,都市：其他:道路用地,,,1100721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,623250,34625,,0.0,0,,RPRNMLQJRHGGFAM88DA,0.0,0.0,0.0,無,
南投市,土地,新生段1591-64地號,20.0,都市：其他:道路用地,,,1100721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,692500,34625,,0.0,0,,RPSNMLQJRHGGFAM98DA,0.0,0.0,0.0,無,
南投市,土地,光復段562地號,1232.0,,特定農業區,農牧用地,1100808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,8929,,0.0,0,,RPTNMLMJRHGGFAM68DA,0.0,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市文化南路１０４巷２弄１９號,97.38,都市：其他:住宅區,,,1100819,土地9建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840726,186.1,4,2,3,有,無,7500000,40301,,0.0,0,,RPUNMLLMQHGGFAM88DA,169.97,16.13,0.0,無,008
名間鄉,土地,小崎段445地號,70.82,都市：其他:住宅區,,,1100809,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,14120,,0.0,0,土地增值稅、契稅等過戶費用，全部由買方負擔。親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPTNMLQLQHGGFAM56DA,0.0,0.0,0.0,無,009
南投市,房地(土地+建物),南投縣南投市祖祠路１０６巷３號,120.88,都市：其他:住宅區,,,1100806,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701025,75.06,2,2,2,有,無,4170000,55556,,0.0,0,,RPPOMLSJRHGGFAM98DA,75.06,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市自立一路１巷３弄１１號,110.54,都市：其他:住宅區,,,1100723,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100118,215.01,4,3,5,有,無,13600000,63253,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKRHGGFAM28DA,193.16,21.85,0.0,無,
草屯鎮,土地,保安段488地號,128.43,,一般農業區,農牧用地,1100901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,870000,6774,,0.0,0,,RPPNMLKKRHGGFBM28DA,0.0,0.0,0.0,無,010
草屯鎮,房地(土地+建物),南投縣草屯鎮碧山路１１８５號,69.97,,鄉村區,乙種建築用地,1100830,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0661015,112.38,3,2,2,有,無,4100000,36483,,0.0,0,頂樓加蓋；,RPQNMLKKRHGGFBM38DA,112.38,0.0,0.0,無,
草屯鎮,房地(土地+建物),南投縣草屯鎮太平路二段１０６巷２弄３５號,168.42,都市：其他:住宅區,,,1100716,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0630129,95.16,3,2,1,有,無,10500000,110340,,0.0,0,其他增建；,RPQNMLTKQHGGFBM56DA,95.16,0.0,0.0,無,
草屯鎮,土地,炎峰段1022地號,5.63,都市：其他:住宅區,,,1100824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,249747,44360,,0.0,0,政府機關標讓售；,RPRNMLNKRHGGFBM78DA,0.0,0.0,0.0,無,
埔里鎮,土地,溪南段685地號,6599.51,,山坡地保育區,農牧用地,1100730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,1591,,0.0,0,,RPPOMLQJRHGGFCM98DA,0.0,0.0,0.0,無,
埔里鎮,土地,麒麟段641地號,2534.09,,特定農業區,農牧用地,1100731,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5700000,2249,,0.0,0,農作物；,RPQNMLLKRHGGFCM58DA,0.0,0.0,0.0,無,
埔里鎮,土地,三條崙段775地號,776.01,,山坡地保育區,農牧用地,1100824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2017626,2600,,0.0,0,政府機關標讓售；,RPRNMLLKRHGGFCM68DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮珠生路６７之６號,153.74,,鄉村區,乙種建築用地,1100827,土地1建物1車位0,全,三層,透天厝,住宅、樓梯間,ＲＣ造,1091123,190.78,3,2,3,有,無,11300000,59231,,0.0,0,,RPSNMLLKRHGGFCM78DA,190.78,0.0,0.0,無,
鹿谷鄉,土地,清秀段1042地號,1188.88,,一般農業區,農牧用地,1100827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6100000,5131,,0.0,0,,RPRNMLKKRHGGFDM68DA,0.0,0.0,0.0,無,
竹山鎮,土地,大鞍段372地號,2190.0,,山坡地保育區,農牧用地,1100814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2190000,1000,,0.0,0,,RPPNMLTJRHGGFDM66DA,0.0,0.0,0.0,無,
竹山鎮,房地(土地+建物),南投縣竹山鎮大義街１１７號,152.22,都市：其他:住宅區,,,1100828,土地2建物1車位0,全,三層,透天厝,住宅、樓梯間,鋼筋混凝土造,1041225,239.64,4,2,5,有,無,12860000,53664,,0.0,0,,RPQNMLNKRHGGFDM88DA,227.54,12.1,0.0,無,
仁愛鄉,土地,清流段1184地號,6290.0,,森林區,農牧用地,1100821,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,95,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJRHGGFCM09DA,0.0,0.0,0.0,無,011
水里鄉,土地,南光段490地號,126.0,都市：其他:住宅區,,,1100820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3125430,24805,,0.0,0,,RPQNMLNJRHGGFEM88DA,0.0,0.0,0.0,無,
