編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLSJRHGGFAM98DA,27,94.61,住家用,鋼筋混凝土造,83年11月9日,十六層,十三層 陽台
RPQNMLSJRHGGFAM98DA,27,14.11,騎樓、人行道、梯間、避難室、機械室,鋼筋混凝土造,83年11月9日,十六層,
RPSNMLOLQHGGFAM88DA,42,86.24,住家用,鋼筋混凝土加強磚造,68年5月29日,二層,一層 二層
RPVNMLRJRHGGFAM76DA,42,75.86,住家用,鋼筋混凝土加強磚造,68年8月2日,二層,一層 二層
RPWNMLRJRHGGFAM86DA,37,149.76,店住宅、住宅,鋼筋混凝土加強磚造,73年3月9日,二層,一層 二層
RPSNMLLJRHGGFAM48DA,2,378.18,住宅、停車空間、樓梯間,鋼筋混凝土造,108年10月2日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLRLPHGGFAM78DA,41,120.57,住商用,鋼筋混凝土加強磚造,69年8月28日,二層,一層 二層 騎樓
RPWNMLSJRHGGFAM96DA,32,141.81,住商用,鋼筋混凝土造,78年8月29日,三層,一層 二層 三層 騎樓
RPRNMLSJRHGGFAM56EA,41,80.56,住家用,鋼筋混凝土加強磚造,69年3月4日,二層,一層 二層
RPXNMLSJRHGGFAM17EA,27,102.85,住家用,鋼筋混凝土造,83年11月9日,十六層,四層 陽台
RPXNMLSJRHGGFAM17EA,27,15.69,騎樓、人行道、梯間、避難室、機械室,鋼筋混凝土造,83年11月9日,十六層,
RPWNMLLMQHGGFBM56DA,27,101.30,住家用,鋼筋混凝土造,83年4月11日,八層,三層 陽台 花台
RPWNMLLMQHGGFBM56DA,27,38.22,防空避難室、停車場、機械室、門廳、車道、梯間,鋼筋混凝土造,83年4月11日,八層,
RPQNMLKKRHGGFCM48DA,9,12.00,農舍,鋼鐵造有牆,101年9月29日,一層,一層
