編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLSJRHGGFAM98DA,包尾段,12.28,都市：其他:住宅區,10000,31,持分移轉,07350054
RPSNMLOLQHGGFAM88DA,牛運堀段,70.00,都市：其他:住宅區,1,1,全筆移轉,01330024
RPVNMLRJRHGGFAM76DA,牛運堀段,63.00,都市：其他:住宅區,1,1,全筆移轉,00610003
RPSNMLLJRHGGFAM48DA,東施厝坪段,35.30,都市：其他:住宅區,21600,786,持分移轉,01610025
RPSNMLLJRHGGFAM48DA,東施厝坪段,330.00,都市：其他:住宅區,1,1,全筆移轉,01610068
RPTNMLQKQHGGFAM09DA,成功段,83.36,都市：其他:住宅區,1,1,全筆移轉,13910000
RPPNMLRLPHGGFAM78DA,福興段,27.90,都市：其他:道路用地,1,1,全筆移轉,01000000
RPPNMLRLPHGGFAM78DA,福興段,91.70,都市：其他:農業區,1,1,全筆移轉,01010000
RPQNMLKMQHGGFAM38DA,龍眼林段,439.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,08550001
RPQNMLKMQHGGFAM38DA,龍眼林段,1944.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,08860029
RPPNMLNLQHGGFBM58DA,草屯段,816.00,都市：其他:綠地用地,1,1,全筆移轉,01840003
RPWNMLSJRHGGFAM96DA,包尾段,77.00,都市：其他:住宅區,1,1,全筆移轉,07400043
RPUNMLSKQHGGFDM07DA,廣興段,1.07,都市：其他:兒童遊戲場用地,8,1,持分移轉,03980000
RPQNMLTJRHGGFBM56DA,草屯段,214.00,都市：其他:住宅區,1,1,全筆移轉,01840006
RPWNMLSJRHGGFAM07EA,福山段,510.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05480000
RPVNMLSKQHGGFDM17DA,廣興段,2.15,都市：其他:兒童遊戲場用地,8,2,持分移轉,03980000
RPQNMLSJRHGGFDM66DA,桂林段,532.00,都市：其他:學校用地,4,2,持分移轉,00750003
RPQNMLSJRHGGFDM66DA,桂林段,248.93,都市：其他:學校用地,4,2,持分移轉,00750005
RPQNMLSJRHGGFDM66DA,桂林段,686.52,都市：其他:學校用地,1,1,全筆移轉,00750008
RPQNMLSJRHGGFDM66DA,桂林段,2111.80,都市：其他:學校用地,100000,69684,持分移轉,00910002
RPRNMLSJRHGGFAM56EA,永興段,88.60,都市：其他:農業區,1,1,全筆移轉,08120000
RPXNMLSJRHGGFAM17EA,包尾段,13.47,都市：其他:住宅區,10000,34,持分移轉,07350054
RPWNMLLMQHGGFBM56DA,中興段,19.87,都市：其他:住宅區,10000,104,持分移轉,17410000
RPQNMLTJRHGGFDM76DA,新內湖段,821.65,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01510000
RPPNMLTJRHGGFAM09EA,三塊厝段,90.00,都市：其他:第一種商業區,1,1,全筆移轉,00010894
RPQNMLTJRHGGFCM66DA,北港溪段,4481.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00210020
RPQNMLKKRHGGFCM48DA,水源段,673.81,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13080001
RPTNMLKKRHGGFCM88EA,廣源段,220.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,10310000
RPRNMLMKQHGGFDM78DA,大鞍段,1580.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03720001
RPPNMLKKRHGGFCM38DA,埔里段北門小段,89.00,都市：其他:住宅區,1,1,全筆移轉,01500003
RPPNMLLKRHGGFAM38EA,包尾段,13.47,都市：其他:住宅區,10000,34,持分移轉,07350054
RPQNMLKKRHGGFDM68EA,大坑段頂林小段,693.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,00350005
RPSNMLSKQHGGFDM86DA,廣興段,4.29,都市：其他:兒童遊戲場用地,2,1,持分移轉,03980000
RPSNMLSKQHGGFDM86DA,廣興段,109.23,都市：其他:兒童遊戲場用地,1,1,全筆移轉,03990000
RPVNMLNJRHGGFCM56DA,水尾段,3599.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,09260000
RPVNMLNJRHGGFCM56DA,水尾段,2511.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,09260001
RPVNMLSJRHGGFCM07DA,忠實段,22.28,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,105,持分移轉,01050000
RPWNMLSJRHGGFCM17DA,忠實段,29.07,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,137,持分移轉,01050000
RPRNMLKKRHGGFCM58DA,埔里段梅子腳小段,9.82,都市：其他:住宅區,100000,160,持分移轉,00890010
RPQNMLSKQHGGFBM09DA,新富寮段,166.06,都市：其他:住宅區,1,1,全筆移轉,04630000
RPPNMLOJRHGGFBM58DA,新光段,1461.00,非都市：特定農業區 ; 非都市編定：水利用地,2,1,持分移轉,19150000
RPPOMLSJRHGGFCM56DA,加道坑段,1966.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00650002
RPSNMLTJRHGGFBM76DA,草屯段,97.02,都市：其他:道路用地,128,14,持分移轉,07310005
RPSNMLTJRHGGFBM76DA,草屯段,35.50,都市：其他:道路用地,4,1,持分移轉,07310006
RPSNMLTJRHGGFBM76DA,草屯段,243.00,都市：其他:道路用地,1,1,全筆移轉,07310061
RPSNMLTJRHGGFBM76DA,明賢段,105.46,都市：其他:道路用地,1,1,全筆移轉,10160000
RPVNMLSJRHGGFAM86DA,牛運堀段,48.82,都市：其他:住宅區,100000,2608,持分移轉,02450006
RPVNMLSJRHGGFAM86DA,牛運堀段,89.00,都市：其他:住宅區,1,1,全筆移轉,02450280
RPSNMLQJRHGGFAM98DA,新生段,20.00,都市：其他:道路用地,1,1,全筆移轉,15910064
