鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
芬園鄉,土地,新縣庄段601地號,168.16,,特定農業區,水利用地,1100831,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,756726,4500,,0.0,0,協議價購；,RPXNMLOLQHGGFAN86DA,0.0,0.0,0.0,無,001
芬園鄉,土地,新縣庄段920地號,335.79,,特定農業區,水利用地,1100831,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1678971,5000,,0.0,0,協議價購；,SPXNMLOLQHGGFAN96DA,0.0,0.0,0.0,無,002
芬園鄉,土地,新縣庄段751地號,90.54,,特定農業區,交通用地,1100831,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,488916,5400,,0.0,0,協議價購；,RPOOMLOLQHGGFAN68DA,0.0,0.0,0.0,無,
彰化市,房地(土地+建物),彰化縣彰化市南郭路一段２２０巷１之１２號五樓,9.84,都市：其他:住宅區,,,1100826,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710709,43.58,1,0,1,有,無,2600000,59660,,0.0,0,,RPTOMLQLQHGGFAN76DA,36.94,0.0,0.0,有,003
彰化市,土地,延平段1148-97地號,83.4,,鄉村區,乙種建築用地,1100830,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1046585,12549,,0.0,0,延平段 1148-2地號增值稅44717元由買方負擔,RPWNMLSJRHGGFAN07DA,0.0,0.0,0.0,無,
線西鄉,房地(土地+建物),彰化縣線西鄉頂庄路１８０號,112.54,都市：其他:道路用地,,,1100821,土地4建物1車位0,全,三層,透天厝,騎樓、住宅、樓梯間,鋼筋混凝土造,1100112,175.54,4,3,3,有,無,8000000,45574,,0.0,0,,RPTQMLRJRHGGFBN07DA,175.54,0.0,0.0,無,
和美鎮,房地(土地+建物),彰化縣和美鎮柑竹路８０巷１０７號,107.74,,鄉村區,乙種建築用地,1100802,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0990831,178.72,5,3,3,有,有,12100000,67704,,0.0,0,,RPUQMLRJRHGGFBN17DA,155.65,23.07,0.0,無,004
鹿港鎮,土地,東昇段2019-2地號,1054.0,,特定農業區,農牧用地,1100727,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3794400,3600,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJRHGGFCN56DA,0.0,0.0,0.0,無,
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮溝墘巷３６之１３號,86.5,,鄉村區,乙種建築用地,1100802,土地2建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土造,1091201,140.8,4,2,5,有,無,9160000,65057,,0.0,0,,RPSNMLSJRHGGFCN86DA,140.8,0.0,0.0,無,
