編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUQMLRJRHGGFBN17DA,12,.21,機房,鋼筋混凝土造,99年1月28日,一層,一層 陽台
RPUQMLRJRHGGFBN17DA,11,178.51,住商用,鋼筋混凝土造,99年8月31日,三層,一層 二層 三層 陽台 屋頂突出物
RPTQMLRJRHGGFBN07DA,1,175.54,騎樓、住宅、樓梯間,鋼筋混凝土造,110年1月12日,三層,一層 二層 三層 騎樓 見其他登記事項
RPTNMLRKQHGGFCN86DA,14,155.78,住宅、梯間,鋼筋混凝土造,96年7月10日,三層,一層 二層 三層 陽台 屋頂突出物
RPTOMLQLQHGGFAN76DA,39,6.64,走道、樓梯間、電氣室,鋼筋混凝土造,71年7月9日,七層,
RPTOMLQLQHGGFAN76DA,39,36.94,住家用,鋼筋混凝土造,71年7月9日,七層,五層
RPQOMLPLQHGGFCN56DA,,173.45,住宅、樓梯間,鋼筋混凝土造,110年4月22日,三層,一層 二層 三層 陽台 見其他登記事項
RPSNMLSJRHGGFCN86DA,1,140.80,住宅,鋼筋混凝土造,109年12月1日,三層,一層 二層 三層 見其他登記事項
RPRNMLQJRHGGFCN56DA,26,89.71,住家用,鋼筋混凝土造,84年10月26日,九層,五層 陽台
RPRNMLQJRHGGFCN56DA,26,25.28,停車場兼防空避難室、走道、梯間、水塔、機械室,鋼筋混凝土造,84年10月26日,九層,
RPRNMLQJRHGGFCN56DA,26,11.75,停車場兼防空避難室,鋼筋混凝土造,84年10月26日,九層,
RPPOMLPLQHGGFCN09DA,,173.45,住宅、樓梯間,鋼筋混凝土造,110年4月22日,三層,一層 二層 三層 陽台 見其他登記事項
RPVNMLNJQHGGFDN66DA,26,35.69,住家用,鋼筋混凝土造,84年11月3日,十一層,七層
RPVNMLNJQHGGFDN66DA,26,18.86,避難室、停車場、走道、梯間等,鋼筋混凝土造,84年11月3日,十一層,
RPXNMLLJRHGGFDN76DA,1,150.49,住宅,鋼筋混凝土造,109年12月9日,三層,一層 二層 三層 陽台 屋頂突出物
RPPNMLSJRHGGFDN66DA,14,145.71,住家用,鋼筋混凝土造,96年7月25日,三層,一層 二層 三層 陽台 屋頂突出物
RPSNMLTJRHGGFDN07DA,14,145.71,住宅、停車空間,鋼筋混凝土造,96年7月25日,三層,一層 二層 三層 陽台 屋頂突出物
RPWNMLRJRHGGFDN27DA,26,126.75,住家用,鋼筋混凝土造,84年8月21日,十六層,六層 陽台 花台
RPWNMLRJRHGGFDN27DA,26,10.82,走廊、配電室、電梯間、樓梯間、警衛室、上車道、受電室、消防泵浦,鋼筋混凝土造,84年8月21日,十六層,
RPWNMLRJRHGGFDN27DA,26,21.21,電梯間、走廊、電梯間,鋼筋混凝土造,84年8月21日,十六層,
RPWNMLRJRHGGFDN27DA,26,16.75,防空避難室兼停車場,鋼筋混凝土造,84年8月21日,十五層,
RPWOMLNJRHGGFDN96DA,1,273.06,店舖、住宅、停車空間、機電設備空間、樓梯間,鋼筋混凝土造,109年3月19日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPRNMLRJRHGGFEN86DA,,170.11,店舖、住宅.停車空間,鋼筋混凝土造,110年5月26日,三層,一層 二層 三層 陽台 見其他登記事項
RPTNMLSJRHGGFDN07DA,26,17.42,住家用,鋼筋混凝土造,85年2月12日,十三層,四層 陽台
RPTNMLSJRHGGFDN07DA,26,9.08,陽台、水塔、車道、機械室、梯間、機房、電梯、樓梯、受電室,鋼筋混凝土造,85年2月12日,十三層,
RPQNMLPLQHGGFFN76DA,27,273.80,住商用,鋼筋混凝土造,83年11月17日,四層,一層 二層 三層 四層 陽台 平台 騎樓
RPQNMLLMQHGGFFN09DA,2,260.47,店舖、住宅,鋼筋混凝土造,108年10月17日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPQNMLRJRHGGFDN66DA,1,231.36,停車空間、店舖、樓梯間、住宅,鋼筋混凝土造,109年9月3日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPRNMLPJRHGGFFN76DA,25,181.96,住家用,鋼筋混凝土造,86年2月1日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPQNMLLJRHGGFHN09DA,,160.01,住宅、樓梯間,鋼筋混凝土造,110年2月1日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLRJRHGGFFN96EA,41,120.54,住家用,加強磚造,69年5月22日,二層,一層 二層
RPRNMLRJRHGGFFN07EA,41,119.54,住家用,加強磚造,69年5月22日,二層,一層 二層
RPTOMLRJRHGGFFN27DA,1,163.97,住宅,鋼筋混凝土造,109年7月10日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLKKRHGGFFN88DA,27,148.54,住家用,鋼筋混凝土造,83年3月30日,三層,一層 二層 三層
RPVOMLRJRHGGFFN47DA,17,246.35,住家用,鋼筋混凝土造,93年10月8日,四層,一層 二層 三層 四層 陽台
RPWOMLRJRHGGFFN57DA,24,158.30,住家用,鋼筋混凝土造,86年12月29日,三層,一層 二層 三層
RPTNMLPJQHGGFFN86DA,,147.03,住宅,鋼筋混凝土造,110年3月16日,三層,一層 二層 三層
RPRNMLRLQHGGFFN07DA,40,123.27,住商用,加強磚造,70年7月1日,二層,一層 二層 騎樓
RPRNMLRLQHGGFFN07DA,40,119.12,住商用,加強磚造,70年7月1日,二層,一層 二層 騎樓
RPRNMLRLQHGGFFN07DA,40,119.10,住家用,加強磚造,70年8月1日,二層,一層 二層 騎樓
RPSOMLNLQHGGFEN76DA,9,991.78,工業用,鋼骨造,101年3月6日,一層,一層
RPOOMLTJRHGGFDN76DA,15,154.80,住家用,鋼筋混凝土造,95年2月17日,三層,一層 二層 三層 陽台 電梯樓梯間
RPTNMLSJRHGGFFN27DA,1,163.13,住宅,鋼筋混凝土造,109年3月20日,三層,一層 二層 三層 陽台 見其他登記事項
RPSNMLKMQHGGFDN98DA,30,26.15,住家用,鋼筋混凝土造,80年11月16日,九層,四層 陽台
RPSNMLKMQHGGFDN98DA,30,7.92,共有部份,鋼筋混凝土造,80年11月16日,九層,
RPSNMLKMQHGGFDN98DA,30,9.59,共有部份,鋼筋混凝土造,80年11月16日,九層,
RPRNMLRKQHGGFCN66DA,5,374.15,農舍,鋼骨造,105年6月6日,二層,一層 二層
RPOOMLSJRHGGFCN56DA,,244.65,住宅,鋼筋混凝土造,110年4月13日,三層,一層 二層 三層 陽台
RPXNMLSJRHGGFCN37DA,,231.95,住宅,鋼筋混凝土造,110年4月13日,三層,一層 二層 三層 陽台
RPWNMLTJRHGGFAN17DA,15,409.02,住宅、停車空間,鋼筋混凝土造,95年10月5日,五層,一層 二層 三層 四層 五層 陽台
RPQNMLSJRHGGFBN56DA,2,159.44,住宅、門廊、梯間,鋼筋混凝土造,108年12月23日,三層,一層 二層 三層 陽台 見其他登記事項
RPXNMLTJRHGGFAN27DA,43,82.40,住家用,鋼筋混凝土加強磚造,67年7月19日,二層,一層 二層
RPTNMLKKRHGGFAN68DA,46,129.60,住商用,鋼筋混凝土造,64年12月31日,三層,一層 二層 三層 騎樓
RPTNMLMJRHGGFAN78DA,25,20.18,住家用,鋼筋混凝土造,85年3月21日,十三層,八層 陽台
