編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
SPXNMLOLQHGGFAN96DA,新縣庄段,190.56,非都市：特定農業區 ; 非都市編定：水利用地,7,1,持分移轉,09200000
SPXNMLOLQHGGFAN96DA,新縣庄段,53.98,非都市：特定農業區 ; 非都市編定：水利用地,7,1,持分移轉,09690000
SPXNMLOLQHGGFAN96DA,新縣庄段,84.20,非都市：特定農業區 ; 非都市編定：水利用地,7,1,持分移轉,09700000
SPXNMLOLQHGGFAN96DA,新縣庄段,7.05,非都市：特定農業區 ; 非都市編定：水利用地,7,1,持分移轉,09710000
RPUQMLRJRHGGFBN17DA,和群段,22.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,868,持分移轉,11140000
RPUQMLRJRHGGFBN17DA,和群段,84.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11140105
RPTQMLRJRHGGFBN07DA,頂庄段,73.82,都市：其他:住宅區,1,1,全筆移轉,00860012
RPTQMLRJRHGGFBN07DA,頂庄段,26.28,都市：其他:住宅區,1,1,全筆移轉,00860013
RPTQMLRJRHGGFBN07DA,頂庄段,1.04,都市：其他:道路用地,6,1,持分移轉,00880000
RPTQMLRJRHGGFBN07DA,頂庄段,11.40,都市：其他:道路用地,6,1,持分移轉,00950000
RPXNMLOLQHGGFAN86DA,新縣庄段,168.16,非都市：特定農業區 ; 非都市編定：水利用地,7,1,持分移轉,06010000
RPOOMLOLQHGGFAN68DA,新縣庄段,90.54,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,07510000
RPTNMLRKQHGGFCN86DA,鹿鳳段,15.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,17,1,持分移轉,13160001
RPTNMLRKQHGGFCN86DA,鹿鳳段,67.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,13160009
RPPNMLSJRHGGFCN56DA,東昇段,1054.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,20190002
RPTOMLQLQHGGFAN76DA,南郭段南郭小段,7.12,都市：其他:住宅區,10000,31,持分移轉,01540027
RPTOMLQLQHGGFAN76DA,南郭段南郭小段,2.72,都市：其他:住宅區,10000,31,持分移轉,01540529
RPWNMLSJRHGGFAN07DA,延平段,15.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,20,2,持分移轉,11480002
RPWNMLSJRHGGFAN07DA,延平段,32.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,2,持分移轉,11480003
RPWNMLSJRHGGFAN07DA,延平段,36.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11480097
RPQOMLPLQHGGFCN56DA,永安段,7.56,非都市：特定農業區 ; 非都市編定：農牧用地,3222000,11344,持分移轉,22250000
RPQOMLPLQHGGFCN56DA,永安段,22.27,非都市：特定農業區 ; 非都市編定：甲種建築用地,15,1,持分移轉,22260001
RPQOMLPLQHGGFCN56DA,永安段,77.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,22260007
RPSNMLSJRHGGFCN86DA,振興段,21.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,10,1,持分移轉,13890001
RPSNMLSJRHGGFCN86DA,振興段,65.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,13890011
RPRNMLQJRHGGFCN56DA,福龍段,12.92,都市：其他:商業區,10000,119,持分移轉,06350000
RPWNMLLLOHGGFDN56DA,貢旗段,3811.19,都市：其他:農業區,1,1,全筆移轉,07970000
RPPOMLPLQHGGFCN09DA,永安段,7.56,非都市：特定農業區 ; 非都市編定：農牧用地,3222000,11344,持分移轉,22250000
RPPOMLPLQHGGFCN09DA,永安段,22.27,非都市：特定農業區 ; 非都市編定：甲種建築用地,15,1,持分移轉,22260001
RPPOMLPLQHGGFCN09DA,永安段,77.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,22260006
RPVNMLNJQHGGFDN66DA,員林段,6.40,都市：其他:第二種商業區,98500,640,持分移轉,01160000
RPXNMLLJRHGGFDN76DA,永社段,21.23,非都市：特定農業區 ; 非都市編定：甲種建築用地,24,1,持分移轉,05340020
RPXNMLLJRHGGFDN76DA,永社段,.20,非都市：特定農業區 ; 非都市編定：甲種建築用地,24,1,持分移轉,05340022
RPXNMLLJRHGGFDN76DA,永社段,.58,非都市：特定農業區 ; 非都市編定：甲種建築用地,24,1,持分移轉,05340023
RPXNMLLJRHGGFDN76DA,永社段,68.06,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05340027
RPXNMLLJRHGGFDN76DA,永社段,1.02,非都市：特定農業區 ; 非都市編定：甲種建築用地,24,1,持分移轉,05340040
RPXNMLLLOHGGFDN66DA,大埔段,655.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04940000
RPPNMLSJRHGGFDN66DA,江夏段,.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,78,1,持分移轉,00740000
RPPNMLSJRHGGFDN66DA,江夏段,13.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,48,1,持分移轉,00740065
RPPNMLSJRHGGFDN66DA,江夏段,54.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00740078
