鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市建中路９８之１號,29.47,都市：其他:第一種住宅區,,,1100630,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,222.59,4,2,2,有,有,15500000,69635,坡道平面,0.0,0,,RPRQMLTKPHGGFAO96DA,120.49,16.32,0.0,有,
新竹市,房地(土地+建物),新竹市新竹市經國路二段１８７號七樓之７,6.77,都市：其他:第二種商業區,,,1100715,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0971108,57.92,2,2,2,有,有,6300000,108771,,0.0,0,夾層；,RPQNMLSJQHGGFAO09DA,36.5,3.59,0.0,有,001
新竹市,房地(土地+建物),新竹市新竹市東大路二段６１２號,100.0,,鄉村區,乙種建築用地,1100809,土地1建物1車位0,全,四層,透天厝,住家用,加強磚造,0641018,265.24,5,3,4,有,無,16200000,61077,,0.0,0,頂樓加蓋；,RPUQMLMKQHGGFAO66DA,265.24,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市東大路一段５２巷２２號,31.67,都市：其他:第二種住宅區,,,1100806,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700710,86.03,3,2,2,有,無,4500000,52307,,0.0,0,,RPROMLNKQHGGFAO88DA,86.03,0.0,0.0,無,002
新竹市,房地(土地+建物)+車位,新竹市新竹市食品路１８０巷１８號,28.27,都市：其他:第二種住宅區,,,1100802,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820227,131.74,4,2,2,有,有,11000000,83498,坡道平面,0.0,0,壹樓空地平台其他增建；,RPUPMLTKQHGGFAO27DA,83.69,13.76,0.0,有,003
新竹市,房地(土地+建物),新竹市新竹市林森路３１０號２樓之１,12.4,都市：其他:第二種商業區,,,1100803,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850913,130.3,4,2,2,有,有,7350000,56408,,0.0,0,陽台外推；,RPVPMLTKQHGGFAO37DA,87.31,4.18,0.0,有,004
新竹市,土地,成德段182-1地號,18.24,都市：其他:公園用地,,,1100820,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,27412,,0.0,0,包含公共設施保留地用地；,RPWQMLKLQHGGFAO76DA,0.0,0.0,0.0,無,005
新竹市,土地,成德段182-1地號,9.12,都市：其他:公園用地,,,1100820,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,27412,,0.0,0,包含公共設施保留地用地；,RPURMLKLQHGGFAO66DA,0.0,0.0,0.0,無,005
新竹市,土地,南華段529地號,155.23,都市：其他:第一種住宅區,,,1100616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11739250,75625,,0.0,0,,RPPQMLSKQHGGFAO76DA,0.0,0.0,0.0,無,
