編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLNKQHGGFAO88DA,40,86.03,住家用,鋼筋混凝土造,70年7月10日,五層,一層
RPUQMLMKQHGGFAO66DA,46,265.24,住家用,加強磚造,64年10月18日,四層,一層 二層 三層 四層
RPRQMLTKPHGGFAO96DA,,136.81,住家用,鋼筋混凝土造,,十四層,一層 平台
RPRQMLTKPHGGFAO96DA,,85.78,共有部分,鋼筋混凝土造,,十四層,
RPQNMLSJQHGGFAO09DA,13,40.09,辦公室,鋼筋混凝土造,97年11月8日,十一層,七層 陽台
RPQNMLSJQHGGFAO09DA,13,6.53,樓梯間,鋼筋混凝土造,97年11月8日,十一層,
RPQNMLSJQHGGFAO09DA,13,11.30,防空避難室兼停車空間、騎樓、樓梯間、電梯機房、水箱,鋼筋混凝土造,97年11月8日,十一層,
RPVPMLTKQHGGFAO37DA,25,91.49,住家用,鋼筋混凝土造,85年9月13日,十二層,二層 陽台
RPVPMLTKQHGGFAO37DA,25,38.81,防空避難室兼停車空間,鋼筋混凝土造,85年9月13日,十二層,
RPUPMLTKQHGGFAO27DA,28,12.64,共有部分,鋼筋混凝土造,82年2月27日,六層,
RPUPMLTKQHGGFAO27DA,28,97.45,住家用,鋼筋混凝土造,82年2月27日,六層,一層 平台
RPUPMLTKQHGGFAO27DA,28,21.65,共有部分,鋼筋混凝土造,82年2月27日,六層,
RPOPMLPLQHGGFAO98DA,21,208.09,停車空間、住宅、店舖,鋼筋混凝土造,89年11月23日,四層,一層 二層 三層 四層 屋頂突出物
RPVOMLKMQHGGFAO56DA,13,27.40,辦公室,鋼筋混凝土造,97年7月30日,十層,五層 雨遮
RPVOMLKMQHGGFAO56DA,13,16.18,防空避難室、停車空間、水箱、梯間、機械室,鋼筋混凝土造,97年7月30日,十層,
RPXPMLOLQHGGFAO17DA,7,47.85,辦公室,鋼筋混凝土造,103年3月12日,九層,二層 陽台 雨遮
RPXPMLOLQHGGFAO17DA,7,46.84,共有部分,鋼筋混凝土造,103年3月12日,九層,
RPTOMLPLQHGGFAO76DA,17,1.61,集合住宅,鋼筋混凝土造,94年2月20日,四層,地下一層
RPTOMLPLQHGGFAO76DA,17,30.98,集合住宅,鋼筋混凝土造,94年2月20日,四層,地下二層
RPTOMLPLQHGGFAO76DA,17,.50,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPTOMLPLQHGGFAO76DA,17,6.50,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPTOMLPLQHGGFAO76DA,17,10.88,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPXOMLLJRHGGFAO66DA,,117.14,住家用,加強磚造,,二層,一層 二層
RPVPMLLJRHGGFAO56DA,33,135.39,住家用,鋼筋混凝土造,77年5月4日,二層,一層 二層 陽台 平台 屋頂突出物
RPXPMLLJRHGGFAO76DA,15,20.19,集合住宅,鋼筋混凝土造,95年5月19日,十層,二層 陽台
RPXPMLLJRHGGFAO76DA,15,13.41,停車空間、樓梯間、防空避難室、機房、水塔,鋼筋混凝土造,95年5月19日,十層,
RPTPMLQJRHGGFAO86DA,,101.70,住家用,加強磚造,,二層,一層 二層
RPVPMLKMQHGGFAO66DA,30,128.22,見使用執照,鋼筋混凝土造,80年4月27日,七層,一層 平台
RPVPMLKMQHGGFAO66DA,30,12.81,共有部分,鋼筋混凝土造,80年4月27日,七層,
RPVPMLKMQHGGFAO66DA,30,13.60,共有部分,鋼筋混凝土造,80年4月27日,七層,
RPPQMLQJRHGGFAO56DA,16,84.93,集合住宅,鋼筋混凝土造,94年8月1日,十四層,十一層 陽台 雨遮
RPPQMLQJRHGGFAO56DA,16,.08,警衛室,鋼筋混凝土造,94年8月1日,十四層,一層
RPPQMLQJRHGGFAO56DA,16,.01,樓梯間等共同使用部份,鋼筋混凝土造,94年8月1日,十四層,
RPPQMLQJRHGGFAO56DA,16,7.63,樓梯間等共同使用部份,鋼筋混凝土造,94年8月1日,十四層,
RPPQMLQJRHGGFAO56DA,16,19.11,停車空間、梯間等共同使用部份,鋼筋混凝土造,94年8月1日,十四層,
RPPQMLQJRHGGFAO56DA,16,49.43,停車空間、梯間等共同使用部份,鋼筋混凝土造,94年8月1日,十四層,
RPWPMLLJRHGGFAO66DA,30,85.27,住家用,鋼筋混凝土造,80年5月23日,五層,三層 陽台
RPWPMLLJRHGGFAO66DA,30,28.06,共有部分,鋼筋混凝土造,80年5月23日,五層,
RPSNMLPJRHGGFAO09DA,24,.38,住家用,鋼筋混凝土造,86年7月19日,八層,一層
RPSNMLPJRHGGFAO09DA,24,92.74,住家用,鋼筋混凝土造,86年7月19日,八層,七層 陽台
RPSNMLPJRHGGFAO09DA,24,8.53,共有部分,鋼筋混凝土造,86年7月19日,八層,
RPSNMLPJRHGGFAO09DA,24,.00,共有部分,鋼筋混凝土造,86年7月19日,八層,
RPSNMLPJRHGGFAO09DA,24,9.34,避難室兼停車空間,鋼筋混凝土造,86年7月19日,八層,
RPSNMLPJRHGGFAO09DA,24,11.88,避難室兼停車空間,鋼筋混凝土造,86年7月19日,八層,
RPXPMLRJRHGGFAO37DA,28,68.23,住家用,鋼筋混凝土造,82年9月13日,五層,二層 陽台
RPXPMLRJRHGGFAO37DA,28,21.83,住家用,鋼筋混凝土造,82年9月13日,五層,
RPTOMLRJRHGGFAO86DA,26,45.30,住家用,鋼筋混凝土造,84年2月27日,十層,七層 陽台
RPTOMLRJRHGGFAO86DA,26,17.80,共有部分,鋼筋混凝土造,84年2月27日,十層,
RPUOMLRJRHGGFAO96DA,23,52.51,住家用,鋼筋混凝土造,87年6月23日,二十二層,二十二層 陽台 花台
RPUOMLRJRHGGFAO96DA,23,.85,社區活動中心,鋼筋混凝土造,87年6月23日,二十一層,一層 陽台 地下一層 地下二層 地下三層
RPUOMLRJRHGGFAO96DA,23,.17,社區活動中心,鋼筋混凝土造,87年6月23日,二十一層,一層 陽台
RPUOMLRJRHGGFAO96DA,23,15.68,共有部分,鋼筋混凝土造,87年6月23日,二十二層,
RPOQMLQJRHGGFAO09DA,30,106.01,住家用,鋼筋混凝土造,80年10月28日,五層,一層 平台
RPOQMLQJRHGGFAO09DA,30,10.70,共有部分,鋼筋混凝土造,80年10月28日,五層,
RPOQMLQJRHGGFAO09DA,30,47.45,共有部分,鋼筋混凝土造,80年10月28日,000,
RPROMLSJRHGGFAO76DA,33,135.39,住家用,鋼筋混凝土造,77年5月4日,二層,一層 二層 陽台 平台 屋頂突出物
RPPNMLRJRHGGFAO09EA,39,100.29,住家用,鋼筋混凝土造,71年11月18日,五層,四層
RPPNMLRJRHGGFAO09EA,39,7.26,共有部分,鋼筋混凝土造,71年11月18日,000,
RPQQMLRJRHGGFAO86EA,29,91.05,住家用,鋼筋混凝土造,81年2月28日,五層,一層 平台
RPQQMLRJRHGGFAO86EA,29,9.30,共有部分,鋼筋混凝土造,81年2月28日,五層,
