編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLNKQHGGFAO88DA,東山段一小段,31.67,都市：其他:第二種住宅區,37140,2614,持分移轉,08470000
RPUQMLMKQHGGFAO66DA,舊社段,100.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05540000
RPURMLKLQHGGFAO66DA,成德段,9.09,都市：其他:道路用地,84,1,持分移轉,01820001
RPURMLKLQHGGFAO66DA,成德段,.03,都市：其他:公園用地,84,1,持分移轉,01820002
RPRQMLTKPHGGFAO96DA,光復段,29.47,都市：其他:第一種住宅區,100000,1327,持分移轉,13210000
RPQNMLSJQHGGFAO09DA,北門段,6.77,都市：其他:第二種商業區,10000,41,持分移轉,11230000
RPVPMLTKQHGGFAO37DA,聚吉段,12.40,都市：其他:第二種商業區,10000,494,持分移轉,00850000
RPPQMLSKQHGGFAO76DA,南華段,155.23,都市：其他:第一種住宅區,1,1,全筆移轉,05290000
RPWQMLKLQHGGFAO76DA,成德段,18.18,都市：其他:道路用地,84,2,持分移轉,01820001
RPWQMLKLQHGGFAO76DA,成德段,.06,都市：其他:公園用地,84,2,持分移轉,01820002
RPUPMLTKQHGGFAO27DA,竹蓮段,28.27,都市：其他:第二種住宅區,10000,282,持分移轉,21450000
RPOPMLPLQHGGFAO98DA,金山段,83.00,都市：其他:第二種住宅區,1,1,全筆移轉,07960000
RPVOMLKMQHGGFAO56DA,北門段,3.29,都市：其他:第一種住宅區,10000,40,持分移轉,10050000
RPVOMLKMQHGGFAO56DA,北門段,3.12,都市：其他:第二種商業區,10000,40,持分移轉,10820000
RPXPMLOLQHGGFAO17DA,關東段,20.20,都市：其他:第一種住宅區,100000,2060,持分移轉,12890000
RPXPMLOLQHGGFAO17DA,關東段,2.09,都市：其他:道路用地,100000,2060,持分移轉,12890004
RPTOMLPLQHGGFAO76DA,柴橋段,14.10,都市：其他:甲之三種風景區,100000,102,持分移轉,08260000
RPXOMLLJRHGGFAO66DA,建華段,78.15,都市：其他:住宅區,1,1,全筆移轉,07480000
RPROMLQJRHGGFAO56DA,中央段,.86,都市：其他:公園用地,14,1,持分移轉,07590000
RPVPMLLJRHGGFAO56DA,長春段,80.00,都市：其他:第一種住宅區,1,1,全筆移轉,14730017
RPXPMLLJRHGGFAO76DA,中央段,5.17,都市：其他:第二種商業區,10000,75,持分移轉,15810000
RPQQMLNJRHGGFAO98DA,民富段,7.85,都市：其他:道路用地,10000,1330,持分移轉,14610001
RPSQMLNJRHGGFAO56DA,民富段,7.72,都市：其他:道路用地,10000,1308,持分移轉,14610001
RPOOMLQLQHGGFAO98DA,中央段,96.98,都市：其他:道路用地,64,3,持分移轉,02240000
RPOOMLQLQHGGFAO98DA,中央段,39.70,都市：其他:道路用地,64,3,持分移轉,09430012
RPOOMLQLQHGGFAO98DA,中央段,34.59,都市：其他:道路用地,64,3,持分移轉,09430014
RPTPMLQJRHGGFAO86DA,光武段,73.00,都市：其他:第一種住宅區,1,1,全筆移轉,01990000
RPVPMLKMQHGGFAO66DA,唐高段,35.93,都市：其他:第二種住宅區,20000,422,持分移轉,00270000
RPSOMLQJRHGGFAO66DA,聚吉段,20.31,都市：其他:道路用地,32,5,持分移轉,00280001
RPPQMLQJRHGGFAO56DA,東山段一小段,17.25,都市：其他:第二種商業區,100000,514,持分移轉,02100011
RPWPMLLJRHGGFAO66DA,曲溪段,25.90,都市：其他:第一種住宅區,2858,22,持分移轉,00340000
RPSNMLPJRHGGFAO09DA,舊社段,23.35,都市：其他:第一種住宅區,100000,1339,持分移轉,00090000
RPXPMLRJRHGGFAO37DA,新興段一小段,24.62,都市：其他:住宅區,5,1,持分移轉,00680002
RPTPMLRJRHGGFAO96DA,民主段,3.52,都市：其他:道路用地,25,1,持分移轉,13390000
RPTPMLRJRHGGFAO96DA,民主段,1.60,都市：其他:道路用地,800,32,持分移轉,14660000
RPTOMLRJRHGGFAO86DA,竹蓮段,6.38,都市：其他:第二種商業區,10000,200,持分移轉,16070002
RPUOMLRJRHGGFAO96DA,武陵段,10.25,都市：其他:第一種住宅區,100000,67,持分移轉,03160003
RPOQMLQJRHGGFAO09DA,武陵段,36.58,都市：其他:第一種住宅區,10000,589,持分移轉,03090002
RPSSMLRJRHGGFAO17DA,東山段二小段,236.00,都市：其他:道路用地,3,1,持分移轉,05920000
RPSSMLRJRHGGFAO17DA,光華段,1.00,都市：其他:道路用地,3,1,持分移轉,10160001
RPSSMLRJRHGGFAO17DA,竹蓮段,21.67,都市：其他:道路用地,3,1,持分移轉,27490000
RPROMLSJRHGGFAO76DA,長春段,80.00,都市：其他:第一種住宅區,1,1,全筆移轉,14730019
RPPNMLRJRHGGFAO09EA,民富段,13.60,都市：其他:第二種住宅區,5,1,持分移轉,14460000
RPPNMLRJRHGGFAO09EA,民富段,13.80,都市：其他:第一種住宅區,5,1,持分移轉,14470000
RPPNMLRJRHGGFAO09EA,民富段,4.20,都市：其他:第一種住宅區,5,1,持分移轉,14480002
RPRNMLRJRHGGFAO66EA,千甲段,2191.96,都市：其他:農業區,10000,4790,持分移轉,08240000
RPQQMLRJRHGGFAO86EA,新興段一小段,28.88,都市：其他:住宅區,15,1,持分移轉,00110000
RPXOMLSJRHGGFAO37DA,北門段,2.82,都市：其他:第二種商業區,10000,39,持分移轉,07630000
RPXOMLSJRHGGFAO37DA,北門段,.45,都市：其他:第二種住宅區,10000,39,持分移轉,07640000
RPSNMLRJRHGGFAO76EA,東山段一小段,8.29,都市：其他:第二種商業區,10000,135,持分移轉,04510000
RPRRMLRJRHGGFAO96DA,東明段,31.15,都市：其他:住商混合區,26,1,持分移轉,06000000
RPRRMLRJRHGGFAO96DA,東明段,60.00,都市：其他:住商混合區,1,1,全筆移轉,06000016
RPPNMLSJRHGGFAO09DA,虎山段,30.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,550,持分移轉,01200000
RPRQMLRJRHGGFAO96EA,東山段二小段,26.98,都市：其他:第二種住宅區,1000,18,持分移轉,01370000
RPSQMLRJRHGGFAO07EA,香濱段,48.11,都市：其他:第一種住宅區,1,1,全筆移轉,02360000
RPXQMLRJRHGGFAO57EA,明湖段,82.48,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,497,持分移轉,06810000
RPVQMLRJRHGGFAO37EA,內湖段,108.14,非都市：山坡地保育區 ; 非都市編定：國土保安用地,1,1,全筆移轉,04020001
RPVQMLRJRHGGFAO37EA,內湖段,201.77,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,04020002
RPVQMLRJRHGGFAO37EA,內湖段,26.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,2,1,持分移轉,04020003
RPRPMLSJRHGGFAO86DA,東橋段,.10,都市：其他:綠地用地,6300,6,持分移轉,01880001
RPRPMLSJRHGGFAO86DA,東橋段,.00,都市：其他:第二種住宅區,12270720,2223,持分移轉,02410000
