編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRQMLTKPHGGFAO96DA,坡道平面,0,,地下一樓
RPUPMLTKQHGGFAO27DA,坡道平面,0,,地下一樓
RPXPMLOLQHGGFAO17DA,坡道機械,0,8.25,地下一樓
RPPQMLQJRHGGFAO56DA,坡道平面,0,,地下一樓
RPPQMLQJRHGGFAO56DA,坡道平面,0,,地下二樓
RPSNMLPJRHGGFAO09DA,坡道機械,0,,地下一樓
RPTOMLRJRHGGFAO86DA,升降平面,0,,地下一樓
RPOQMLQJRHGGFAO09DA,坡道平面,0,,地下一樓
RPPNMLSJRHGGFAO09DA,坡道平面,0,38.10,地下一樓
RPRQMLRJRHGGFAO96EA,坡道機械,0,,地下一樓
RPXQMLRJRHGGFAO57EA,坡道平面,0,26.39,地下一樓
RPVQMLRJRHGGFAO37EA,其他,0,,地下一樓
RPPRMLRJRHGGFAO86EA,坡道平面,0,42.96,地下二樓
RPORMLRJRHGGFAO76EA,一樓平面,0,22.15,一樓
RPTNMLSJRHGGFAO96EA,坡道平面,0,28.26,地下一樓
RPPNMLSJRHGGFAO56EA,坡道平面,0,34.91,地下二樓
RPWPMLSJRHGGFAO47EA,坡道平面,0,,地下二樓
RPWOMLTJRHGGFAO37DA,坡道平面,0,,地下三樓
RPTPMLTJRHGGFAO17DA,坡道平面,0,,地下一樓
RPUOMLSJRHGGFAO07DA,坡道平面,0,,地下二樓
RPWOMLSJRHGGFAO27DA,坡道平面,1700000,45.18,地下一樓
RPRQMLRLQHGGFAO96DA,升降機械,0,,地下一樓
RPOPMLKMQHGGFAO58DA,升降機械,0,11.00,地下二樓
RPWOMLTJQHGGFAO27DA,坡道平面,0,,地下二樓
RPWOMLTJQHGGFAO27DA,坡道平面,0,,地下二樓
RPSOMLMLPHGGFAO88DA,坡道平面,1750000,29.71,地下五樓含以下
RPXPMLMKQHGGFAO86DA,坡道平面,1400000,28.10,地下一樓
RPPPMLTJRHGGFAO76DA,一樓平面,0,,一樓
RPXOMLSKQHGGFAO37DA,坡道平面,0,,地下三樓
RPPNMLTJRHGGFAO66EA,升降機械,0,,地下一樓
RPQNMLTJRHGGFAO76EA,坡道平面,0,,地下一樓
RPPNMLKKRHGGFAO48EA,坡道平面,0,,地下二樓
RPQNMLKKRHGGFAO58EA,升降機械,0,11.00,地下二樓
RPXPMLTJRHGGFAO57DA,坡道平面,1550000,57.90,地下四樓
RPUQMLKKRHGGFAO56DA,坡道平面,0,25.72,地下一樓
RPQOMLLKRHGGFAO68DA,坡道平面,0,,地下一樓
RPVNMLLKRHGGFAO09DA,坡道平面,0,31.29,地下一樓
RPVNMLLKRHGGFAO09DA,坡道機械,0,24.09,地下三樓
RPURMLRJRHGGFAO27DA,坡道平面,0,57.90,地下三樓
RPURMLRJRHGGFAO27DA,坡道平面,0,57.90,地下三樓
RPTRMLRJRHGGFAO17DA,坡道平面,1450000,57.90,地下五樓含以下
RPPOMLLKRHGGFAO58DA,坡道平面,0,29.45,地下五樓含以下
RPWNMLPJRHGGFAO86DA,坡道平面,0,44.67,地下一樓
RPWNMLPJRHGGFAO86DA,坡道平面,0,44.67,地下一樓
RPXPMLMJRHGGFAO86DA,坡道平面,1120000,44.67,地下一樓
RPXNMLRJRHGGFAO17DA,坡道平面,1550000,57.90,地下四樓
RPQPMLRJRHGGFAO66DA,坡道平面,1550000,57.90,地下四樓
RPOOMLRJRHGGFAO98DA,坡道平面,1750000,53.28,地下二樓
RPPOMLPJRHGGFAO88DA,坡道平面,1120000,44.67,地下一樓
RPROMLRJRHGGFAO66DA,坡道平面,1550000,57.90,地下四樓
RPWNMLRJRHGGFAO07DA,坡道平面,1450000,57.90,地下五樓含以下
RPROMLPJRHGGFAO09DA,坡道平面,1120000,44.67,地下一樓
SPROMLPJRHGGFAO56DA,坡道平面,1040000,44.67,地下二樓
TPROMLPJRHGGFAO66DA,坡道平面,1040000,42.66,地下一樓
RPXPMLLMQHGGFAO96DA,坡道平面,1450000,57.90,地下五樓含以下
RPPQMLTJQHGGFAO76DA,坡道平面,2500000,33.15,地下二樓
RPSQMLTJQHGGFAO07DA,坡道平面,2500000,33.15,地下二樓
RPXNMLPJRHGGFAO96DA,坡道平面,0,44.67,地下二樓
RPXNMLPJRHGGFAO96DA,坡道平面,0,44.67,地下二樓
RPSOMLLKRHGGFAO88DA,坡道平面,0,31.52,地下二樓
RPRNMLLKRHGGFAO78EA,坡道平面,0,27.54,地下四樓
RPVPMLNKRHGGFAO96EA,坡道機械,0,,地下一樓
RPTNMLNKRHGGFAO56EA,坡道平面,0,34.71,地下二樓
RPSNMLNKRHGGFAO09EA,坡道平面,1200000,34.71,地下三樓
RPTNMLOKRHGGFAO66EA,坡道平面,0,27.10,地下四樓
RPSPMLLKRHGGFAO98DA,升降機械,0,,地下一樓
RPVNMLOKRHGGFAO76DA,坡道平面,0,,地下二樓
RPVPMLTJRHGGFAO37DA,坡道平面,0,,地下一樓
RPXOMLTJRHGGFAO47DA,一樓平面,0,,一樓
RPQNMLMLQHGGFAO68DA,坡道平面,0,18.68,地下三樓
RPROMLQLPHGGFAO56DA,坡道平面,0,,地下一樓
RPPNMLKMOHGGFAO28DA,坡道平面,0,28.26,地下三樓
