鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路２４３巷７８之３號,101.0,都市：其他:住宅區,,,1090427,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100330,174.78,4,2,4,有,無,7400000,42339,,0.0,0,1.地政士僅受託買賣案件申請登記並未代理撰擬不動產買賣契約書。 2.土地款363萬；房屋款377萬。含土地增值稅或其他稅費；預售屋、或土地及建物分件登記案件；,RPTNMLLMQHGGFAP09DA,170.12,4.66,0.0,無,
古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路２４３巷７８號,241.0,都市：其他:住宅區,,,1090424,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100330,364.25,7,2,6,有,無,15550000,42690,,0.0,0,1.地政士僅受託買賣案件申請登記並未代理撰擬不動產買賣契約書。 2.土地款762萬；房屋款793萬。含土地增值稅或其他稅費；預售屋、或土地及建物分件登記案件；,RPUNMLLMQHGGFAP56DA,348.28,15.97,0.0,有,
古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路２４３巷７８之１號,101.0,都市：其他:住宅區,,,1090228,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100330,177.19,4,2,2,有,無,7380000,41650,,0.0,0,1.地政士僅受託買賣案件申請登記並未代理撰擬不動產買賣契約書。 2.土地款362萬；房屋款376萬。含土地增值稅或其他稅費；預售屋、或土地及建物分件登記案件；,RPWNMLLMQHGGFAP76DA,170.12,7.07,0.0,無,
古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路２４３巷７８之２號,101.0,都市：其他:住宅區,,,1090917,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100330,181.32,4,2,4,有,無,7350000,40536,,0.0,0,1.地政士僅受託買賣案件申請登記並未代理撰擬不動產買賣契約書。 2.土地款360萬；房屋款375萬。含土地增值稅或其他稅費；預售屋、或土地及建物分件登記案件；,RPXNMLLMQHGGFAP86DA,170.12,11.2,0.0,無,
古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路２４３巷７８之６號,103.0,都市：其他:住宅區,,,1090927,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100330,178.65,4,2,4,有,無,7670000,42933,,0.0,0,1.地政士僅受託買賣案件申請登記並未代理撰擬不動產買賣契約書。 2.土地款376萬；房屋款391萬。含土地增值稅或其他稅費；預售屋、或土地及建物分件登記案件；,RPOOMLLMQHGGFAP68DA,174.34,4.31,0.0,無,
古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路２４３巷７８之７號,99.0,都市：其他:住宅區,,,1090602,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100330,182.87,3,2,4,有,無,7500000,41013,,0.0,0,1.地政士僅受託買賣案件申請登記並未代理撰擬不動產買賣契約書。 2.土地款367萬；房屋款383萬。含土地增值稅或其他稅費；預售屋、或土地及建物分件登記案件；,RPPOMLLMQHGGFAP78DA,172.48,10.39,0.0,無,
古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路２４３巷７８之１０號,99.0,都市：其他:住宅區,,,1091114,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100330,177.14,4,2,4,有,無,7580000,42791,,0.0,0,1.地政士僅受託買賣案件申請登記並未代理撰擬不動產買賣契約書。 2.土地款371萬；房屋款387萬。含土地增值稅或其他稅費；預售屋、或土地及建物分件登記案件；,RPQOMLLMQHGGFAP88DA,172.48,4.66,0.0,無,
古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路２４３巷７８之１１號,99.0,都市：其他:住宅區,,,1091017,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100330,182.87,4,2,4,有,無,7500000,41013,,0.0,0,1.地政士僅受託買賣案件申請登記並未代理撰擬不動產買賣契約書。 2.土地款367萬；房屋款383萬。含土地增值稅或其他稅費；預售屋、或土地及建物分件登記案件；,RPROMLLMQHGGFAP98DA,172.48,10.39,0.0,無,
古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路２４３巷７８之１２號,99.0,都市：其他:住宅區,,,1091204,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100330,177.14,4,2,4,有,無,7580000,42791,,0.0,0,1.地政士僅受託買賣案件申請登記並未代理撰擬不動產買賣契約書。 2.土地款371萬；房屋款387萬。含土地增值稅或其他稅費；預售屋、或土地及建物分件登記案件；,RPSOMLLMQHGGFAP09DA,172.48,4.66,0.0,無,
