編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLLMQHGGFAP56DA,,364.25,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPOOMLLMQHGGFAP68DA,,178.65,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPQOMLLMQHGGFAP88DA,,177.14,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPPOMLLMQHGGFAP78DA,,182.87,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPROMLLMQHGGFAP98DA,,182.87,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPWNMLLMQHGGFAP76DA,,177.19,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPSOMLLMQHGGFAP09DA,,177.14,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPTNMLLMQHGGFAP09DA,,174.78,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPXNMLLMQHGGFAP86DA,,181.32,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPOOMLSJRHGGFAP56DA,40,189.60,住商用,ＲＣ構架磚造,70年4月5日,三層,一層 二層 三層 騎樓 電梯樓梯間 地下層
RPVPMLKKRHGGFAP66DA,29,176.07,住家用,鋼筋混凝土造,81年12月26日,四層,一層 二層 三層 四層
RPXPMLKKRHGGFAP86DA,41,103.00,住家用,鋼筋混凝土加強磚造,69年11月25日,二層,一層 二層 騎樓
RPQNMLRJRHGGFBP66DA,29,212.85,住家用,鋼筋混凝土造,81年3月27日,三層,一層 二層 三層 陽台 騎樓 電梯樓梯間
RPRNMLSJRHGGFBP86DA,43,214.23,住商用,加強磚造,67年3月1日,二層,一層 二層 騎樓 電梯樓梯間
RPPNMLLJRHGGFFP98DA,1,152.85,停車空間，住宅，樓梯間,ＲＣ造,109年6月11日,三層,見其他登記事項 見其他登記事項
RPPNMLTJRHGGFBP86EA,39,102.74,住家用,加強磚造,71年3月19日,二層,一層 二層 電梯樓梯間
RPPNMLTJRHGGFAP76EA,1,189.12,住家用,鋼筋混凝土造,109年8月24日,三層,一層 二層 三層 陽台
RPQNMLTJRHGGFAP86EA,1,186.61,住家用,鋼筋混凝土造,109年8月24日,三層,一層 二層 三層 陽台
RPPOMLKKRHGGFAP68EA,40,47.95,住家用,加強磚造,70年8月4日,二層,一層 二層
RPRNMLTJRHGGFAP96EA,,181.36,住家用,鋼筋混凝土造,109年8月24日,三層,一層 二層 三層 陽台
RPQNMLKMQHGGFAP68DA,40,99.72,住商用,加強磚造,70年12月28日,二層,一層 二層 騎樓 電梯樓梯間
RPOPMLLMQHGGFAP78DA,,196.34,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPPPMLLMQHGGFAP88DA,,177.17,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPUOMLLMQHGGFAP66DA,,183.68,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPWPMLKKRHGGFAP86EA,35,136.00,住家用,加強磚造,76年1月30日,二層,一層 二層 電梯樓梯間
RPWPMLLMQHGGFAP96DA,,189.17,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPXPMLLMQHGGFAP07DA,,194.90,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPVPMLLMQHGGFAP86DA,,177.14,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPTPMLLMQHGGFAP66DA,,177.14,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPUPMLLMQHGGFAP76DA,,182.87,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPOQMLLMQHGGFAP88DA,,185.73,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPPQMLLMQHGGFAP98DA,,235.44,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPRQMLLMQHGGFAP56DA,,176.38,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPSQMLLMQHGGFAP66DA,,155.42,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPTQMLLMQHGGFAP76DA,,182.70,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPUQMLLMQHGGFAP86DA,,183.83,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPVQMLLMQHGGFAP96DA,,183.20,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPXQMLLMQHGGFAP17DA,,176.84,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPORMLLMQHGGFAP98DA,,183.68,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPQRMLLMQHGGFAP56DA,,184.02,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPQPMLLMQHGGFAP98DA,,176.91,住家用,鋼筋混凝土造,110年3月30日,三層,一層 二層 三層 陽台
RPROMLKKRHGGFAP88EA,,74.25,集合住宅,鋼筋混凝土造,110年2月18日,九層,三層 陽台
RPUNMLRJRHGGFAP96DA,52,132.80,住家用,加強磚造,59年1月1日,一層,一層
RPROMLKKRHGGFAP88EA,,46.72,防空避難室、地下停車空間、機電設備管道間、水箱、安全梯、電梯、梯廳、管委會空間、機電梯間,鋼筋混凝土造,110年2月18日,九層,
RPROMLKKRHGGFAP88EA,,8.97,樓電梯間、梯廳、機電設備管道間,鋼筋混凝土造,110年2月18日,九層,
RPQQMLKKRHGGFAP88DA,,181.65,住家用,鋼筋混凝土造,109年12月7日,三層,一層 二層 三層 陽台
RPWPMLKKRHGGFAP76DA,44,121.09,住商用,鋼筋混凝土加強磚造,66年12月20日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPRNMLNKRHGGFBP09DA,42,133.36,住宅、梯間,加強磚造,68年3月5日,二層,一層 二層 陽台 見其他登記事項
RPVNMLLJRHGGFDP76DA,30,237.39,住商用,鋼筋混凝土造,80年2月1日,三層,一層 二層 三層 陽台 騎樓 電梯樓梯間
RPTNMLMKQHGGFEP76DA,26,98.69,住家用,鋼筋混凝土造,84年8月29日,十二層,三層 陽台
RPTNMLMKQHGGFEP76DA,26,12.84,共同部份,鋼筋混凝土造,84年8月29日,十二層,
RPTNMLMKQHGGFEP76DA,26,.08,共同部份,鋼筋混凝土造,84年8月29日,十二層,
RPTNMLMKQHGGFEP76DA,26,.50,管理室及消防機房,鋼筋混凝土造,84年8月29日,十二層,地下層
RPTNMLMKQHGGFEP76DA,26,13.71,共同部份,鋼筋混凝土造,84年8月29日,十二層,
