編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLLMQHGGFAP56DA,西華段,101.00,都市：其他:住宅區,1,1,全筆移轉,01700028
RPUNMLLMQHGGFAP56DA,西華段,140.00,都市：其他:住宅區,1,1,全筆移轉,01700029
RPOOMLLMQHGGFAP68DA,西華段,103.00,都市：其他:住宅區,1,1,全筆移轉,01700010
RPQOMLLMQHGGFAP88DA,西華段,99.00,都市：其他:住宅區,1,1,全筆移轉,01700006
RPPOMLLMQHGGFAP78DA,西華段,99.00,都市：其他:住宅區,1,1,全筆移轉,01700009
RPROMLLMQHGGFAP98DA,西華段,99.00,都市：其他:住宅區,1,1,全筆移轉,01700005
RPWNMLLMQHGGFAP76DA,西華段,101.00,都市：其他:住宅區,1,1,全筆移轉,01700027
RPSOMLLMQHGGFAP09DA,西華段,99.00,都市：其他:住宅區,1,1,全筆移轉,01700004
RPTNMLLMQHGGFAP09DA,西華段,101.00,都市：其他:住宅區,1,1,全筆移轉,01700025
RPXNMLLMQHGGFAP86DA,西華段,101.00,都市：其他:住宅區,1,1,全筆移轉,01700026
RPPNMLRLQHGGFAP56DA,成功段,166.00,都市：其他:住宅區,1,1,全筆移轉,18820000
RPRNMLSJRHGGFAP76DA,大埔尾段,589.33,非都市：特定農業區 ; 非都市編定：農牧用地,6,1,持分移轉,17800000
RPSNMLSJRHGGFAP86DA,崁頭厝段,9860.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00230711
RPSNMLSJRHGGFAP86DA,崁頭厝段,1030.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00230712
RPXNMLSJRHGGFAP37DA,竹頭段,34.67,非都市：一般農業區 ; 非都市編定：農牧用地,20378,969,持分移轉,02710000
RPPOMLSJRHGGFAP66DA,竹頭段,11.38,非都市：一般農業區 ; 非都市編定：甲種建築用地,20378,1698,持分移轉,02720000
RPOOMLSJRHGGFAP56DA,海豐崙段海豐崙小段,99.00,都市：其他:住宅區,1,1,全筆移轉,13030058
RPTOMLQJRHGGFAP86DA,成功段,741.00,都市：其他:住宅區,1,1,全筆移轉,01210000
RPTOMLQJRHGGFAP86DA,成功段,15.00,都市：其他:道路用地,1,1,全筆移轉,01680000
