鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
朴子市,房地(土地+建物),嘉義縣朴子市博愛街９３號,127.92,都市：其他:住宅區,,,1100520,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1091204,217.22,4,3,4,有,無,9300000,42814,,0.0,0,,RPPNMLRJRHGGFBQ66DA,196.43,20.79,0.0,無,
朴子市,房地(土地+建物),嘉義縣朴子市博愛街５３號,94.21,都市：其他:住宅區,,,1100520,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1091204,208.73,5,3,4,有,無,8600000,41202,,0.0,0,,RPQNMLRJRHGGFBQ76DA,183.53,25.2,0.0,無,
六腳鄉,房地(土地+建物),嘉義縣六腳鄉大橋頭５３４號,135.26,,鄉村區,乙種建築用地,1100813,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0750604,124.64,3,2,2,有,無,2560000,20539,,0.0,0,,RPPNMLSJRHGGFBQ76DA,113.19,11.45,0.0,無,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉金興村惠安街４１巷２０號,103.63,都市：其他:住,,,1100715,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0780404,176.1,4,2,3,有,無,3990000,22658,,0.0,0,未登記建物；,RPSNMLPKPHGGFCQ76DA,176.1,0.0,0.0,無,
新港鄉,土地,番婆段安和小段1030地號,1666.0,,特定農業區,農牧用地,1100824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,480,,0.0,0,,RPTNMLMJRHGGFCQ66DA,0.0,0.0,0.0,無,
新港鄉,土地,潭子墘段潭大小段478地號,2752.0,,特定農業區,農牧用地,1100903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4128000,1500,,0.0,0,,RPUNMLTJRHGGFCQ47DA,0.0,0.0,0.0,無,
新港鄉,土地,潭子墘段潭大小段477地號,2928.0,,特定農業區,農牧用地,1100903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4392000,1500,,0.0,0,,RPVNMLTJRHGGFCQ57DA,0.0,0.0,0.0,無,
新港鄉,土地,新後庄段267-1地號,17.3,,特定農業區,農牧用地,1100901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,14451,,0.0,0,畸零地或有合併使用效益；,RPWNMLTJRHGGFCQ67DA,0.0,0.0,0.0,無,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉興中村義橋１４３之１號,75.26,都市：其他:農,,,1100822,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0690718,56.1,3,2,1,有,無,3300000,58824,,0.0,0,,RPTNMLSJRHGGFCQ27DA,56.1,0.0,0.0,無,001
鹿草鄉,土地,鹿草段鹿草小段123地號,1405.0,,特定農業區,農牧用地,1100827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1068,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSLQHGGFDQ07DA,0.0,0.0,0.0,無,002
中埔鄉,房地(土地+建物),嘉義縣中埔鄉隆興村後１３之１號,3386.06,,山坡地保育區,農牧用地,1100425,土地2建物1車位0,全,二層,透天厝,農舍,鋼筋混凝土加強磚造,0721224,142.68,4,2,2,有,無,12850000,90062,,0.0,0,,RPQPMLKMQHGGFDQ66DA,134.44,8.24,0.0,無,
太保市,房地(土地+建物),嘉義縣太保市麻寮里三合路２９９巷６弄１３號,93.51,非都市： ; 非都市編定：,,,1090110,土地3建物1車位0,全,三層,透天厝,住宅、停車空間,鋼筋混凝土造,1100608,159.13,4,3,5,有,無,6330000,39779,,0.0,0,土地價款316萬5000元，物價款316萬5000元。,RPXNMLNJRHGGFDQ27DA,153.3,5.83,0.0,無,
太保市,房地(土地+建物),嘉義縣太保市麻寮里三合路２９９巷６弄７號,98.51,非都市： ; 非都市編定：,,,1081218,土地3建物1車位0,全,三層,透天厝,住宅、停車空間,鋼筋混凝土造,1100608,186.57,4,3,5,有,無,6850000,36715,,0.0,0,土地價款342萬5000元，物價款342萬5000元。,RPPOMLNJRHGGFDQ56DA,179.84,6.73,0.0,無,
太保市,房地(土地+建物),嘉義縣太保市麻寮里三合路２９９巷６弄１５號,93.51,非都市： ; 非都市編定：,,,1090303,土地3建物1車位0,全,三層,透天厝,住宅、停車空間,鋼筋混凝土造,1100608,169.81,4,3,5,有,無,6680000,39338,,0.0,0,土地價款334萬元，物價款334萬元。,RPQOMLNJRHGGFDQ66DA,163.98,5.83,0.0,無,
太保市,房地(土地+建物),嘉義縣太保市麻寮里三合路２９９巷６弄１７號,93.51,非都市： ; 非都市編定：,,,1081225,土地3建物1車位0,全,三層,透天厝,住宅、停車空間,鋼筋混凝土造,1100608,168.68,4,3,5,有,無,6650000,39424,,0.0,0,土地價款332萬5000元，物價款332萬5000元。,RPROMLNJRHGGFDQ76DA,162.85,5.83,0.0,無,
太保市,房地(土地+建物),嘉義縣太保市麻寮里三合路２９９巷６弄２３號,94.51,非都市： ; 非都市編定：,,,1081216,土地3建物1車位0,全,三層,透天厝,住宅、停車空間,鋼筋混凝土造,1100608,169.36,4,3,5,有,無,6600000,38970,,0.0,0,土地價款330萬元，物價款330萬元。,RPSOMLNJRHGGFDQ86DA,163.53,5.83,0.0,無,
太保市,房地(土地+建物),嘉義縣太保市麻寮里三合路２９９巷６弄３１號,94.51,非都市： ; 非都市編定：,,,1081215,土地3建物1車位0,全,三層,透天厝,住宅、門廊,鋼筋混凝土造,1100608,164.21,4,3,5,有,無,6180000,37635,,0.0,0,土地價款309萬元，物價款309萬元。,RPTOMLNJRHGGFDQ96DA,158.38,5.83,0.0,無,
中埔鄉,土地,王爺段61地號,41.51,,特定農業區,交通用地,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,311325,7500,,0.0,0,嘉139線銜接台18連絡道拓寬工程協議價購協議價購；,RPUOMLNJRHGGFDQ07DA,0.0,0.0,0.0,無,
中埔鄉,土地,王爺段62-1地號,57.57,,特定農業區,交通用地,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,431775,7500,,0.0,0,嘉139線銜接台18連絡道拓寬工程協議價購協議價購；,SPUOMLNJRHGGFDQ17DA,0.0,0.0,0.0,無,
中埔鄉,土地,王爺段63-1地號,7.13,,特定農業區,交通用地,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,53475,7500,,0.0,0,嘉139線銜接台18連絡道拓寬工程協議價購協議價購；,TPUOMLNJRHGGFDQ27DA,0.0,0.0,0.0,無,
水上鄉,土地,十一指厝段圳西小段694-5地號,745.5,,鄉村區,乙種建築用地,1100625,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8560000,11482,,0.0,0,,RPPNMLTJQHGGFDQ96DA,0.0,0.0,0.0,無,
水上鄉,房地(土地+建物),嘉義縣水上鄉水頭村市政街２２巷２０弄８號,115.0,都市：其他:住宅區,,,1100712,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100127,175.76,3,2,3,有,無,8730000,49670,,0.0,0,,RPXNMLQJRHGGFDQ57DA,164.36,11.4,0.0,無,
番路鄉,房地(土地+建物),嘉義縣番路鄉江西村６鄰平２３號十二樓一,4.74,都市：其他:保護區,,,1100821,土地2建物1車位0,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820401,42.269999999999996,1,1,1,有,有,980000,23184,,0.0,0,,RPSNMLQJRHGGFEQ17DA,29.45,4.45,0.0,有,003
竹崎鄉,土地,糞箕湖段33-11地號,4047.0,,山坡地保育區,農牧用地,1100810,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,297,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSJRHGGFEQ17DA,0.0,0.0,0.0,無,
竹崎鄉,土地,覆金段1194-4地號,1020.0,,山坡地保育區,農牧用地,1100827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,210000,206,,0.0,0,,RPRNMLSJRHGGFEQ27DA,0.0,0.0,0.0,無,004
竹崎鄉,土地,覆金段1194-4地號,1020.0,,山坡地保育區,農牧用地,1100901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,190000,186,,0.0,0,,RPSNMLSJRHGGFEQ37DA,0.0,0.0,0.0,無,004
番路鄉,土地,公田段337地號,742.0,,山坡地保育區,丙種建築用地,1100715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,16173,,0.0,0,,RPRNMLKKQHGGFEQ09DA,0.0,0.0,0.0,無,006
竹崎鄉,土地,灣橋段175地號,67.83,,一般農業區,農牧用地,1100810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,58658,865,,0.0,0,,RPRNMLLKQHGGFEQ56DA,0.0,0.0,0.0,無,
新港鄉,土地,中洋子段993地號,885.0,,特定農業區,農牧用地,1100826,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,1469,,0.0,0,,RPPNMLKKRHGGFCQ88EA,0.0,0.0,0.0,無,
水上鄉,房地(土地+建物),嘉義縣水上鄉下寮村下寮２４之３９號,58.46,,鄉村區,乙種建築用地,1100730,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0681115,105.12,3,1,2,有,無,2000000,19026,,0.0,0,,RPUNMLTJRHGGFDQ67EA,101.4,3.72,0.0,無,
水上鄉,土地,龍德段1508地號,360.95,,特定農業區,農牧用地,1100824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,451000,1249,,0.0,0,地清或未辦繼承標售；,RPVNMLTJRHGGFDQ77EA,0.0,0.0,0.0,無,
