編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLPKPHGGFCQ76DA,32,176.10,住家用,鋼筋混凝土造,78年4月4日,三層,一層 二層 三層 電梯樓梯間
RPPNMLRJRHGGFBQ66DA,,217.22,住家用,鋼筋混凝土造,109年12月4日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLRJRHGGFBQ76DA,,208.73,住家用,鋼筋混凝土造,109年12月4日,四層,一層 二層 三層 四層 見其他登記事項
RPTNMLSJRHGGFCQ27DA,41,56.10,住家用,磚造,69年7月18日,一層,一層
RPPNMLSJRHGGFBQ76DA,35,124.64,住家用,鋼筋混凝土加強磚造,75年6月4日,二層,一層 二層 陽台 電梯樓梯間
RPQPMLKMQHGGFDQ66DA,37,142.68,農舍,鋼筋混凝土加強磚造,72年12月24日,二層,一層 二層 電梯樓梯間
RPSOMLNJRHGGFDQ86DA,,169.36,住宅、停車空間,鋼筋混凝土造,110年6月8日,三層,一層 二層 三層 陽台 見其他登記事項
RPXNMLNJRHGGFDQ27DA,,159.13,住宅、停車空間,鋼筋混凝土造,110年6月8日,三層,一層 二層 三層 陽台
RPPOMLNJRHGGFDQ56DA,,186.57,住宅、停車空間,鋼筋混凝土造,110年6月8日,三層,一層 二層 三層 陽台 見其他登記事項
RPQOMLNJRHGGFDQ66DA,,169.81,住宅、停車空間,鋼筋混凝土造,110年6月8日,三層,一層 二層 三層 陽台 見其他登記事項
RPSNMLQJRHGGFEQ17DA,28,33.90,住家用,鋼筋混凝土造,82年4月1日,十八層,十二層 陽台
RPSNMLQJRHGGFEQ17DA,28,6.62,梯間,鋼筋混凝土造,82年4月1日,十八層,
RPSNMLQJRHGGFEQ17DA,28,1.75,守衛室．健身房．游泳池．防空避難室兼停車場,鋼筋混凝土造,82年4月1日,,
RPXNMLQJRHGGFDQ57DA,,175.76,住家用,鋼筋混凝土造,110年1月27日,三層,一層 二層 三層 陽台 見其他登記事項
RPROMLNJRHGGFDQ76DA,,168.68,住宅、停車空間,鋼筋混凝土造,110年6月8日,三層,一層 二層 三層 陽台 見其他登記事項
RPTOMLNJRHGGFDQ96DA,,164.21,住宅、門廊,鋼筋混凝土造,110年6月8日,三層,一層 二層 三層 陽台 見其他登記事項
RPUNMLTJRHGGFDQ67EA,42,105.12,住家用,鋼筋混凝土加強磚造,68年11月15日,二層,一層 二層 騎樓 電梯樓梯間
RPWNMLTJRHGGFDQ77DA,,182.36,住家用,鋼筋混凝土造,110年5月31日,三層,一層 二層 三層 陽台 見其他登記事項
RPXNMLTJRHGGFDQ87DA,,166.24,住家用,鋼筋混凝土造,110年5月31日,三層,一層 二層 三層 陽台 見其他登記事項
RPROMLRJRHGGFCQ07DA,1,197.65,店舖、停車空間、住宅、樓梯間,鋼筋混凝土造,109年12月28日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQOMLRJRHGGFCQ96DA,,197.65,店舖、停車空間、住宅、樓梯間,鋼筋混凝土造,109年12月28日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPSOMLRJRHGGFCQ17DA,,253.41,店舖、停車空間、住宅、樓梯間,鋼筋混凝土造,109年12月28日,三層,一層 二層 三層 見其他登記事項
RPVNMLRJRHGGFCQ37DA,,197.65,店舖、停車空間、住宅、樓梯間,鋼筋混凝土造,109年12月28日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPTNMLOLQHGGFDQ07DA,40,98.91,住家用,鋼筋混凝土加強磚造,70年3月17日,二層,一層 二層 電梯樓梯間
RPVNMLKKRHGGFDQ86DA,4,213.66,住家用,鋼筋混凝土,107年2月13日,三層,一層 二層 三層 陽台
RPSNMLKKRHGGFEQ66DA,4,401.36,住宅、梯間,鋼筋混凝土造,106年6月8日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPOOMLNKRHGGFCQ56EA,28,190.07,住商用,鋼筋混凝土造,82年11月8日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPQNMLNJRHGGFDQ66EA,47,48.64,住家用,磚造,63年11月18日,一層,一層 騎樓
RPTNMLLKRHGGFDQ86EA,24,94.89,住房、集合住宅,鋼筋混凝土造,86年6月23日,七層,六層 陽台 花台
RPTNMLLKRHGGFDQ86EA,24,15.84,見其他登記事項,鋼筋混凝土造,86年6月23日,七層,
RPTNMLLKRHGGFDQ86EA,24,16.19,樓梯間、機械室、水箱、瞭望台,鋼筋混凝土造,86年6月23日,七層,
RPPNMLPKQHGGFDQ66DA,22,66.68,集合住宅,鋼筋混凝土造,88年5月31日,五層,一層 陽台
RPPNMLPKQHGGFDQ66DA,22,66.68,集合住宅,鋼筋混凝土造,88年5月31日,五層,一層 陽台
RPPNMLPKQHGGFDQ66DA,22,9.22,樓梯間、機械室、水箱,鋼筋混凝土造,88年5月31日,五層,
RPPNMLPKQHGGFDQ66DA,22,9.22,樓梯間、機械室、水箱,鋼筋混凝土造,88年5月31日,五層,
RPPNMLPKQHGGFDQ66DA,22,.59,蓄水池,鋼筋混凝土造,88年5月31日,一層,
RPPNMLPKQHGGFDQ66DA,22,.59,蓄水池,鋼筋混凝土造,88年5月31日,一層,
RPSNMLTJRHGGFDQ37DA,9,157.34,停車空間、住宅,鋼筋混凝土造,101年4月18日,三層,一層 二層 三層 陽台
RPSNMLRJRHGGFBQ96DA,39,143.20,住家用,加強磚造,71年9月15日,二層,一層 二層
RPSNMLKKRHGGFBQ98DA,39,151.36,住商用,鋼筋混凝土造,71年8月28日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
