編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLPKPHGGFCQ76DA,金興段,103.63,都市：其他:住,1,1,全筆移轉,11030000
RPUNMLTJRHGGFCQ47DA,潭子墘段潭大小段,2752.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04780000
RPWNMLTJRHGGFCQ67DA,新後庄段,17.30,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02670001
RPPNMLRJRHGGFBQ66DA,德安段,22.47,都市：其他:住宅區,10,1,持分移轉,00710064
RPPNMLRJRHGGFBQ66DA,德安段,105.45,都市：其他:住宅區,1,1,全筆移轉,00710088
RPTNMLMJRHGGFCQ66DA,番婆段安和小段,1666.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10300000
RPQNMLRJRHGGFBQ76DA,德安段,94.21,都市：其他:住宅區,1,1,全筆移轉,00710000
RPVNMLTJRHGGFCQ57DA,潭子墘段潭大小段,2928.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04770000
RPTNMLSJRHGGFCQ27DA,義興段,75.26,都市：其他:農,1,1,全筆移轉,04410000
RPPNMLSJRHGGFBQ76DA,大橋頭段,135.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02250000
RPQPMLKMQHGGFDQ66DA,隆恩段,199.01,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01730000
RPQPMLKMQHGGFDQ66DA,隆恩段,3187.05,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01740000
RPPNMLSLQHGGFDQ07DA,鹿草段鹿草小段,1405.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01230000
RPSOMLNJRHGGFDQ86DA,過溝段過溝小段,25.62,都市：其他:住宅區,16,1,持分移轉,11630000
RPSOMLNJRHGGFDQ86DA,過溝段過溝小段,67.00,都市：其他:住宅區,1,1,全筆移轉,11630006
RPSOMLNJRHGGFDQ86DA,過溝段過溝小段,1.89,非都市： ; 非都市編定：,17,1,持分移轉,11630018
RPXNMLNJRHGGFDQ27DA,過溝段過溝小段,25.62,都市：其他:住宅區,16,1,持分移轉,11630000
RPXNMLNJRHGGFDQ27DA,過溝段過溝小段,66.00,都市：其他:住宅區,1,1,全筆移轉,11630011
RPXNMLNJRHGGFDQ27DA,過溝段過溝小段,1.89,非都市： ; 非都市編定：,17,1,持分移轉,11630018
RPPOMLNJRHGGFDQ56DA,過溝段過溝小段,25.62,都市：其他:住宅區,16,1,持分移轉,11630000
RPPOMLNJRHGGFDQ56DA,過溝段過溝小段,71.00,都市：其他:住宅區,1,1,全筆移轉,11630014
RPPOMLNJRHGGFDQ56DA,過溝段過溝小段,1.89,非都市： ; 非都市編定：,17,1,持分移轉,11630018
RPQOMLNJRHGGFDQ66DA,過溝段過溝小段,25.62,都市：其他:住宅區,16,1,持分移轉,11630000
RPQOMLNJRHGGFDQ66DA,過溝段過溝小段,66.00,都市：其他:住宅區,1,1,全筆移轉,11630010
RPQOMLNJRHGGFDQ66DA,過溝段過溝小段,1.89,非都市： ; 非都市編定：,17,1,持分移轉,11630018
RPSNMLQJRHGGFEQ17DA,內甕段,4.52,都市：其他:住宅區,10000,8,持分移轉,00970009
RPSNMLQJRHGGFEQ17DA,內甕段,.22,都市：其他:保護區,10000,8,持分移轉,00970043
RPQNMLSJRHGGFEQ17DA,糞箕湖段,2095.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00330011
RPQNMLSJRHGGFEQ17DA,糞箕湖段,1952.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00340069
SPUOMLNJRHGGFDQ17DA,王爺段,57.57,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,00620001
RPXNMLQJRHGGFDQ57DA,水東段,.74,都市：其他:住宅區,19,1,持分移轉,11620003
RPXNMLQJRHGGFDQ57DA,水東段,44.12,都市：其他:住宅區,4,1,持分移轉,12540004
