鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
屏東巿,房地(土地+建物),屏東縣屏東巿公裕街３８３巷５８弄３號,85.0,都市：其他:住宅區,,,1100727,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700526,85.63,3,2,2,有,無,3200000,37370,,0.0,0,,RPVNMLPJQHGGFAT17DA,85.63,0.0,0.0,無,001
長治鄉,房地(土地+建物),屏東縣長治鄉復興路４１９之２０號五樓之二,23.09,,鄉村區,乙種建築用地,1100708,土地1建物1車位0,,,華廈(10層含以下有電梯),,,,67.31,2,2,2,有,有,3000000,44570,,0.0,0,,RPPOMLNLPHGGFAT56DA,0.0,0.0,0.0,有,002
屏東巿,房地(土地+建物),屏東縣屏東巿武士街７２巷３５號,133.0,都市：其他:住宅區,,,1100817,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0790802,189.13,4,2,5,有,無,7800000,41241,,0.0,0,,RPPNMLSKQHGGFAT96DA,189.13,0.0,0.0,無,
長治鄉,房地(土地+建物),屏東縣長治鄉進興巷１０７號,93.46,,一般農業區,甲種建築用地,1100731,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0811112,188.56,3,2,2,有,無,3600000,19092,,0.0,0,,RPSNMLRJRHGGFAT17DA,173.6,14.96,0.0,無,
屏東巿,房地(土地+建物),屏東縣屏東巿大豐路３５巷５１號,158.0,都市：其他:農業區,,,1100127,土地1建物1車位0,全,,透天厝,,,,183.45,4,2,3,有,無,12500000,68138,,0.0,0,,RPPNMLKKRHGGFAT88DA,0.0,0.0,0.0,無,002
fa72埔鄉,土地,新二段1066-2地號,986.85,,一般農業區,農牧用地,1100906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2680000,2716,,0.0,0,,RPPNMLKKRHGGFBT98DA,0.0,0.0,0.0,無,
潮州鎮,房地(土地+建物),屏東縣潮州鎮萬學街８巷９號,127.16,都市：其他:住宅區,,,1100816,土地2建物1車位0,全,三層,透天厝,住宅、樓梯間,鋼筋混凝土構造,1100507,201.72,4,2,3,有,無,10360000,51358,,0.0,0,,RPVNMLKMQHGGFCT17DA,181.12,20.6,0.0,無,
竹田鄉,土地,鳳明段824地號,2496.0,,特定農業區,農牧用地,1100809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7700000,3085,,0.0,0,含土地增值稅或其他稅費；含仲介費；含地政士服務費；,RPROMLLJRHGGFCT76DA,0.0,0.0,0.0,無,
竹田鄉,土地,新田段836地號,1373.0,,特定農業區,農牧用地,1100802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2980000,2170,,0.0,0,農作物；,RPSOMLSJRHGGFCT57DA,0.0,0.0,0.0,無,
內埔鄉,房地(土地+建物),屏東縣內埔鄉金陵路１０４之２號,101.55,都市：其他:道路用地,,,1100817,土地4建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0811019,131.63,3,2,2,有,無,2550000,19372,,0.0,0,,RPSOMLTJRHGGFCT67DA,131.63,0.0,0.0,無,
內埔鄉,土地,振豐段423地號,7.16,都市：其他:商業區,,,1100826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,269073,37580,,0.0,0,政府機關標讓售；,RPPNMLKKRHGGFCT09DA,0.0,0.0,0.0,無,
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮水源一街５６號五樓,18.99,都市：其他:住宅區,,,1100708,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0850918,113.93,3,2,2,有,有,3000000,26332,升降機械,0.0,0,,RPUNMLMKPHGGFDT07DA,72.0,10.33,0.0,有,004
崁頂鄉,土地,頂仁段569地號,3235.27,,一般農業區,農牧用地,1100809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,3709,,0.0,0,未登記建物；,RPQNMLKKRHGGFDT66DA,0.0,0.0,0.0,無,005
南州鄉,土地,同安段963地號,172.42,,鄉村區,乙種建築用地,1100902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,4930,,0.0,0,,RPRNMLKKRHGGFDT76DA,0.0,0.0,0.0,無,
恆春鎮,土地,後壁湖段86-1地號,20.74,,國家公園區,,1100621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,749245,36126,,0.0,0,協議價購；,RPOSMLKLPHGGFET96DA,0.0,0.0,0.0,無,006
