編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLMKPHGGFDT07DA,升降機械,0,,地下一樓
RPUNMLQJRHGGFET67DA,一樓平面,0,,一樓
RPTNMLQJRHGGFET57DA,一樓平面,0,,一樓
RPSNMLQJRHGGFET47DA,一樓平面,0,,一樓
RPUNMLKMQHGGFDT17DA,一樓平面,800000,,一樓
RPOOMLNJQHGGFCT56DA,一樓平面,0,,一樓
RPRNMLQJRHGGFET37DA,一樓平面,0,,一樓
RPPNMLSJRHGGFET37DA,一樓平面,0,,一樓
RPQNMLQJRHGGFET27DA,一樓平面,0,,一樓
RPPNMLQJRHGGFET17DA,一樓平面,0,,一樓
RPPNMLMKRHGGFCT66DA,一樓平面,0,,一樓
RPWOMLNKRHGGFAT37DA,坡道平面,0,,地下一樓
RPWOMLNKRHGGFAT37DA,坡道平面,0,,地下一樓
RPQNMLTJRHGGFET57DA,一樓平面,0,,一樓
RPRNMLTJRHGGFET67DA,一樓平面,0,,一樓
RPSNMLTJRHGGFET77DA,一樓平面,0,,一樓
RPTNMLTJRHGGFET87DA,一樓平面,0,,一樓
RPUNMLTJRHGGFET97DA,一樓平面,0,,一樓
RPWNMLTJRHGGFET18DA,一樓平面,0,,一樓
RPUNMLSJRHGGFCT67DA,一樓平面,0,,一樓
