鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路２６０號十一樓之三,17.25,住,,,1100802,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840321,126.19,3,1,2,有,有,5650000,44774,,0.0,0,含地下室一樓機械式停車位於共有部分,RPOSMLQKQHGGFAU27DA,89.65,11.42,0.0,有,001
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路２６２號八樓之一,13.37,住,,,1100820,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840321,107.03999999999999,3,2,2,有,有,4850000,45310,,0.0,0,,RPORMLKLQHGGFAU66DA,76.08,9.91,0.0,有,002
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里三街２９號,23.51,住,,,1100811,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831223,67.7,2,1,1,有,無,3200000,47267,,0.0,0,含傢俱設備費；其他增建；,RPSNMLSLQHGGFAU47DA,49.84,3.8,0.0,無,
秀林鄉,土地,下台地段387-2地號,12540.96,,一般農業區,農牧用地,1100514,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8679000,692,,0.0,0,含仲介費；含地政士服務費；,RPSNMLTJRHGGFAU47DA,0.0,0.0,0.0,無,
秀林鄉,土地,下崇德段449地號,1870.42,都市：其他:道路用地,,,1100902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4979000,2662,,0.0,0,,RPTNMLTJRHGGFAU57DA,0.0,0.0,0.0,無,
花蓮市,土地,石壁段1403-2地號,583.7,,一般農業區,農牧用地,1100824,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1430000,2450,,0.0,0,未登記建物；,RPXNMLTJRHGGFAU97DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市南京街１９３之２號,12.32,商,,,1100814,土地2建物1車位0,一層，二層，三層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0761117,82.99000000000001,2,1,3,有,有,3500000,42174,,0.0,0,,RPTNMLKKRHGGFAU76DA,69.84,3.06,0.0,有,
玉里鎮,土地,源城段863-6地號,102.0,,鄉村區,乙種建築用地,1100721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,9804,,0.0,0,,RPSNMLTJRHGGFCU67DA,0.0,0.0,0.0,無,
玉里鎮,土地,源城段863地號,126.0,,鄉村區,乙種建築用地,1100721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,9524,,0.0,0,,RPTNMLTJRHGGFCU77DA,0.0,0.0,0.0,無,003
玉里鎮,土地,源城段863-7地號,96.0,,鄉村區,乙種建築用地,1100721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,950000,9896,,0.0,0,,RPUNMLTJRHGGFCU87DA,0.0,0.0,0.0,無,
玉里鎮,土地,源城段581地號,1751.0,,特定農業區,農牧用地,1100811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,1371,,0.0,0,,RPPNMLOKRHGGFCU96DA,0.0,0.0,0.0,無,004
光復鄉,土地,大安段998-6地號,128.0,都市：其他:住宅區,,,1100823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,10938,,0.0,0,,RPTNMLSJRHGGFBU57DA,0.0,0.0,0.0,無,
富里鄉,房地(土地+建物),花蓮縣富里鄉中興路２６號,693.71,都市：其他:住宅區,,,1100703,土地3建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0720418,294.03,0,0,3,有,無,9900000,33670,,0.0,0,,RPPNMLKMQHGGFCU66DA,276.27,17.76,0.0,無,
玉里鎮,房地(土地+建物),花蓮縣玉里鎮城南五街８號二樓,39.75,都市：其他:商業區,,,1080812,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1080508,138.18,2,2,2,有,無,5800000,41974,,0.0,0,,RPRNMLRJRHGGFCU37DA,90.77,11.41,0.0,無,005
吉安鄉,土地,光明段744地號,918.77,,一般農業區,農牧用地,1100720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2640000,2873,,0.0,0,,RPQOMLKKRHGGFAU56DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市民德四街１之７號,102.0,住,,,1100816,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0961221,199.76,5,3,3,有,無,15800000,79095,,0.0,0,含傢俱設備費；,RPOPMLTJRHGGFAU27DA,175.2,24.56,0.0,無,006
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慶北二街２０７號,112.0,住,,,1100817,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0831014,195.71,4,2,3,有,無,9800000,50074,,0.0,0,其他增建；,RPQPMLTJRHGGFAU47DA,175.16,20.55,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉明仁二街１７５巷２８號,80.0,住,,,1100817,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820212,135.7,3,2,3,有,無,8600000,63375,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPPOMLTJRHGGFAU27DA,121.38,14.32,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海三街１５８巷１６號,152.0,,特定農業區,甲種建築用地,1100812,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701229,148.49,0,0,0,無,無,6300000,42427,,0.0,0,頂樓加蓋；其他增建；,RPWOMLKKRHGGFAU17DA,148.49,0.0,0.0,無,
吉安鄉,土地,光明段727地號,3346.84,,一般農業區,農牧用地,1100715,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14678363,4386,,0.0,0,,RPOOMLLKRHGGFAU09DA,0.0,0.0,0.0,無,
吉安鄉,土地,光明段705地號,5658.03,,一般農業區,農牧用地,1100715,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24814637,4386,,0.0,0,,RPPOMLLKRHGGFAU56DA,0.0,0.0,0.0,無,
壽豐鄉,土地,志平段694-1地號,866.56,都市：其他:道路用地,,,1100814,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9698800,11192,,0.0,0,具重建或重劃、都更等效益；,RPROMLLKRHGGFAU76DA,0.0,0.0,0.0,無,007
花蓮市,房地(土地+建物),花蓮縣花蓮市建安街２０號,106.0,住,,,1100803,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0761130,117.19,3,2,4,有,無,8200000,69972,,0.0,0,頂樓加蓋；,RPUOMLLKRHGGFAU07DA,110.74,6.45,0.0,無,008
花蓮市,房地(土地+建物),花蓮縣花蓮市建國路二段４２８巷６號,82.0,住,,,1100819,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0750228,107.32,2,1,2,有,無,6300000,58703,,0.0,0,含傢俱設備費；其他增建；,RPQNMLSLQHGGFAU27DA,107.32,0.0,0.0,無,009
花蓮市,房地(土地+建物),花蓮縣花蓮市中興路１４９號,82.0,住,,,1100826,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0681026,113.75,2,2,2,有,無,7500000,65934,,0.0,0,其他增建；,RPQQMLLMQHGGFAU96DA,113.75,0.0,0.0,無,
壽豐鄉,土地,志平段522地號,211.57,都市：其他:道路用地,,,1100830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1550000,7326,,0.0,0,具重建或重劃、都更等效益；包含公共設施保留地用地；,RPROMLNJRHGGFAU86DA,0.0,0.0,0.0,無,010
花蓮市,房地(土地+建物),花蓮縣花蓮市國民八街８號七樓之五,15.18,商,,,1100812,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080808,91.21000000000001,2,2,2,有,有,7250000,79487,,0.0,0,,RPUOMLRJRHGGFAU57DA,54.6,4.92,0.0,有,
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路５０１之１號,30.53,住,,,1100730,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),店舖,鋼筋混凝土造,1080725,77.44,0,0,1,有,有,3200000,41322,,0.0,0,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPWTMLSKQHGGFAU38DA,53.48,0.0,0.0,有,
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路５０１之５號,30.53,住,,,1100730,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),店舖,鋼筋混凝土造,1080725,77.27,0,0,1,有,有,3200000,41413,,0.0,0,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPQUMLSKQHGGFAU87DA,53.33,0.0,0.0,有,
