編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOSMLQKQHGGFAU27DA,26,11.75,共有部份,鋼筋混凝土造,84年3月21日,十三層,
RPOSMLQKQHGGFAU27DA,26,101.07,住家用,鋼筋混凝土造,84年3月21日,十三層,十一層 陽台 花台
RPOSMLQKQHGGFAU27DA,26,13.37,共有部份,鋼筋混凝土造,84年3月21日,十三層,
RPTNMLKKRHGGFAU76DA,34,72.90,住商用,鋼筋混凝土造,76年11月17日,七層,一層 二層 三層 陽台
RPTNMLKKRHGGFAU76DA,34,10.09,共有部份,鋼筋混凝土造,76年11月17日,七層,
RPSNMLSLQHGGFAU47DA,27,53.64,住家用,鋼筋混凝土造,83年12月23日,四層,一層 陽台
RPSNMLSLQHGGFAU47DA,27,14.06,共有部份,鋼筋混凝土造,83年12月23日,四層,
RPORMLKLQHGGFAU66DA,26,9.53,共有部份,鋼筋混凝土造,84年3月21日,十三層,
RPORMLKLQHGGFAU66DA,26,85.99,住家用,鋼筋混凝土造,84年3月21日,十四層,八層 陽台
RPORMLKLQHGGFAU66DA,26,11.51,共有部份,鋼筋混凝土造,84年3月21日,十四層,
RPPNMLKMQHGGFCU66DA,38,294.03,住商用,鋼筋混凝土造,72年4月18日,三層,一層 二層 三層 陽台 騎樓
RPOPMLTJRHGGFAU27DA,14,199.76,住家用,鋼筋混凝土造,96年12月21日,四層,一層 二層 三層 四層 陽台 雨遮
RPQPMLTJRHGGFAU47DA,27,195.71,住家用,鋼筋混凝土造,83年10月14日,四層,一層 二層 三層 四層 陽台 平台 露台
RPWOMLKKRHGGFAU17DA,40,148.49,住家用,鋼筋混凝土加強磚造,70年12月29日,二層,一層 二層 屋頂突出物
RPPOMLTJRHGGFAU27DA,29,135.70,住家用,鋼筋混凝土造,82年2月12日,三層,一層 二層 三層 陽台 平台
RPRNMLRJRHGGFCU37DA,,102.18,住家用,鋼筋混凝土造,108年5月8日,四層,二層 陽台
RPRNMLRJRHGGFCU37DA,,36.00,共有部份,鋼筋混凝土造,108年5月8日,四層,
RPUOMLLKRHGGFAU07DA,34,117.19,住家用,鋼筋混凝土造,76年11月30日,二層,一層 二層 陽台 屋頂突出物
RPUOMLRJRHGGFAU57DA,2,59.52,集合住宅,鋼筋混凝土造,108年8月8日,十一層,七層 陽台
RPUOMLRJRHGGFAU57DA,2,31.69,本共有部分之項目有（地下一層：停車空間、車道、昇降設備、安全梯、電信室、台電配電室、電錶區及發電機室等）（地下二層：防空避難室兼停車空間、車道、昇降設備、安全梯、消防機械室及組合式水箱等）（一層：騎樓、門廳、管委會使用空間、梯廳、安全梯及昇降設備等）,鋼筋混凝土造,108年8月8日,十一層,
RPQNMLSLQHGGFAU27DA,35,107.32,住家用,鋼筋混凝土加強磚造,75年2月28日,二層,一層 二層 屋頂突出物
RPQQMLLMQHGGFAU96DA,42,113.75,住商用,鋼筋混凝土加強磚造,68年10月26日,二層,一層 二層 屋頂突出物 騎樓
RPQUMLSKQHGGFAU87DA,2,53.33,店舖,鋼筋混凝土造,108年7月25日,七層,一層
RPQUMLSKQHGGFAU87DA,,9.59,共有部份,鋼筋混凝土造,110年2月4日,七層,
RPQUMLSKQHGGFAU87DA,2,14.35,共有部份,鋼筋混凝土造,108年7月25日,七層,
RPWTMLSKQHGGFAU38DA,2,53.48,店舖,鋼筋混凝土造,108年7月25日,七層,一層
RPWTMLSKQHGGFAU38DA,,9.59,共有部份,鋼筋混凝土造,110年2月4日,七層,
RPWTMLSKQHGGFAU38DA,2,14.37,共有部份,鋼筋混凝土造,108年7月25日,七層,
RPRUMLSKQHGGFAU97DA,2,54.29,店舖,鋼筋混凝土造,108年7月25日,七層,一層
RPRUMLSKQHGGFAU97DA,,9.76,共有部份,鋼筋混凝土造,110年2月4日,七層,
RPRUMLSKQHGGFAU97DA,2,14.60,共有部份,鋼筋混凝土造,108年7月25日,七層,
RPSUMLSKQHGGFAU08DA,2,59.51,集合住宅,鋼筋混凝土造,108年7月25日,七層,三層 陽台
RPSUMLSKQHGGFAU08DA,,10.68,共有部份,鋼筋混凝土造,110年2月4日,七層,
RPSUMLSKQHGGFAU08DA,2,17.46,共有部份,鋼筋混凝土造,108年7月25日,七層,
RPSUMLSKQHGGFAU08DA,,13.88,共有部份（停車空間）,鋼筋混凝土造,110年2月4日,七層,
RPXUMLSKQHGGFAU58DA,2,57.82,集合住宅,鋼筋混凝土造,108年7月25日,七層,四層 陽台
RPXUMLSKQHGGFAU58DA,,10.34,共有部份,鋼筋混凝土造,110年2月4日,七層,
RPXUMLSKQHGGFAU58DA,2,16.42,共有部份,鋼筋混凝土造,108年7月25日,七層,
RPTUMLSKQHGGFAU18DA,2,57.80,集合住宅,鋼筋混凝土造,108年7月25日,七層,三層 陽台
RPTUMLSKQHGGFAU18DA,,10.43,共有部份,鋼筋混凝土造,110年2月4日,七層,
RPTUMLSKQHGGFAU18DA,2,16.52,共有部份,鋼筋混凝土造,108年7月25日,七層,
RPPVMLSKQHGGFAU87DA,2,58.05,集合住宅,鋼筋混凝土造,108年7月25日,七層,五層 陽台
RPPVMLSKQHGGFAU87DA,,10.43,共有部份,鋼筋混凝土造,110年2月4日,七層,
RPPVMLSKQHGGFAU87DA,2,16.52,共有部份,鋼筋混凝土造,108年7月25日,七層,
RPUUMLSKQHGGFAU28DA,2,58.20,集合住宅,鋼筋混凝土造,108年7月25日,七層,三層 陽台
