編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLTJRHGGFAU47DA,下台地段,2520.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03870001
RPSNMLTJRHGGFAU47DA,下台地段,10020.96,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03870002
RPTNMLTJRHGGFCU77DA,源城段,126.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08630000
RPTNMLTJRHGGFAU57DA,下崇德段,1859.37,都市：其他:工業區,1,1,全筆移轉,04490000
RPTNMLTJRHGGFAU57DA,下崇德段,11.05,都市：其他:道路用地,1,1,全筆移轉,04490001
RPUNMLTJRHGGFCU87DA,源城段,96.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08630007
RPOSMLQKQHGGFAU27DA,福安段,17.25,都市：住,10000,80,持分移轉,19340000
RPTNMLKKRHGGFAU76DA,主商段,11.89,都市：商,10000,97,持分移轉,07060000
RPTNMLKKRHGGFAU76DA,主商段,.43,都市：其他:道路用地,10000,97,持分移轉,07060002
RPSNMLSLQHGGFAU47DA,仁恥段,.45,都市：住,80,9,持分移轉,05470000
RPSNMLSLQHGGFAU47DA,仁恥段,23.06,都市：住,80,9,持分移轉,05490000
RPXNMLTJRHGGFAU97DA,石壁段,35.55,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14030000
RPXNMLTJRHGGFAU97DA,石壁段,9.08,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14030001
RPXNMLTJRHGGFAU97DA,石壁段,539.07,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14030002
RPSNMLTJRHGGFCU67DA,源城段,102.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08630006
RPORMLKLQHGGFAU66DA,福安段,13.37,都市：住,10000,62,持分移轉,19340000
RPPNMLKMQHGGFCU66DA,中興段,4.62,都市：其他:住宅區,1,1,全筆移轉,07030000
RPPNMLKMQHGGFCU66DA,中興段,203.09,都市：其他:住宅區,1,1,全筆移轉,07040000
RPPNMLKMQHGGFCU66DA,中興段,486.00,都市：其他:住宅區,1,1,全筆移轉,07050000
RPOPMLTJRHGGFAU27DA,民德段,102.00,都市：住,1,1,全筆移轉,05860019
RPTNMLSJRHGGFBU57DA,大安段,128.00,都市：其他:住宅區,1,1,全筆移轉,09980006
RPQOMLKKRHGGFAU56DA,光明段,918.77,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07440000
RPQPMLTJRHGGFAU47DA,慶豐段,112.00,都市：住,1,1,全筆移轉,08790024
RPPNMLOKRHGGFCU96DA,源城段,1751.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05810000
RPWOMLKKRHGGFAU17DA,南埔段,152.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,23240004
RPOOMLLKRHGGFAU09DA,光明段,802.02,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07250000
RPOOMLLKRHGGFAU09DA,光明段,518.13,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07260000
RPOOMLLKRHGGFAU09DA,光明段,911.85,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07270000
RPOOMLLKRHGGFAU09DA,光明段,552.62,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07280000
RPOOMLLKRHGGFAU09DA,光明段,562.22,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07290000
RPPOMLTJRHGGFAU27DA,太昌段,80.00,都市：住,1,1,全筆移轉,09700021
RPRNMLRJRHGGFCU37DA,玉璞段,14.12,都市：其他:商業區,8,1,持分移轉,33220000
RPRNMLRJRHGGFCU37DA,玉璞段,25.62,都市：其他:商業區,8,1,持分移轉,33230000
RPROMLNJRHGGFAU86DA,志平段,211.57,都市：其他:道路用地,2,1,持分移轉,05220000
RPUOMLLKRHGGFAU07DA,碧雲段,106.00,都市：住,1,1,全筆移轉,00270000
RPUOMLRJRHGGFAU57DA,富國段,15.18,都市：商,100000,2229,持分移轉,02510000
RPQNMLSLQHGGFAU27DA,碧雲段,82.00,都市：住,1,1,全筆移轉,01200008
RPQQMLLMQHGGFAU96DA,樹人段,82.00,都市：住,1,1,全筆移轉,02480000
RPQUMLSKQHGGFAU87DA,嘉北段,30.53,都市：住,100000,114,持分移轉,04910000
RPWTMLSKQHGGFAU38DA,嘉北段,30.53,都市：住,100000,114,持分移轉,04910000
RPRUMLSKQHGGFAU97DA,嘉北段,31.06,都市：住,100000,116,持分移轉,04910000
RPPOMLLKRHGGFAU56DA,光明段,589.10,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06970000
RPPOMLLKRHGGFAU56DA,光明段,523.86,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06980000
RPPOMLLKRHGGFAU56DA,光明段,537.58,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07010000
RPPOMLLKRHGGFAU56DA,光明段,385.47,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07020000
RPPOMLLKRHGGFAU56DA,光明段,694.88,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07030000
RPPOMLLKRHGGFAU56DA,光明段,691.66,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07040000
RPPOMLLKRHGGFAU56DA,光明段,1340.33,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07050000
RPPOMLLKRHGGFAU56DA,光明段,895.15,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07060000
RPSUMLSKQHGGFAU08DA,嘉北段,34.01,都市：住,100000,127,持分移轉,04910000
RPROMLLKRHGGFAU76DA,志平段,367.71,都市：商,1,1,全筆移轉,06940000
RPXUMLSKQHGGFAU58DA,嘉北段,32.94,都市：住,100000,123,持分移轉,04910000
RPROMLLKRHGGFAU76DA,志平段,498.85,都市：其他:道路用地,1,1,全筆移轉,06940001
RPTUMLSKQHGGFAU18DA,嘉北段,33.20,都市：住,100000,124,持分移轉,04910000
RPPVMLSKQHGGFAU87DA,嘉北段,33.20,都市：住,100000,124,持分移轉,04910000
RPUUMLSKQHGGFAU28DA,嘉北段,33.20,都市：住,100000,124,持分移轉,04910000
RPVUMLSKQHGGFAU38DA,嘉北段,33.20,都市：住,100000,124,持分移轉,04910000
RPQVMLSKQHGGFAU97DA,嘉北段,33.20,都市：住,100000,124,持分移轉,04910000
RPOVMLSKQHGGFAU77DA,嘉北段,34.01,都市：住,100000,127,持分移轉,04910000
