鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
台東市,土地,興安段132地號,1687.08,都市：其他:住宅區,,,1100710,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,61250000,36305,,0.0,0,,RPUNMLRLQHGGFAV67DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣臺東市文心街２０號三樓,26.7,都市：其他:人行步道用地,,,1100719,土地2建物1車位0,三層,八層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0840217,143.01999999999998,4,2,2,有,有,5180000,36219,,0.0,0,,RPWNMLTKPHGGFAV87DA,96.64,12.94,0.0,有,01
台東市,土地,新生段1632-13地號,3461.0,都市：其他:農業區,,,1100807,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14500000,4190,,0.0,0,,RPUOMLLJRHGGFAV07DA,0.0,0.0,0.0,無,
卑南鄉,房地(土地+建物),臺東縣卑南鄉忠孝路１２巷６之３０號,115.2,,特定農業區,甲種建築用地,1100728,土地4建物1車位0,全,三層,透天厝,鄉村住宅,鋼筋混凝土造,0840516,156.32,4,2,3,有,無,3000000,19191,,0.0,0,其他增建；,RPSNMLSJRHGGFAV47DA,127.44,28.88,0.0,無,
成功鎮,土地,忠勇段32地號,13334.41,都市：其他:住宅區,,,1100722,土地25建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320000000,23998,,0.0,0,包含公共設施保留地用地；,RPRNMLTJQHGGFBV47DA,0.0,0.0,0.0,無,
東河鄉,土地,南河段737地號,1126.09,都市：其他:保護區,,,1100820,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,888,,0.0,0,,RPPNMLMJRHGGFBV66DA,0.0,0.0,0.0,無,
太麻里鄉,土地,樂山段700地號,3065.87,,山坡地保育區,農牧用地,1100903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,489,,0.0,0,,RPQNMLSJRHGGFDV57DA,0.0,0.0,0.0,無,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５５號二樓之１１,9.96,都市：其他:出租旅館區,,,1100806,土地2建物1車位0,二層,八層,套房(1房1廳1衛),套房,鋼筋混凝土造,0840110,48.19,1,0,1,有,有,800000,16601,,0.0,0,,RPPNMLOLQHGGFDV17DA,34.68,0.0,0.0,有,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５５號二樓之１２,9.14,都市：其他:出租旅館區,,,1100806,土地2建物1車位0,二層,八層,套房(1房1廳1衛),套房,鋼筋混凝土造,0840110,43.89,1,0,1,有,有,800000,18227,,0.0,0,,RPQNMLOLQHGGFDV27DA,31.5,0.0,0.0,有,
成功鎮,土地,南都歷段1010地號,986.94,,風景區,農牧用地,1100814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,912,,0.0,0,,RPQNMLMJRHGGFBV76DA,0.0,0.0,0.0,無,
台東市,土地,建國段96地號,250.0,都市：其他:道路用地,,,1100821,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,18000,,0.0,0,,RPUNMLRJRHGGFAV57DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣臺東市洛陽街２７７巷５３號,130.0,都市：其他:住宅區,,,1100830,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700421,107.67,5,2,2,有,無,7500000,69657,,0.0,0,頂樓加蓋；其他增建；未登記建物；,RPPNMLPJRHGGFAV86DA,97.16,10.51,0.0,無,
台東市,房地(土地+建物),臺東縣臺東市四維路一段５５８巷５６號,106.0,都市：其他:住宅區,,,1100823,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0731017,109.8,4,3,2,有,無,4500000,40984,,0.0,0,頂樓加蓋；其他增建；未登記建物；,RPRNMLPJRHGGFAV07DA,95.64,14.16,0.0,無,02
台東市,土地,合江段128-3地號,209.66,,鄉村區,乙種建築用地,1100623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4122000,19660,,0.0,0,,RPROMLKKQHGGFAV66DA,0.0,0.0,0.0,無,03
台東市,房地(土地+建物),臺東縣臺東市仁和街７７巷５號,114.43,都市：其他:住宅區,,,1100810,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0790511,141.35,4,2,4,有,無,7600000,53767,,0.0,0,,RPOPMLKKQHGGFAV09DA,141.35,0.0,0.0,無,04
台東市,土地,豐川段609地號,3718.12,,特定農業區,農牧用地,1100722,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5700000,1533,,0.0,0,農作物；,RPPNMLNLQHGGFAV76DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣臺東市漢口街２４巷１號,79.0,都市：其他:住宅區,,,1100823,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700825,100.8,7,2,4,有,無,7860000,77976,,0.0,0,,RPROMLNLQHGGFAV07DA,100.8,0.0,0.0,無,05
台東市,房地(土地+建物),臺東縣臺東市中華路一段１３６號五樓之１,4.98,都市：其他:住宅區,,,1100827,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0840517,33.62,1,0,1,有,無,750000,22308,,0.0,0,,RPXOMLQJRHGGFAV87DA,19.2,0.0,0.0,有,
台東市,房地(土地+建物),臺東縣臺東市漢陽北路８６巷２６弄１８之３號,99.97,都市：其他:住宅區,,,1100712,土地1建物1車位0,全,三層,透天厝,Ｈ２住宅,ＲＣ造,1100205,163.94,3,2,4,有,無,12000000,73198,,0.0,0,,RPSNMLMKPHGGFAV76DA,146.32,17.62,0.0,無,
台東市,房地(土地+建物),臺東縣臺東市長沙街２０６巷１７弄５號二樓,58.76,都市：其他:住宅區,,,1100814,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0840706,120.94,3,2,2,有,有,4500000,37209,,0.0,0,,RPSNMLRJRHGGFAV37DA,91.06,11.43,0.0,無,
卑南鄉,土地,利家段5347-1地號,10998.0,,特定農業區,農牧用地,1100815,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21000000,1909,,0.0,0,,RPQNMLTJRHGGFAV37DA,0.0,0.0,0.0,無,06
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５１號四樓之２,7.72,都市：其他:出租旅館區,,,1100830,土地1建物1車位0,四層,八層,套房(1房1廳1衛),出租套房,鋼筋混凝土造,0821108,48.57,1,0,1,有,有,930000,19148,,0.0,0,含傢俱設備費；,RPQNMLLMQHGGFDV07DA,29.56,6.0,0.0,有,
長濱鄉,土地,中柄段117地號,1521.55,,風景區,農牧用地,1100901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,657,,0.0,0,,RPPNMLKKRHGGFBV56DA,0.0,0.0,0.0,無,
台東市,土地,豐樂段3321-5地號,6.0,,,,1100820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,229200,38200,,0.0,0,政府機關標讓售；,RPRNMLNKRHGGFAV07EA,0.0,0.0,0.0,無,
卑南鄉,土地,利家段6649地號,826.0,,特定農業區,農牧用地,1100813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,3027,,0.0,0,,RPQNMLSJRHGGFAV27DA,0.0,0.0,0.0,無,
卑南鄉,土地,利家段6635地號,2068.0,,特定農業區,農牧用地,1100813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4600000,2224,,0.0,0,,RPRNMLSJRHGGFAV37DA,0.0,0.0,0.0,無,
