編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLTKPHGGFAV87DA,26,109.58,集合住宅,鋼筋混凝土造,84年2月17日,八層,三層 陽台 花台
RPWNMLTKPHGGFAV87DA,26,19.35,防空避難室暨停車空間、配電室,鋼筋混凝土造,84年2月17日,八層,
RPWNMLTKPHGGFAV87DA,26,14.08,車道、警衛室、托兒所、電梯、樓梯,鋼筋混凝土造,84年2月17日,八層,
RPSNMLSJRHGGFAV47DA,26,156.32,鄉村住宅,鋼筋混凝土造,84年5月16日,三層,一層 二層 三層 見其他登記事項
RPQNMLOLQHGGFDV27DA,27,7.92,人行樓梯、電梯．大廳．防空避難室．屋頂突出物　,鋼筋混凝土造,84年1月10日,八層,
RPQNMLOLQHGGFDV27DA,27,4.47,走廊,鋼筋混凝土造,84年1月10日,八層,
RPQNMLOLQHGGFDV27DA,27,31.50,套房,鋼筋混凝土造,84年1月10日,八層,二層
RPPNMLOLQHGGFDV17DA,27,8.62,人行樓梯、電梯．大廳．防空避難室．屋頂突出物　,鋼筋混凝土造,84年1月10日,八層,
RPPNMLOLQHGGFDV17DA,27,4.89,走廊,鋼筋混凝土造,84年1月10日,八層,
RPPNMLOLQHGGFDV17DA,27,34.68,套房,鋼筋混凝土造,84年1月10日,八層,二層
RPOPMLKKQHGGFAV09DA,31,141.35,住家用,鋼筋混凝土造,79年5月11日,三層,一層 二層 三層 夾層
RPRNMLPJRHGGFAV07DA,37,109.80,住家用,加強磚造,73年10月17日,二層,一層 二層 陽台 平台
RPPNMLPJRHGGFAV86DA,40,107.67,住家用,加強磚造,70年4月21日,二層,一層 二層 陽台
RPROMLNLQHGGFAV07DA,40,100.80,住家用,加強磚造,70年8月25日,二層,一層 二層
RPSNMLMKPHGGFAV76DA,,163.94,Ｈ２住宅,ＲＣ造,110年2月5日,三層,一層 二層 三層 見其他登記事項
RPQNMLLMQHGGFDV07DA,28,35.56,出租套房,鋼筋混凝土造,82年11月8日,八層,四層 陽台
RPQNMLLMQHGGFDV07DA,28,13.01,出租套房、通道、停車場、避難室．屋頂突出物,鋼筋混凝土造,82年11月8日,八層,
RPSNMLRJRHGGFAV37DA,26,8.80,避難室,鋼筋混凝土造,84年7月6日,四層,
RPSNMLRJRHGGFAV37DA,26,.59,樓梯間等五項,鋼筋混凝土造,84年7月6日,,
RPSNMLRJRHGGFAV37DA,26,.58,樓梯間等伍項,鋼筋混凝土造,84年7月6日,,
RPSNMLRJRHGGFAV37DA,26,1.45,樓梯間等伍項,鋼筋混凝土造,84年7月6日,四層,
RPSNMLRJRHGGFAV37DA,26,.59,樓梯間等伍項,鋼筋混凝土造,84年7月6日,,
RPXOMLQJRHGGFAV87DA,26,10.10,通廊．電梯．汽車昇降孔．共同使用,鋼筋混凝土造,84年5月17日,七層,
RPSNMLRJRHGGFAV37DA,26,.59,樓梯間,鋼筋混凝土造,84年7月6日,,
RPSNMLRJRHGGFAV37DA,26,.59,樓梯間,鋼筋混凝土造,84年7月6日,,
RPXOMLQJRHGGFAV87DA,26,4.32,防空．避難室．停車空間．共同使用,鋼筋混凝土造,84年5月17日,七層,
RPSNMLRJRHGGFAV37DA,26,.59,樓梯間,鋼筋混凝土造,84年7月6日,,
RPSNMLRJRHGGFAV37DA,26,.59,樓梯間,鋼筋混凝土造,84年7月6日,,
RPXOMLQJRHGGFAV87DA,26,19.20,集合住宅,鋼筋混凝土造,84年5月17日,七層,五層
RPSNMLRJRHGGFAV37DA,26,.59,樓梯間,鋼筋混凝土造,84年7月6日,,
RPSNMLRJRHGGFAV37DA,26,.58,樓梯間,鋼筋混凝土造,84年7月6日,,
RPSNMLRJRHGGFAV37DA,26,.58,樓梯間等伍項,鋼筋混凝土造,84年7月6日,,
RPSNMLRJRHGGFAV37DA,26,.58,樓梯間,鋼筋混凝土造,84年7月6日,,
RPSNMLRJRHGGFAV37DA,26,.58,樓梯間,鋼筋混凝土造,84年7月6日,,
RPSNMLRJRHGGFAV37DA,26,.58,樓梯間,鋼筋混凝土造,84年7月6日,,
RPSNMLRJRHGGFAV37DA,26,.59,樓梯間,鋼筋混凝土造,84年7月6日,,
RPSNMLRJRHGGFAV37DA,26,102.49,集合住宅,鋼筋混凝土造,84年7月6日,四層,二層 陽台
RPQNMLKKRHGGFAV56DA,,204.23,Ｈ２住宅、樓梯間,鋼筋混凝土造,110年7月13日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLNKRHGGFAV86DA,27,200.30,停車空間．住宅,鋼筋混凝土造,84年1月28日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPXNMLKKRHGGFAV27DA,,82.50,住商用,鐵筋水泥磚造,,二層,一層 二層
RPXNMLKKRHGGFAV27DA,,27.93,住家用,木造,,一層,一層
RPTNMLNKRHGGFAV17DA,39,120.45,住家用,加強磚造,71年2月18日,一層,一層 廚房
RPQNMLPJRHGGFAV96DA,,101.52,,加強磚造,73年2月0日,二層,一層 二層 陽台 騎樓
RPWNMLMLPHGGFAV27DA,41,107.24,住家用,加強磚造,69年5月12日,二層,一層 二層
RPUNMLLMQHGGFAV17DA,,263.21,Ｈ２住宅,鋼筋混凝土造,110年7月13日,四層,一層 二層 三層 四層 見其他登記事項
RPVNMLLMQHGGFAV27DA,,173.27,Ｈ２住宅,鋼筋混凝土造,110年7月13日,三層,一層 二層 三層 見其他登記事項
RPWNMLLMQHGGFAV37DA,,200.53,Ｈ２住宅、樓梯間,鋼筋混凝土造,110年7月13日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPOOMLLMQHGGFAV66DA,,193.05,Ｈ２住宅、樓梯間,鋼筋混凝土造,110年7月13日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPXNMLLMQHGGFAV47DA,,204.75,Ｈ２住宅、樓梯間,鋼筋混凝土造,110年7月13日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPROMLQKQHGGFAV27DA,29,137.84,住家用,鋼筋混凝土造,81年3月24日,三層,一層 二層 三層
RPXNMLOLQHGGFAV67DA,41,83.70,住家用,加強磚造,69年7月5日,二層,一層 二層
RPQNMLTKQHGGFAV37DA,44,112.14,住家用,鋼筋水泥加強磚造,66年10月3日,二層,一層 二層 騎樓
RPSNMLRLQHGGFAV47DA,28,339.13,住家用,鋼筋混凝土造,82年3月22日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPNMLOJRHGGFAV76DA,,14.92,汽車昇降機間．避難室停車場,鋼筋混凝土造,,一層,
RPPNMLOJRHGGFAV76DA,40,16.57,公共通道及水塔,鋼筋混凝土造,70年10月21日,七層,
RPPNMLRJRHGGFAV07DA,27,110.35,集合住宅　　,鋼筋混凝土造,84年2月17日,八層,一層 平台 花台
RPPNMLOJRHGGFAV76DA,40,92.00,住家用,鋼筋混凝土造,70年10月21日,七層,七層 陽台
