編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMJRHGGFBV66DA,南河段,1082.96,都市：其他:保護區,1,1,全筆移轉,07370000
RPPNMLMJRHGGFBV66DA,南河段,43.13,都市：其他:保護區,1,1,全筆移轉,07460000
RPUNMLRLQHGGFAV67DA,興安段,1687.08,都市：其他:住宅區,1,1,全筆移轉,01320000
RPWNMLTKPHGGFAV87DA,東海段,25.08,都市：其他:住宅區,10000,42,持分移轉,01300000
RPWNMLTKPHGGFAV87DA,東海段,1.62,都市：其他:人行步道用地,10000,42,持分移轉,01300002
RPQNMLSJRHGGFDV57DA,樂山段,3065.87,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07000000
RPQNMLMJRHGGFBV76DA,南都歷段,986.94,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,10100000
RPSNMLSJRHGGFAV47DA,煙草間段,85.95,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02010000
RPSNMLSJRHGGFAV47DA,煙草間段,5.17,非都市：特定農業區 ; 非都市編定：甲種建築用地,22,1,持分移轉,02080000
RPSNMLSJRHGGFAV47DA,煙草間段,2.78,非都市：特定農業區 ; 非都市編定：甲種建築用地,22,1,持分移轉,02100000
RPSNMLSJRHGGFAV47DA,煙草間段,21.30,非都市：特定農業區 ; 非都市編定：甲種建築用地,22,1,持分移轉,02110000
RPQNMLOLQHGGFDV27DA,秀山段,.65,都市：其他:道路用地,10000,56,持分移轉,03470000
RPQNMLOLQHGGFDV27DA,秀山段,8.50,都市：其他:出租旅館區,10000,56,持分移轉,03470001
RPUOMLLJRHGGFAV07DA,新生段,790.00,都市：其他:農業區,1,1,全筆移轉,16320012
RPUOMLLJRHGGFAV07DA,新生段,2671.00,都市：其他:農業區,1,1,全筆移轉,16320013
RPPNMLOLQHGGFDV17DA,秀山段,.70,都市：其他:道路用地,10000,61,持分移轉,03470000
RPPNMLOLQHGGFDV17DA,秀山段,9.25,都市：其他:出租旅館區,10000,61,持分移轉,03470001
RPOPMLKKQHGGFAV09DA,大業段,114.43,都市：其他:住宅區,1,1,全筆移轉,01570000
RPROMLKKQHGGFAV66DA,合江段,209.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01280003
RPPNMLNLQHGGFAV76DA,豐川段,2083.29,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06090000
RPPNMLNLQHGGFAV76DA,豐川段,1634.83,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06120000
RPRNMLPJRHGGFAV07DA,台東段,86.00,都市：其他:住宅區,1,1,全筆移轉,00080404
RPRNMLPJRHGGFAV07DA,台東段,20.00,都市：其他:住宅區,1,1,全筆移轉,00080408
RPPNMLPJRHGGFAV86DA,中心段,130.00,都市：其他:住宅區,1,1,全筆移轉,02720000
RPUNMLRJRHGGFAV57DA,建國段,234.22,都市：其他:住宅區,1,1,全筆移轉,00960000
RPUNMLRJRHGGFAV57DA,建國段,15.78,都市：其他:道路用地,1,1,全筆移轉,00960001
