鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉伯玉路二段２１７巷８號,733.0,都市：其他:農業區,,,1100716,土地1建物1車位0,全,三層,透天厝,農舍,鋼筋混凝土造,1100607,377.22,9,3,8,有,無,20000000,53019,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLKKRHGGFAW37DA,360.5,16.72,0.0,無,
金城鎮,土地,燕南山段48地號,677.36,都市：其他:農業區,,,1100906,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,1476,,0.0,0,,RPSOMLKKRHGGFAW07EA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮市港五路１６６之１號８樓,7.62,都市：其他:第二種商業區,,,1100414,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),旅館,鋼筋混凝土造,1090408,53.67,1,1,1,有,無,4750000,88504,,0.0,0,,RPSNMLKKRHGGFAW96EA,29.14,5.99,0.0,有,
金沙鎮,土地,浯坑劃測段648地號,1382.02,都市：其他:道路用地,,,1100823,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6900000,4993,,0.0,0,,RPXNMLLKRHGGFAW47DA,0.0,0.0,0.0,無,
金城鎮,土地,城東段574地號,17.59,都市：其他:道路用地,,,1100907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,619000,35190,,0.0,0,,RPXNMLRJRHGGFAW97DA,0.0,0.0,0.0,無,
金寧鄉,土地,寧安二劃段105地號,1000.0,都市：其他:農業區,,,1100823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4300000,4300,,0.0,0,,RPQOMLRJRHGGFAW37DA,0.0,0.0,0.0,無,
金城鎮,土地,城東段576地號,7.9,都市：其他:道路用地,,,1100907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,278000,35190,,0.0,0,,RPPNMLSJRHGGFAW27DA,0.0,0.0,0.0,無,
金城鎮,土地,祥瑞段847地號,31.31,都市：其他:道路用地,,,1100903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,38326,,0.0,0,包含公共設施保留地之交易。；,RPTNMLSJRHGGFAW67DA,0.0,0.0,0.0,無,01
金城鎮,房地(土地+建物),金門縣金城鎮西海路三段３９巷２弄２號四樓,45.46,都市：其他:農業區,,,1100823,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100611,106.32,3,2,2,有,無,6800000,63958,,0.0,0,,RPUNMLLMQHGGFAW27DA,78.36,7.58,0.0,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下３８０之１６號二樓,26.7,都市：其他:自然村專用區,,,1100831,土地2建物1車位0,二層,四層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090612,62.94,2,1,1,有,有,4070000,64665,,0.0,0,,RPUNMLRJRHGGFAW67DA,46.12,3.34,0.0,有,
金城鎮,房地(土地+建物),金門縣金城鎮西海路三段３９巷２弄５號二樓,45.46,都市：其他:農業區,,,1100823,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100611,106.32,3,2,2,有,無,6800000,63958,,0.0,0,,RPSNMLLKRHGGFAW96DA,78.36,7.58,0.0,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐４２之５號,41.1,都市：其他:自然村專用區,,,1100805,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1100415,75.57000000000001,3,2,2,有,無,4300000,56901,,0.0,0,,RPOOMLKKRHGGFAW56DA,61.72,6.04,0.0,無,
金城鎮,土地,祥瑞段847地號,280.68,都市：其他:道路用地,,,1100903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10706000,38143,,0.0,0,包含公共設施保留地之交易。；,RPWNMLSJRHGGFAW97DA,0.0,0.0,0.0,無,01
金沙鎮,土地,官嶼劃段361地號,540.0,都市：其他:農業區,,,1100831,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,2222,,0.0,0,,RPSNMLLMQHGGFAW07DA,0.0,0.0,0.0,無,03
金沙鎮,土地,官嶼劃段361地號,540.0,都市：其他:農業區,,,1100831,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,2593,,0.0,0,,RPTNMLLMQHGGFAW17DA,0.0,0.0,0.0,無,03
金寧鄉,房地(土地+建物),金門縣金寧鄉西山５１號二樓,35.21,都市：其他:自然村專用區,,,1100901,土地2建物1車位0,二層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100319,77.53,2,2,2,有,無,4200000,54173,,0.0,0,,RPSNMLLJRHGGFAW86DA,53.54,6.06,0.0,有,
金城鎮,土地,燕南山段1062地號,2341.01,都市：其他:國家公園區,,,1100830,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,854,,0.0,0,,RPPOMLKKRHGGFAW66DA,0.0,0.0,0.0,無,
金城鎮,房地(土地+建物),金門縣金城鎮西海路三段３９巷２弄５號四樓,45.46,都市：其他:農業區,,,1100823,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100611,106.32,3,2,2,有,無,6800000,63958,,0.0,0,,RPSNMLPKRHGGFAW37DA,78.36,7.58,0.0,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉頂堡２５３號,50.2,都市：其他:自然村專用區,,,1100826,土地2建物1車位0,一層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1040609,95.06,2,2,2,有,無,6500000,68378,,0.0,0,,RPUNMLPKRHGGFAW57DA,84.45,1.64,0.0,無,05
金寧鄉,土地,中三劃測段533-2地號,11.77,都市：其他:農業區,,,1100831,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,77682,6600,,0.0,0,,RPWNMLKKRHGGFAW27DA,0.0,0.0,0.0,無,
金城鎮,土地,泗湖村測段4地號,315.01,都市：其他:農業區,,,1100907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1140000,3619,,0.0,0,,RPUNMLSJRHGGFAW77DA,0.0,0.0,0.0,無,
