編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLKKRHGGFAW96EA,1,35.13,旅館,鋼筋混凝土造,109年4月8日,十層,八層 陽台 雨遮
RPSNMLKKRHGGFAW96EA,1,18.54,店舖、集合住宅、本建物共有部分之項目有車道、排風機房、緊急昇降機、客梯兼無障礙電梯、廢水池、消防幫浦室、蓄水池、甲梯、進風機房、防空避難室兼停車空間、電信機房、乙梯、梯廳、汙物處理室、台電受電室、設備空間、機械室、停車空間、迴轉空間、發電機室、排煙室、消防設備空間、雨遮、陽台、管委會空間等共計２５項。,鋼筋混凝土造,109年4月8日,十層,
RPUNMLLMQHGGFAW27DA,,85.94,集合住宅,鋼筋混凝土造,110年6月11日,五層,四層 陽台
RPUNMLLMQHGGFAW27DA,,20.38,集合住宅：本共有部分項目有電訊室、機電空間、梯廳、門廳等４項。,鋼筋混凝土造,110年6月11日,五層,
RPUNMLRJRHGGFAW67DA,1,49.46,集合住宅,鋼筋混凝土造,109年6月12日,四層,二層 陽台
RPUNMLRJRHGGFAW67DA,1,13.48,集合住宅：本共有部分之項目計有無障礙電梯、梯廳、樓梯間、水塔間等４項。,鋼筋混凝土造,109年6月12日,四層,
RPXNMLKKRHGGFAW37DA,,377.22,農舍,鋼筋混凝土造,110年6月7日,三層,一層 二層 三層 陽台
RPSNMLLKRHGGFAW96DA,,85.94,集合住宅,鋼筋混凝土造,110年6月11日,五層,二層 陽台
RPSNMLLKRHGGFAW96DA,,20.38,集合住宅：本共有部分項目有電訊室、機電空間、梯廳、門廳等４項。,鋼筋混凝土造,110年6月11日,五層,
RPSNMLLJRHGGFAW86DA,,59.60,集合住宅,鋼筋混凝土造,110年3月19日,五層,二層 陽台
RPSNMLLJRHGGFAW86DA,,17.93,集合住宅、本共有部分之項目計有甲梯間、無障礙電梯（甲）、甲梯廳、乙梯間、無障礙電梯（乙）、乙梯廳、丙梯間、無障礙電梯（丙）、丙梯廳、停車空間、機房、水塔間等１２項。,鋼筋混凝土造,110年3月19日,五層,
RPOOMLKKRHGGFAW56DA,,67.76,集合住宅,鋼筋混凝土造,110年4月15日,三層,一層 陽台
RPOOMLKKRHGGFAW56DA,,7.81,集合住宅：本建物共有部分有樓梯１項。,鋼筋混凝土造,110年4月15日,三層,
RPSNMLPKRHGGFAW37DA,,85.94,集合住宅,鋼筋混凝土造,110年6月11日,五層,四層 陽台
RPSNMLPKRHGGFAW37DA,,20.38,集合住宅：本共有部分項目有電訊室、機電空間、梯廳、門廳等４項。,鋼筋混凝土造,110年6月11日,五層,
RPUNMLPKRHGGFAW57DA,6,86.09,集合住宅,鋼筋混凝土造,104年6月9日,三層,一層 陽台
RPUNMLPKRHGGFAW57DA,6,8.97,共有部分：本共有部分之項目計有樓梯間１項。,鋼筋混凝土造,104年6月9日,三層,
