編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLKKRHGGFAW96EA,市港段,7.62,都市：其他:第二種商業區,100000,731,持分移轉,00930000
RPPNMLSJRHGGFAW27DA,城東段,7.90,都市：其他:道路用地,1,1,全筆移轉,05760000
RPTNMLSJRHGGFAW67DA,祥瑞段,31.31,都市：其他:道路用地,60000,729,持分移轉,08470000
RPUNMLLMQHGGFAW27DA,延平段,45.46,都市：其他:農業區,20,1,持分移轉,05340001
RPSOMLKKRHGGFAW07EA,燕南山段,344.25,都市：其他:農業區,1,1,全筆移轉,00480000
RPUNMLRJRHGGFAW67DA,煙墩段,9.88,都市：其他:自然村專用區,10000,163,持分移轉,10060000
RPSOMLKKRHGGFAW07EA,燕南山段,333.11,都市：其他:農業區,1,1,全筆移轉,00490000
RPUNMLRJRHGGFAW67DA,煙墩段,16.82,都市：其他:自然村專用區,10000,163,持分移轉,10070000
RPXNMLKKRHGGFAW37DA,中三劃測段,733.00,都市：其他:農業區,1,1,全筆移轉,07080000
RPXNMLLKRHGGFAW47DA,浯坑劃測段,1258.34,都市：其他:農業區,1,1,全筆移轉,06480000
RPXNMLLKRHGGFAW47DA,浯坑劃測段,123.68,都市：其他:道路用地,1,1,全筆移轉,06480001
RPQOMLRJRHGGFAW37DA,寧安二劃段,1000.00,都市：其他:農業區,1,1,全筆移轉,01050000
RPXNMLRJRHGGFAW97DA,城東段,17.59,都市：其他:道路用地,1,1,全筆移轉,05740000
RPWNMLKKRHGGFAW27DA,中三劃測段,11.77,都市：其他:農業區,1,1,全筆移轉,05330002
RPTNMLLMQHGGFAW17DA,官嶼劃段,531.36,都市：其他:農業區,2,1,持分移轉,03610000
RPTNMLLMQHGGFAW17DA,官嶼劃段,8.64,都市：其他:農業區,2,1,持分移轉,03610002
RPSNMLLKRHGGFAW96DA,延平段,45.46,都市：其他:農業區,20,1,持分移轉,05340001
RPSNMLLJRHGGFAW86DA,西山段,24.47,都市：其他:農業區,10000,349,持分移轉,06090000
RPSNMLLJRHGGFAW86DA,西山段,10.75,都市：其他:自然村專用區,10000,349,持分移轉,06090001
RPWNMLSJRHGGFAW97DA,祥瑞段,280.68,都市：其他:道路用地,60000,6535,持分移轉,08470000
RPPOMLKKRHGGFAW66DA,古崗段,486.50,都市：其他:農業區,1,1,全筆移轉,03100000
RPPOMLKKRHGGFAW66DA,燕南山段,530.31,都市：其他:農業區,1,1,全筆移轉,10100000
RPPOMLKKRHGGFAW66DA,燕南山段,809.63,都市：其他:農業區,1,1,全筆移轉,10620000
RPPOMLKKRHGGFAW66DA,珠山段,182.07,都市：其他:國家公園區,1,1,全筆移轉,13370000
RPPOMLKKRHGGFAW66DA,珠山段,332.50,都市：其他:國家公園區,1,1,全筆移轉,13390000
RPOOMLKKRHGGFAW56DA,安岐村測段,41.10,都市：其他:自然村專用區,100000,9975,持分移轉,02120000
RPUNMLSJRHGGFAW77DA,泗湖村測段,315.01,都市：其他:農業區,1,1,全筆移轉,00040000
RPSNMLLMQHGGFAW07DA,官嶼劃段,531.36,都市：其他:農業區,2,1,持分移轉,03610000
RPSNMLLMQHGGFAW07DA,官嶼劃段,8.64,都市：其他:農業區,2,1,持分移轉,03610002
RPSNMLPKRHGGFAW37DA,延平段,45.46,都市：其他:農業區,20,1,持分移轉,05340001
RPUNMLPKRHGGFAW57DA,青山段,34.37,都市：其他:自然村專用區,100000,10271,持分移轉,09850000
RPUNMLPKRHGGFAW57DA,青山段,15.84,都市：其他:自然村專用區,100000,6970,持分移轉,09850001
