鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
馬公市,房地(土地+建物),澎湖縣馬公市東衛１５８之５號,125.38,,鄉村區,乙種建築用地,1100719,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0850327,211.42,5,1,5,有,無,7000000,33109,,0.0,0,,RPWNMLKLPHGGFAX27DA,208.22,3.2,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市民權路３５號,377.0,都市：其他:商業區,,,1100818,土地1建物1車位0,全,一層,透天厝,店舖,鋼骨造,0890728,303.58,1,1,2,有,無,47900000,157784,,0.0,0,,RPPOMLSKQHGGFAX47DA,303.58,0.0,0.0,無,01
馬公市,土地,五德西段98-1地號,250.6,,一般農業區,甲種建築用地,1100827,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4650000,18555,,0.0,0,本案權利人數:1人。含未來興建房屋1棟。,RPQNMLLJRHGGFAX76DA,0.0,0.0,0.0,無,
馬公市,土地,五德西段98-2地號,258.17,,一般農業區,農牧用地,1100607,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5180000,20064,,0.0,0,此為農變建興建房屋含未來房屋興建工程之費用土地交易案件之價格含未來興建房屋成本；,RPSNMLLJRHGGFAX96DA,0.0,0.0,0.0,無,02
馬公市,房地(土地+建物),澎湖縣馬公市西衛１８４號,375.27,,一般農業區,農牧用地,1100817,土地3建物1車位0,全,一層,透天厝,住家用,造,,8.22,0,0,0,無,無,3073750,373936,,0.0,0,,RPXNMLLJRHGGFAX47DA,5.46,2.75,0.0,無,03
馬公市,房地(土地+建物),澎湖縣馬公市西文澳１０９號,224.66,都市：其他:住宅區,,,1100831,土地4建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強空心磚造,0590515,41.79,3,2,1,有,無,15567000,372505,,0.0,0,,RPRNMLMJRHGGFAX96DA,41.79,0.0,0.0,無,04
馬公市,房地(土地+建物),澎湖縣馬公市東衛１５５之１０號,84.94,,鄉村區,乙種建築用地,1100802,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830603,188.32,5,1,3,有,無,5500000,29206,,0.0,0,,RPVNMLNJRHGGFAX47DA,172.38,15.94,0.0,無,05
馬公市,房地(土地+建物),澎湖縣馬公市林森路８７巷１２號,81.24,都市：其他:住宅區,,,1100804,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0651125,72.0,5,2,2,有,無,6500000,90278,,0.0,0,,RPTNMLQJRHGGFAX57DA,72.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市中華路１８４巷１６號五樓之一,10.1,都市：其他:住宅區,,,1100812,土地2建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820422,33.46,1,1,1,有,無,1100000,32875,,0.0,0,,RPUNMLQJRHGGFAX67DA,22.89,0.0,0.0,有,06
馬公市,土地,五德西段307地號,26.61,,鄉村區,乙種建築用地,1100809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,333334,12527,,0.0,0,地清或未辦繼承標售；,RPSNMLSJRHGGFAX67DA,0.0,0.0,0.0,無,
馬公市,土地,五德西段98-2地號,258.06,,一般農業區,農牧用地,1100607,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5130000,19879,,0.0,0,此為農變建含未來興建房屋工程之費用土地交易案件之價格含未來興建房屋成本；,RPVNMLLJRHGGFAX27DA,0.0,0.0,0.0,無,02
馬公市,房地(土地+建物)+車位,澎湖縣馬公市文山路２１號七樓,32.59,都市：其他:住宅區,,,1100814,土地2建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860628,162.14,3,2,2,有,有,4500000,27754,坡道平面,0.0,0,,RPQNMLRKQHGGFAX37DA,115.02,7.17,0.0,有,
七美鄉,土地,七美二段939地號,44.84,,一般農業區,農牧用地,1100824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,305360,6810,,0.0,0,政府機關標讓售；,RPXNMLKMQHGGFAX57DA,0.0,0.0,0.0,無,
馬公市,土地,五福段885-2地號,173.41,,一般農業區,農牧用地,1100811,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3150000,18165,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJRHGGFAX07DA,0.0,0.0,0.0,無,
馬公市,土地,北澳段117-7地號,10.82,,鄉村區,乙種建築用地,1100902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,322436,29800,,0.0,0,政府機關標讓售；,RPRNMLTJRHGGFAX77EA,0.0,0.0,0.0,無,
馬公市,土地,鐵線段614地號,567.0,,一般農業區,農牧用地,1100824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1066666,1881,,0.0,0,地清或未辦繼承標售；,RPQNMLSJRHGGFAX57EA,0.0,0.0,0.0,無,
白沙鄉,土地,講美段558地號,57.96,,鄉村區,乙種建築用地,1100706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,201000,3468,,0.0,0,地清或未辦繼承標售；,RPRNMLSJRHGGFAX67EA,0.0,0.0,0.0,無,
白沙鄉,土地,小赤段384地號,448.09,,一般農業區,農牧用地,1100715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1680000,3749,,0.0,0,,RPTNMLLKQHGGFAX07DA,0.0,0.0,0.0,無,08
湖西鄉,土地,許家段537地號,214.02,,一般農業區,甲種建築用地,1100820,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,17755,,0.0,0,,RPTNMLTJRHGGFAX87DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市北辰街１５之３號,48.93,都市：其他:住宅區,,,1100827,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0730629,101.37,3,1,2,有,無,4000000,39459,,0.0,0,,RPSNMLRLQHGGFAX67DA,101.37,0.0,0.0,無,09
馬公市,土地,中衛段1654地號,4374.61,,一般農業區,農牧用地,1100827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,43000000,9829,,0.0,0,,RPUNMLRLQHGGFAX87DA,0.0,0.0,0.0,無,10
湖西鄉,土地,南寮北段1197地號,660.35,,一般農業區,農牧用地,1100817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1436000,2175,,0.0,0,地清或未辦繼承標售；,RPPNMLSJRHGGFAX47EA,0.0,0.0,0.0,無,
馬公市,土地,國宅段192地號,623.35,,一般農業區,農牧用地,1100825,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,3690,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLNKRHGGFAX37DA,0.0,0.0,0.0,無,
湖西鄉,土地,湖東新段306地號,68.81,,鄉村區,乙種建築用地,1100824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,211000,3066,,0.0,0,地清或未辦繼承標售；,RPVNMLKKRHGGFAX37EA,0.0,0.0,0.0,無,
馬公市,土地,烏崁新段1264-5地號,96.02,,鄉村區,乙種建築用地,1100902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1108071,11540,,0.0,0,政府機關標讓售；,RPRNMLLKRHGGFAX07EA,0.0,0.0,0.0,無,
七美鄉,土地,七美三段2214地號,376.23,,一般農業區,農牧用地,1100810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,415000,1103,,0.0,0,地清或未辦繼承標售；,RPQNMLKKRHGGFAX86EA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市鎖管港４９３號,199.84,都市：其他:住宅區,,,1100712,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0810528,182.18,4,2,2,有,無,5300000,29092,,0.0,0,,RPUNMLKKRHGGFAX17DA,182.18,0.0,0.0,無,
湖西鄉,土地,紅羅段2131地號,923.46,,一般農業區,農牧用地,1100830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32960000,35692,,0.0,0,權利人數:5人。含未來興建房屋6棟之費用。土地交易案件之價格含未來興建房屋成本；,RPXNMLNJRHGGFAX67DA,0.0,0.0,0.0,無,
馬公市,土地,光華段418地號,1370.44,,一般農業區,農牧用地,1100730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29440000,21482,,0.0,0,農變建專案核准興建住宅權利人6人,RPRNMLPKRHGGFAX37DA,0.0,0.0,0.0,無,
