編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLKLPHGGFAX27DA,25,211.42,住家用,鋼筋混凝土造,85年3月27日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPRNMLMJRHGGFAX96DA,51,41.79,住家用,鋼筋混凝土加強空心磚造,59年5月15日,一層,一層
RPTNMLQJRHGGFAX57DA,45,72.00,住家用,鋼筋混凝土加強磚造,65年11月25日,二層,一層 二層
RPUNMLQJRHGGFAX67DA,28,22.89,住家用,鋼筋混凝土造,82年4月22日,五層,五層
RPUNMLQJRHGGFAX67DA,28,8.77,避難室,鋼筋混凝土造,82年4月22日,五層,
RPUNMLQJRHGGFAX67DA,28,1.80,走道,鋼筋混凝土造,82年4月22日,五層,
RPPOMLSKQHGGFAX47DA,21,303.58,店舖,鋼骨造,89年7月28日,一層,一層
RPVNMLNJRHGGFAX47DA,27,188.32,住家用,鋼筋混凝土造,83年6月3日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPXNMLLJRHGGFAX47DA,,8.22,住家用,造,,一層,一層 見其他登記事項
RPQNMLRKQHGGFAX37DA,24,122.19,住家用,鋼筋混凝土造,86年6月28日,八層,七層 陽台
RPQNMLRKQHGGFAX37DA,24,39.95,住家用,鋼筋混凝土造,86年6月28日,八層,
RPSNMLRLQHGGFAX67DA,37,101.00,集合住宅,鋼筋混凝土造,73年6月29日,五層,四層
RPSNMLRLQHGGFAX67DA,37,.37,集合住宅,鋼筋混凝土造,73年6月29日,五層,一層
RPUNMLKKRHGGFAX17DA,29,182.18,住家用,鋼筋混凝土加強磚造,81年5月28日,二層,一層 二層 電梯樓梯間 夾層
