編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLKLPHGGFAX27DA,文東段,112.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01760000
RPWNMLKLPHGGFAX27DA,文東段,12.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,01780000
RPRNMLMJRHGGFAX96DA,文化段,96.72,都市：其他:住宅區,1,1,全筆移轉,04650000
RPRNMLMJRHGGFAX96DA,文化段,45.05,都市：其他:住宅區,1,1,全筆移轉,04660000
RPRNMLMJRHGGFAX96DA,文化段,53.12,都市：其他:住宅區,1,1,全筆移轉,04670000
RPRNMLMJRHGGFAX96DA,文化段,29.77,都市：其他:住宅區,1,1,全筆移轉,04680002
RPTNMLQJRHGGFAX57DA,埕西段,81.24,都市：其他:住宅區,1,1,全筆移轉,00800000
RPSNMLLJRHGGFAX96DA,五德西段,178.34,非都市：一般農業區 ; 非都市編定：農牧用地,174095,89169,持分移轉,00980002
RPSNMLLJRHGGFAX96DA,五德西段,79.84,非都市：一般農業區 ; 非都市編定：交通用地,84020,39918,持分移轉,00980014
RPUNMLQJRHGGFAX67DA,馬公段,7.65,都市：其他:住宅區,40,1,持分移轉,00060003
RPUNMLQJRHGGFAX67DA,馬公段,2.45,都市：其他:住宅區,40,1,持分移轉,00060013
RPPOMLSKQHGGFAX47DA,馬公段,377.00,都市：其他:商業區,1,1,全筆移轉,11150000
RPQNMLLJRHGGFAX76DA,五德西段,209.34,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00980001
RPQNMLLJRHGGFAX76DA,五德西段,41.26,非都市：一般農業區 ; 非都市編定：交通用地,100000,5085,持分移轉,00980004
RPVNMLNJRHGGFAX47DA,文東段,84.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01620000
RPXNMLLJRHGGFAX47DA,五福段,109.12,非都市：一般農業區 ; 非都市編定：農牧用地,40,6,持分移轉,00210000
RPXNMLLJRHGGFAX47DA,五福段,22.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,40,2,持分移轉,04580000
RPXNMLLJRHGGFAX47DA,五福段,243.79,非都市：一般農業區 ; 非都市編定：農牧用地,40,6,持分移轉,05630000
RPSNMLSJRHGGFAX67DA,五德西段,26.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03070000
RPXNMLKMQHGGFAX57DA,七美二段,44.84,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09390000
RPQNMLRKQHGGFAX37DA,東澳段,.72,都市：其他:住宅區,10000,309,持分移轉,04890002
RPQNMLRKQHGGFAX37DA,東澳段,31.86,都市：其他:住宅區,10000,309,持分移轉,05000000
RPVNMLLJRHGGFAX27DA,五德西段,169.85,非都市：一般農業區 ; 非都市編定：農牧用地,174095,84926,持分移轉,00980002
RPVNMLLJRHGGFAX27DA,五德西段,88.20,非都市：一般農業區 ; 非都市編定：交通用地,84020,44102,持分移轉,00980014
RPQNMLSJRHGGFAX57EA,鐵線段,567.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06140000
RPRNMLTJRHGGFAX77EA,北澳段,10.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01170007
RPPNMLPJRHGGFAX07DA,五福段,151.75,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,08850002
RPPNMLPJRHGGFAX07DA,五福段,21.66,非都市：一般農業區 ; 非都市編定：交通用地,1000,114,持分移轉,08850003
RPRNMLSJRHGGFAX67EA,講美段,57.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,05580000
RPTNMLTJRHGGFAX87DA,許家段,112.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05370000
RPTNMLTJRHGGFAX87DA,許家段,102.02,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05380000
RPPNMLSJRHGGFAX47EA,南寮北段,660.35,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11970000
RPTNMLLKQHGGFAX07DA,小赤段,448.09,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03840000
RPSNMLRLQHGGFAX67DA,馬公段,44.31,都市：其他:住宅區,10000,44,持分移轉,02010000
RPSNMLRLQHGGFAX67DA,馬公段,4.62,都市：其他:住宅區,10000,37,持分移轉,02010003
RPTNMLNKRHGGFAX37DA,國宅段,623.35,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,01920000
RPVNMLKKRHGGFAX37EA,湖東新段,68.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,03060000
RPRNMLLKRHGGFAX07EA,烏崁新段,96.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12640005
RPQNMLKKRHGGFAX86EA,七美三段,376.23,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,22140000
RPUNMLRLQHGGFAX87DA,中衛段,4374.61,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16540000
RPXNMLNJRHGGFAX67DA,紅羅段,923.46,非都市：一般農業區 ; 非都市編定：農牧用地,110671,92346,持分移轉,21310000
RPUNMLKKRHGGFAX17DA,海堤段,132.81,都市：其他:住宅區,2,1,持分移轉,07000000
RPUNMLKKRHGGFAX17DA,海堤段,67.03,都市：其他:住宅區,2,1,持分移轉,07020000
RPRNMLPKRHGGFAX37DA,光華段,1370.44,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04180000
RPQNMLQKRHGGFAX47EA,南寮北段,242.01,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07090000
